input_0,input_1,input_2,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-1.4855344,1.497942,1.0668782,0.0,0.47404882,0.0,0.7112716,0.9258237,0.0,0.039583325,0.87894225,0.5331418,0.0,0.8748449,0.0,0.0,0.0,0.76015055,0.0,0.30082738,0.13938153,0.0,0.1935346,0.0,0.6452804,0.0,0.0,1.3122597,0.0,0.189621,0.0,0.0,0.0,0.0,1.3861145,0.7069485,0.0,0.7075838,0.2831593,0.21895373,0.14077248,0.0,0.6619482,0.80895793,0.0,0.34266287,0.36709785,0.0,0.0,0.057616044,0.6878468,0.0,0.570553,0.45207465,0.35943103,0.72563875,0.81918746,0.14111122,0.5569207,0.0,0.26212814,0.35578296,0.0,1.173564,0.0,0.0,0.48516902,0.8291727,0.70187944,-0.5945323
-1.4479983,1.3510718,0.90683645,0.0,0.3933029,0.0,0.67820275,0.82823014,0.0,0.0564633,0.8036936,0.5302417,0.0,0.8705394,0.0,0.0,0.0,0.7017459,0.0,0.22821505,0.054965317,0.0,0.101525635,0.0,0.58131886,0.0,0.0,1.256177,0.0,0.12371966,0.0,0.0,0.0,0.0,1.2685694,0.6392457,0.0,0.62349206,0.2928784,0.23247588,0.17383265,0.0,0.62410045,0.72050303,0.0,0.37881225,0.38541874,0.0,0.0,0.072242424,0.6094141,0.0,0.5346907,0.40527296,0.3318557,0.63585234,0.7746857,0.14704996,0.49288234,0.0,0.26554218,0.36069238,0.0,1.0803111,0.0,0.0,0.43026263,0.7021123,0.6043571,-0.5083885
-0.2811545,0.26195395,-0.5598758,0.0,0.0,0.0,0.0,0.0,0.21626596,0.14033312,0.056481183,0.50309277,0.49539268,0.28717375,0.6291356,0.0,0.45305336,0.40867847,0.0,0.0,0.0,0.0,0.0,0.0,0.55156773,0.0,0.0,0.49610305,0.6156627,0.0,0.31530565,0.2511837,0.0,0.0,0.3044678,0.0,0.05539137,0.0,0.32153013,0.35414198,0.64515495,0.04524515,0.13684893,0.0,0.20405385,0.6350968,0.6001062,0.15768343,0.0,0.30961806,0.14351447,0.16828017,0.279142,0.03204139,0.08180429,0.07386981,0.24274804,0.44780827,0.0,0.0,0.53812087,0.48244086,0.0,0.24041352,0.0,0.29762018,0.04661758,-0.45655563,-0.37177724,0.33802408
-1.4112241,1.6062557,1.52213,0.0,0.59729075,0.0,0.6927557,1.015571,0.0,0.0,1.0903612,0.4922117,0.0,0.8926022,0.0,0.0,0.0,0.88735044,0.0,0.48411793,0.3446123,0.0,0.49553633,0.0,0.74359,0.0,0.0,1.3350849,0.0,0.40969393,0.0,0.0,0.0,0.12729648,1.6067109,0.91967523,0.0,0.92012626,0.16998476,0.15431224,0.026693419,0.0,0.69578916,1.0317793,0.0,0.22184657,0.28352344,0.0,0.0,0.0,0.9158412,0.0,0.6031516,0.56071246,0.4423353,0.95085716,0.9159746,0.109326586,0.7419921,0.0,0.21419956,0.26589483,0.0,1.3846768,0.0,0.0,0.62556994,1.2022666,0.9856466,-0.8371047
-1.1205099,1.5815369,1.2260807,0.0,0.50141597,0.0,0.5378556,0.9234251,0.0,0.0,0.9307959,0.51053464,0.0,0.67751575,0.0,0.0,0.0,0.88926864,0.0,0.37415224,0.37600154,0.0,0.41796905,0.0,0.8750705,0.0,0.0,1.2052794,0.0,0.17285165,0.0,0.0,0.0,0.0,1.4870975,0.7666799,0.0,0.7567881,0.26472396,0.17765237,0.1755412,0.0,0.65219796,0.9151245,0.0,0.25144833,0.3022981,0.0,0.0,0.047755744,0.7788774,0.0,0.5532225,0.4722647,0.37524438,0.80697614,0.8119383,0.118425384,0.62097734,0.0,0.21043372,0.34074718,0.0,1.247181,0.0,0.0,0.539163,0.9522495,0.78662175,-0.66500056
1.4729851,-0.9436658,-1.37649,0.0,0.0,0.0,0.0,0.0,0.5379504,0.0,0.0,0.36068416,0.6328968,0.0,1.530081,0.44289643,0.47971985,0.3326831,0.0,0.0,0.0,0.0,0.0,0.91781604,0.7503123,1.29585,0.8732163,0.0,0.963334,0.0,0.9574449,0.9247216,0.95085406,0.0,0.0,0.26981258,0.9330248,0.1611255,0.9076741,0.5413114,0.9414939,0.55733484,0.122485355,0.0,0.31949115,0.7787193,1.2867428,0.6812583,0.0,0.9304713,0.07242124,0.6699743,0.0,0.0,0.0,0.03988488,0.3811873,0.6692288,0.0,0.0,0.72663575,1.1011103,0.0,0.18835633,0.0,0.31215358,0.0,-1.1289951,-0.9446779,0.78186935
-0.07732066,0.047786653,-0.3329864,0.0,0.0,0.0,0.0,0.0,0.09594077,0.0,0.15896054,0.43966013,0.40507507,0.2953151,0.6160394,0.0,0.28441533,0.4404682,0.0,0.0,0.0,0.0,0.0,0.0,0.53304696,0.07899838,0.19829918,0.38537037,0.45482007,0.0,0.4559073,0.33290106,0.0,0.0,0.31602007,0.09497464,0.086241774,0.110113904,0.33675152,0.2875706,0.56920946,0.0,0.21731958,0.0,0.06169811,0.53927577,0.48408467,0.026184812,0.0,0.31960922,0.2000998,0.1324216,0.20059453,0.004165016,0.16576327,0.16478075,0.32506025,0.3802745,0.03718559,0.0,0.40947443,0.40226108,0.0,0.362766,0.0,0.19696125,0.060539946,-0.25739348,-0.19278365,0.18376501
0.050118975,-1.3041735,-1.3472725,0.0,0.0,0.0,0.0,0.0,0.1812759,0.0,0.0,0.3695334,1.2000338,0.47331688,0.99186695,0.13975155,1.0115495,0.0,0.0,0.0,0.0,0.0,0.0,0.6310894,0.0,1.1796353,0.6051315,0.0,0.87274414,0.0,1.2311304,0.70540226,0.71870947,0.0,0.0,0.16683772,0.6829254,0.14108926,0.7207369,0.5563866,0.8248291,0.7269268,0.066548675,0.0,0.66737986,0.72265196,1.0063763,0.7646571,0.0,0.7132982,0.0,0.5660566,0.0,0.0,0.0,0.08769652,0.26148868,0.72756356,0.0,0.0,0.7280527,0.84991354,0.0,0.00830023,0.0,0.31290448,0.0,-1.0689306,-0.90411395,0.7751944
0.29145762,-1.1505233,-0.09916655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2816448,0.23651482,0.5693978,0.5501777,0.634533,0.0,0.19725618,0.2610954,0.0,0.0,0.0,0.0,0.0,0.7222861,0.042921603,0.79825974,1.1423323,0.0,0.15694895,0.0,1.204395,0.67036176,0.19994035,0.26291063,0.0,0.63155335,0.46230626,0.6433412,0.57954407,0.30152643,0.49799645,0.31807873,0.41712308,0.0,0.04388229,0.42078394,0.5325402,0.16745877,0.0,0.63047427,0.22001958,0.27208745,0.0,0.0,0.31969705,0.452475,0.5605164,0.27182856,0.0,0.0,0.26850483,0.36733094,0.0,0.503342,0.0,0.0,0.0,-0.069515236,-0.05340997,0.042166892
2.4360201,-1.7997671,-1.3163081,0.0,0.0,0.0,0.0,0.0,0.4442286,0.0,0.0,0.19806924,0.56481504,0.0,1.8365304,0.92184246,0.23416919,0.3357107,0.0,0.0,0.0,0.0,0.0,1.7407793,0.75021774,1.9961898,1.7446467,0.0,0.82555187,0.0,1.4623098,1.3173047,1.4994633,0.0,0.0,0.7360199,1.3604795,0.6385601,1.2770495,0.61997813,0.9858156,0.9338457,0.3547326,0.0,0.25439543,0.81732345,1.4654168,0.82636744,0.0,1.2876233,0.041555017,0.920213,0.0,0.0,0.021743193,0.29824853,0.68703514,0.6205141,0.0,0.0,0.7562303,1.4486332,0.0,0.4078491,0.0,0.034558393,0.0,-1.1121987,-0.93708485,0.75500804
0.07019814,0.14379463,0.9617532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769976,0.29755074,0.0,0.45372453,0.20622954,0.0,0.0,0.73502773,0.0,0.1711887,0.28925353,0.0,0.5680065,0.0,0.6613078,0.0,0.7575023,0.42604527,0.0,0.08558634,0.47107178,0.28918216,0.0,0.27603066,0.86183465,0.75079644,0.0,0.72924614,0.149441,0.10538,0.2068725,0.0,0.47629315,0.48737806,0.0,0.23985827,0.1209117,0.0,0.0,0.16360138,0.64261436,0.0,0.09073433,0.14585176,0.4457065,0.6774548,0.63307637,0.08196563,0.36507702,0.0,0.020374298,0.094651386,0.0,1.0293655,0.0,0.0,0.22911063,0.74336517,0.63736486,-0.5366936
-0.78427577,1.6236693,0.092251,0.0,0.24123123,0.0,0.3442253,0.7708398,0.22344951,0.59450686,0.36366567,0.63210106,0.0,0.23767665,0.24711692,0.0,0.06086811,0.76349187,0.0,0.0,0.20730162,0.0,0.0,0.0,1.0667303,0.0,0.0,1.0261531,0.40786844,0.0,0.0,0.0,0.0,0.0,1.0658832,0.30462292,0.0,0.33331198,0.48160776,0.35283974,0.7078592,0.0,0.5261687,0.35336193,0.0,0.5709129,0.6935678,0.06705485,0.0,0.29209545,0.3797275,0.0,0.490323,0.108628094,0.2277313,0.32053536,0.5367905,0.22146955,0.14231172,0.0,0.47964454,0.64740807,0.0,0.7996224,0.0,0.10889032,0.24206856,0.033171736,0.026179098,0.026867626
0.024061518,0.45166528,0.27464584,0.0,0.0,0.0,0.0,0.057646662,0.0,0.0,0.43389487,0.41969085,0.0,0.22908753,0.44489473,0.0,0.0,0.67606616,0.0,0.0,0.1818862,0.0,0.16745561,0.0,0.8113755,0.0,0.25826263,0.47350657,0.15142964,0.0,0.23847172,0.23844165,0.0,0.0,0.7087437,0.39721543,0.0,0.33394498,0.3033191,0.1695752,0.45358306,0.0,0.38265812,0.25767776,0.0,0.3868267,0.3110306,0.0,0.0,0.21335939,0.4156187,0.0,0.2311259,0.12882121,0.2795548,0.33210438,0.5003297,0.17423391,0.20664117,0.0,0.19548246,0.28685576,0.0,0.69648594,0.0,0.0541156,0.15575176,0.23796403,0.21652311,-0.15820275
1.2182479,-0.5559978,-0.2816372,0.0,0.0,0.0,0.0,0.0,0.13241297,0.0,0.1206432,0.29773217,0.15209219,0.0,1.0534321,0.0126369,0.0,0.57716614,0.0,0.0,0.16979128,0.0,0.17595597,0.69301015,0.8414378,0.70869625,1.0314293,0.0,0.36256358,0.0,0.7920123,0.7390237,0.2803826,0.0,0.13226017,0.55885774,0.48700714,0.43833184,0.68830884,0.24810857,0.66601086,0.14982066,0.41470355,0.0,0.0,0.44170368,0.6658389,0.09205427,0.0,0.7100435,0.3454307,0.33247036,0.0,0.0,0.2991344,0.34569037,0.5069759,0.18453398,0.0,0.0,0.28762648,0.49851155,0.0,0.52987003,0.0,0.124826044,0.0,-0.19246975,-0.1593864,0.12408597
1.7982596,-0.9267299,-0.9761062,0.0,0.0,0.0,0.0,0.0,0.42770815,0.0,0.0,0.30313385,0.35984993,0.0,1.5048599,0.43406987,0.13678995,0.48086733,0.0,0.0,0.083756134,0.0,0.0,1.051275,0.92274547,1.2480288,1.1511278,0.0,0.73335576,0.0,0.96077114,0.9728768,0.8594974,0.0,0.0,0.48819545,0.9018952,0.34266257,0.93945175,0.44002038,0.89716136,0.4463607,0.28038317,0.0,0.07273857,0.6717031,1.1515154,0.47311246,0.0,0.98462206,0.17850366,0.61532426,0.0,0.0,0.13055108,0.19240697,0.5246814,0.4823807,0.0,0.0,0.5567672,1.0112985,0.0,0.35713688,0.0,0.19793075,0.0,-0.80324644,-0.66762954,0.54069126
1.0131077,-0.42047662,0.11215648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3189225,0.27939367,0.017483756,0.0,0.8405484,0.0,0.0,0.6396344,0.0,0.0,0.24509722,0.0,0.3481926,0.57503307,0.8152011,0.47434258,1.0511335,0.0,0.14406133,0.0,0.7387254,0.6492422,0.012085319,0.018986404,0.33374482,0.6647592,0.31814873,0.5936413,0.5930823,0.19479756,0.51803225,0.031561896,0.5362475,0.0,0.0,0.33923915,0.3999951,0.0,0.0,0.562758,0.47103283,0.23377255,0.0,0.0,0.36821693,0.51125616,0.52070504,0.086869255,0.04214543,0.0,0.19667852,0.27820045,0.0,0.69248533,0.0,0.009139672,0.0,0.15527898,0.087574326,-0.13840047
-0.444126,-0.21907139,-0.43224165,0.0,0.0,0.0,0.031397536,0.0,0.002020467,0.0,0.14107667,0.43089598,0.6493496,0.5689658,0.5111396,0.0,0.5073364,0.27582765,0.0,0.0,0.0,0.0,0.0,0.0,0.19919127,0.18039195,0.18615584,0.45508105,0.47089177,0.0,0.6281966,0.319862,0.0,0.0,0.16902405,0.08327106,0.09624199,0.10537045,0.30807254,0.33462018,0.5338534,0.14718196,0.17770322,0.0,0.22969306,0.5550047,0.44895697,0.12882197,0.0,0.33329585,0.1006106,0.14894968,0.1298523,0.01373687,0.11929621,0.20412137,0.28519058,0.4444291,0.008531097,0.0,0.4642082,0.4036025,0.0,0.25595757,0.0,0.17498003,0.022563461,-0.3552186,-0.28090787,0.2514434
-0.23322953,0.049658645,-0.19073203,0.0,0.0,0.0,0.0,0.0,0.008785561,0.0,0.23690388,0.4302046,0.39807013,0.4110772,0.5081027,0.0,0.25782004,0.4335275,0.0,0.0,0.0,0.0,0.0,0.0,0.45611924,0.003549222,0.20496671,0.45147905,0.3680443,0.0,0.4687051,0.29385614,0.0,0.0,0.36939263,0.15799256,0.018494474,0.177803,0.29676694,0.26799098,0.50462615,0.0,0.25259566,0.05443182,0.05311397,0.5124783,0.41041827,0.0,0.0,0.27795216,0.20670626,0.08526239,0.19602135,0.045989864,0.18770377,0.22667891,0.38134062,0.3463326,0.059934042,0.0,0.37722194,0.3582556,0.0,0.41455513,0.0,0.13939276,0.07423572,-0.12895688,-0.08405594,0.086645
-0.43796566,1.621558,1.9772339,0.0,0.6158837,0.0,0.21657275,0.90676653,0.0,0.0,1.2490429,0.4005955,0.0,0.44393942,0.0,0.0,0.0,1.1849453,0.016470134,0.6737323,0.90801,0.0,1.0976287,0.0,1.2393968,0.0,0.14369127,1.0047666,0.0,0.43420538,0.0,0.0,0.0,0.22917488,1.8092935,1.1305082,0.0,1.0861504,0.06876898,0.04768356,0.07906076,0.0,0.6571879,1.2823505,0.0,0.0,0.110093586,0.0,0.0,0.0,1.170161,0.0,0.49692586,0.58411604,0.49511093,1.1935363,0.9156991,0.028324252,0.8960059,0.0,0.05101156,0.17328328,0.0,1.5925597,0.0,0.0,0.73372257,1.5461916,1.2364097,-1.0526956
-0.8540153,1.1592361,-0.022938984,0.0,0.08609775,0.0,0.34382206,0.5344212,0.13354942,0.4294454,0.32529166,0.58605105,0.18223938,0.41092008,0.25092164,0.0,0.21795249,0.61018866,0.0,0.0,0.0,0.0,0.0,0.0,0.770283,0.0,0.0,0.9406342,0.41108623,0.0,0.0,0.0,0.0,0.0,0.84350675,0.24871579,0.0,0.21021102,0.39927256,0.35453242,0.5973623,0.0,0.40945196,0.30021358,0.051306985,0.607761,0.63463557,0.115885176,0.0,0.22906765,0.3180326,0.0,0.43213558,0.13133316,0.15084788,0.28649342,0.46163946,0.25657526,0.16051516,0.0,0.4751787,0.5430639,0.0,0.65435344,0.0,0.09156097,0.16584247,-0.044343725,-0.03828942,0.046933632
0.028136712,1.0188113,0.48458123,0.0,0.07806051,0.0,0.0,0.3671678,0.03060253,0.0,0.5190523,0.47141853,0.0,0.07707623,0.3857829,0.0,0.0,0.8585495,0.0,0.063101575,0.45379183,0.0,0.3323448,0.0,1.1328247,0.0,0.01356855,0.6118342,0.1050338,0.0,0.0,0.10312459,0.0,0.0,1.0058452,0.4774188,0.0,0.36080647,0.32846612,0.15255368,0.5087444,0.0,0.415002,0.49330083,0.0,0.338219,0.32597536,0.0,0.0,0.1477275,0.545255,0.0,0.3367103,0.23962866,0.27282846,0.4237641,0.5152881,0.14387235,0.35853577,0.0,0.18377528,0.32941183,0.0,0.8573941,0.0,0.08090104,0.30544898,0.4035996,0.33282414,-0.25181547
