fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
1,X0,X1,input,True,True,-2.453977074668461,-1.376445802897526,-2.5148670151659447,-1.4105992201814934,-0.06088994049748386,0.776,0.0,True,True,True,True,True,True,True,aligned_observable_state,-2.453502454324132,-1.3761795864003692,0.0004746203443288799,0.775,0.0,True,True,True,True
1,X0,X2,input,False,True,-1.5648760874515353,-1.0263647559938611,-1.6182805548587187,-1.0613914674369507,-0.05340446740718341,0.49,3.4992973660445964e-218,True,True,True,False,True,True,True,aligned_observable_state,-1.5707111240268352,-1.0301918167680952,-0.0058350365752999345,0.489,2.9770832501108444e-217,True,True,True,True
1,X0,X3,output,False,True,-1.3113840194889397,-0.821072020242655,-1.315318021461781,-0.823535142333115,-0.003934001972841328,0.3605,7.369688425650552e-116,True,True,True,False,True,True,True,aligned_observable_state,-1.280878517350593,-0.801972188387902,0.030505502138346685,0.4765,8.031420155926838e-206,True,True,True,True
1,X0,X4,output,False,True,-1.2113070435170106,-0.6795783230229063,-1.2368511716567456,-0.6939093185018735,-0.025544128139735056,0.28,2.0064970441275627e-69,True,True,True,False,True,True,True,aligned_observable_state,-1.2038782872679694,-0.6754105756785077,0.007428756249041157,0.478,3.562169632258479e-207,True,True,True,True
1,X0,X5,output,False,True,1.1463925769761234,0.6032869685948963,1.1078223241763485,0.5829894445557122,-0.038570252799774885,0.2675,2.516946538262088e-63,True,True,True,False,True,True,True,aligned_observable_state,1.0485771610610768,0.5518117872875539,-0.09781541591504661,0.463,7.180087396866435e-194,True,True,True,True
1,X1,X0,input,False,False,-0.011071203219480217,-0.010989792325335115,0.0,0.0,0.011071203219480217,0.025,0.5596752163759332,False,False,False,False,False,True,True,aligned_observable_state,-0.010588119783151726,-0.010510261190750032,0.00048308343632849117,0.039,0.0954673206906231,False,False,False,True
1,X1,X2,input,True,True,1.92655683069903,1.2635824953200683,1.9292818980037736,1.2653698017155892,0.0027250673047436447,0.6595,0.0,True,True,True,True,True,True,True,aligned_observable_state,1.904944920847714,1.2494077611293049,-0.02161190985131589,0.659,0.0,True,True,True,True
1,X1,X3,output,False,True,1.567425916864421,0.9813826804463514,1.5846280369644323,0.9921531178568038,0.01720212010001143,0.4545,1.4926603248055408e-186,True,True,True,False,True,True,True,aligned_observable_state,1.6327126142840283,1.0222594028622447,0.06528669741960735,0.6725,0.0,True,True,True,True
1,X1,X4,output,False,True,1.440042748300499,0.8079056761115971,1.4729804278857874,0.8263846680209032,0.03293767958528848,0.366,1.7051587312026024e-119,True,True,True,False,True,True,True,aligned_observable_state,1.5356592196630152,0.8615492849799493,0.09561647136251628,0.674,0.0,True,True,True,True
1,X1,X5,output,False,True,-1.320252096289147,-0.6947802183544021,-1.3221995470520478,-0.6958050607084385,-0.0019474507629007043,0.314,1.6529500839583353e-87,True,True,True,True,True,False,True,aligned_observable_state,-1.3640073588945976,-0.7178063441925019,-0.043755262605450485,0.648,0.0,True,True,True,True
1,X2,X0,input,False,False,0.01995229181948094,0.019805574801911443,0.0,0.0,-0.01995229181948094,0.0325,0.24148215150724364,False,False,False,False,False,True,True,aligned_observable_state,0.03237760869930141,0.03213952345940152,0.012425316879820472,0.033,0.22624166055654427,False,False,False,True
1,X2,X1,input,False,False,-0.013101950611845907,-0.007348937818370789,0.0,0.0,0.013101950611845907,0.0275,0.43609338214006377,False,False,False,False,False,True,True,aligned_observable_state,0.011657522505273295,0.006538752170997657,0.0247594731171192,0.0275,0.43609338214006377,False,False,False,True
