epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.9977247714996338,0.9525749683380127,0.001,16,40,640
2,0.9731650948524475,0.9408284425735474,0.001,16,40,640
3,0.967964768409729,0.9328910112380981,0.001,16,40,640
4,0.9665593504905701,0.9292730689048767,0.001,16,40,640
5,0.962786853313446,0.9286057949066162,0.001,16,40,640
6,0.964150607585907,0.9276228547096252,0.001,16,40,640
7,0.9615161418914795,0.9278554916381836,0.001,16,40,640
8,0.9590929746627808,0.9272903203964233,0.001,16,40,640
9,0.9597023725509644,0.9272854328155518,0.001,16,40,640
10,0.9624971747398376,0.9275789260864258,0.00085,16,40,640
11,0.9607296586036682,0.9271557331085205,0.00085,16,40,640
12,0.9590684771537781,0.9276496171951294,0.00085,16,40,640
13,0.9590299129486084,0.9270803332328796,0.00085,16,40,640
14,0.9590408802032471,0.9271082878112793,0.00085,16,40,640
15,0.95844966173172,0.9276279211044312,0.00085,16,40,640
16,0.9584113955497742,0.9269967675209045,0.00085,16,40,640
17,0.9577324986457825,0.9271946549415588,0.00085,16,40,640
18,0.9588155150413513,0.9272220730781555,0.00085,16,40,640
19,0.9637970924377441,0.9271911382675171,0.00085,16,40,640
20,0.956905722618103,0.9274137020111084,0.0007224999999999999,16,40,640
21,0.957709014415741,0.9276872873306274,0.0007224999999999999,16,40,640
22,0.9583134651184082,0.9270673990249634,0.0007224999999999999,16,40,640
