fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
5,X0,X1,input,False,False,0.12459782740486247,0.04799784572941745,0.0,0.0,-0.12459782740486247,0.036,0.149691055593586,True,False,False,False,False,True,True,aligned_sem,0.1242988861484049,0.04788268692923239,-0.0002989412564575744,0.035,0.1724962716243393,True,False,False,True
5,X0,X2,input,False,False,-0.008151451764730977,-0.018826795533708827,0.0,0.0,0.008151451764730977,0.024,0.6122516588087653,False,False,False,False,False,True,True,aligned_sem,-0.00822014952274519,-0.018985461582541233,-6.86977580142134e-05,0.0235,0.6388604192561329,False,False,False,True
5,X0,X3,output,True,True,0.4284165720918234,1.3592481024027792,0.43156165549970626,1.369226588139664,0.003145083407882887,1.0,0.0,True,True,True,True,True,True,True,aligned_sem,0.4278888963157747,1.3575739321115228,-0.000527675776048675,1.0,0.0,True,True,True,True
5,X0,X4,output,False,True,0.4293841555234902,1.2960603554017165,0.4330540759054594,1.3071377047947144,0.003669920381969227,0.8515,0.0,True,True,True,False,True,True,True,aligned_sem,0.4549696160186128,1.3732879395961013,0.025585460495122614,1.0,0.0,True,True,True,True
5,X0,X5,output,False,True,0.5361329528561238,1.2366254055315842,0.5384698274338267,1.2420155582109396,0.002336874577702819,0.8515,0.0,True,True,True,False,True,True,True,aligned_sem,0.5749258817153908,1.3261038103317135,0.038792928859266995,0.957,0.0,True,True,True,True
5,X1,X0,input,False,False,-0.020944244389018252,-0.020780512990810414,0.0,0.0,0.020944244389018252,0.0265,0.48382276598146434,False,False,False,False,False,True,True,aligned_sem,-0.02164991118042,-0.021480663239897287,-0.0007056667914017468,0.027,0.4596372544037147,False,False,False,True
5,X1,X2,input,False,False,0.02852128614229521,0.0658734711383177,0.0,0.0,-0.02852128614229521,0.042,0.058716579645442246,False,False,False,False,False,True,True,aligned_sem,0.0286789639465983,0.06623764771293261,0.0001576778043030913,0.0415,0.06383123566557118,False,False,False,True
5,X1,X3,output,True,True,-0.0014474926056056248,-0.004592496428895849,-0.0076457354615729,-0.024257818428623176,-0.006198242855967276,0.2415,1.4182034846784657e-51,False,True,False,True,True,True,False,aligned_sem,0.006432177559920105,0.020407532556339238,0.00787967016552573,0.2455,2.6637332244244953e-53,False,True,False,True
5,X1,X4,output,False,True,-0.0029372325941226254,-0.008865792253547224,-0.00839977700016781,-0.025354028144937188,-0.005462544406045185,0.2045,5.347866583637174e-37,False,True,False,False,True,True,False,aligned_sem,-0.028378918102203228,-0.085659403609376,-0.025441685508080604,0.285,6.03593189507636e-72,False,True,False,True
5,X1,X5,output,False,True,-0.005499622937763517,-0.012685236767208589,-0.01000692946570831,-0.023081631417605466,-0.004507306527944793,0.1785,3.0478258595957e-28,False,True,False,False,True,True,False,aligned_sem,-0.05654684260965041,-0.1304289575956269,-0.0510472196718869,0.2525,2.154609323099332e-56,True,True,True,False
5,X2,X0,input,False,False,-0.0167675835001819,-0.01663650310214706,0.0,0.0,0.0167675835001819,0.0215,0.7445353818345306,False,False,False,False,False,True,True,aligned_sem,-0.016344334351058157,-0.01621656269855212,0.0004232491491237417,0.021,0.770029236885313,False,False,False,True
5,X2,X1,input,False,False,-0.1003144679667729,-0.03864335725736621,0.0,0.0,0.1003144679667729,0.027,0.4596372544037147,True,False,False,False,False,True,True,aligned_sem,-0.09912391928881181,-0.038184731509483316,0.0011905486779610897,0.027,0.4596372544037147,True,False,False,True
5,X2,X3,output,False,False,-0.00522503982347294,-0.016577616104711125,0.0,0.0,0.00522503982347294,0.021,0.770029236885313,False,False,False,False,False,True,True,aligned_sem,-0.00918962720883823,-0.029156162854328368,-0.00396458738536529,0.0285,0.3910873897562125,False,False,False,True
5,X2,X4,output,False,False,-0.0047303706814194445,-0.01427823040900946,0.0,0.0,0.0047303706814194445,0.026,0.5085995252205004,False,False,False,False,False,True,True,aligned_sem,-0.015325247635110685,-0.04625798516567354,-0.01059487695369124,0.082,2.8545640150619373e-06,False,True,False,True
5,X2,X5,output,True,True,-0.008427806252823852,-0.01943928137529865,0.0033169074083962105,0.007650661924747288,0.011744713661220062,0.1645,4.9611470782553035e-24,False,True,False,True,True,True,False,aligned_sem,-0.026729003633578045,-0.061652179336752905,-0.018301197380754194,0.185,2.565654468958604e-30,False,True,False,True
5,X3,X0,input,False,False,0.012936513132848385,0.012835382084917817,0.0,0.0,-0.012936513132848385,0.0135,0.9932816255401182,False,False,False,False,False,True,True,aligned_sem,0.012993144012479713,0.012891570253275749,5.663087963132807e-05,0.0135,0.9932816255401182,False,False,False,True
5,X3,X1,input,False,False,0.04804697065285968,0.018508758404496933,0.0,0.0,-0.04804697065285968,0.0175,0.9194667579636621,False,False,False,False,False,True,True,aligned_sem,0.0479477624624991,0.018470541209902124,-9.920819036057793e-05,0.017,0.934827271267201,False,False,False,True
5,X3,X2,input,False,False,0.012532045833924643,0.028944324439875217,0.0,0.0,-0.012532045833924643,0.031,0.291764846534962,False,False,False,False,False,True,True,aligned_sem,0.01255660880088505,0.029001055678679284,2.4562966960406385e-05,0.031,0.291764846534962,False,False,False,True
5,X3,X4,output,True,True,0.3326605458843644,1.0041081855975276,0.3396372124369279,1.0251666732369022,0.006976666552563515,0.896,0.0,True,True,True,True,True,True,True,aligned_sem,0.01156690446612708,0.034913738945465664,-0.3210936414182373,0.022,0.7185142568618185,False,False,False,False
5,X3,X5,output,False,True,0.4152888035393666,0.9578905425487122,0.4233651201497366,0.9765190902816855,0.008076316610370005,0.895,0.0,True,True,True,False,True,True,True,aligned_sem,0.011903739895840431,0.02745674761757564,-0.40338506364352616,0.019,0.8633028038475316,False,False,False,False
5,X4,X0,input,False,False,0.01623101577658553,0.016104129990778558,0.0,0.0,-0.01623101577658553,0.017,0.934827271267201,False,False,False,False,False,True,True,aligned_sem,0.01611652252221121,0.015990531786150404,-0.00011449325437432045,0.0175,0.9194667579636621,False,False,False,True
5,X4,X1,input,False,False,-0.06500638213763743,-0.02504189973659295,0.0,0.0,0.06500638213763743,0.025,0.5596752163759332,True,False,False,False,False,True,True,aligned_sem,-0.06506395096717377,-0.025064076526160314,-5.756882953633635e-05,0.0245,0.5858212770267918,True,False,False,True
5,X4,X2,input,False,False,0.0010684997581547062,0.0024678335902856056,0.0,0.0,-0.0010684997581547062,0.0255,0.5339072834011876,False,False,False,False,False,True,True,aligned_sem,0.0010682031535698133,0.002467148544966648,-2.9660458489289e-07,0.0255,0.5339072834011876,False,False,False,True
