fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
4,X0,X1,input,False,False,0.006342649338210826,0.00242040505789979,0.0,0.0,-0.006342649338210826,0.0205,0.7948265413398378,False,False,False,False,False,True,True,aligned_observable_state,0.007959186151833997,0.003037288267318781,0.0016165368136231706,0.0205,0.7948265413398378,False,False,False,True
4,X0,X2,input,False,False,0.004993344673520417,0.011581108290226443,0.0,0.0,-0.004993344673520417,0.0205,0.7948265413398378,False,False,False,False,False,True,True,aligned_observable_state,0.005043409059472426,0.011697223061607753,5.0064385952008905e-05,0.0205,0.7948265413398378,False,False,False,True
4,X0,X3,output,True,True,0.43351540941350863,1.3589158306508016,0.4393214741463972,1.3771157679724755,0.005806064732888583,1.0,0.0,True,True,True,True,True,True,True,aligned_observable_state,0.44649790926937255,1.3996113265719796,0.012982499855863916,1.0,0.0,True,True,True,True
4,X0,X4,output,False,True,0.4338661130936148,1.2971872355098124,0.4389251920643087,1.3123130369175944,0.005059078970693909,0.8555,0.0,True,True,True,False,True,True,True,aligned_observable_state,0.4442685231702397,1.3282887047481462,0.010402410076624902,1.0,0.0,True,True,True,True
4,X0,X5,output,False,True,0.5361097057864009,1.2116619349495337,0.5483756185079525,1.2393841331893818,0.01226591272155153,0.8545,0.0,True,True,True,False,False,True,False,aligned_observable_state,0.553733589224364,1.2514936866922926,0.01762388343796306,1.0,0.0,True,True,True,True
4,X1,X0,input,False,False,-0.010288371688493114,-0.01022148674546605,0.0,0.0,0.010288371688493114,0.027,0.4596372544037147,False,False,False,False,False,True,True,aligned_observable_state,-0.010391661595010952,-0.01032410516190539,-0.00010328990651783769,0.027,0.4596372544037147,False,False,False,True
4,X1,X2,input,False,False,-0.00011405725578450543,-0.00026453399812978337,0.0,0.0,0.00011405725578450543,0.017,0.934827271267201,False,False,False,False,False,True,True,aligned_observable_state,-0.00024942135606909055,-0.0005784851484115069,-0.00013536410028458512,0.017,0.934827271267201,False,False,False,True
4,X1,X3,output,True,True,0.0022209813971829553,0.0069619826992908885,-0.011925357378498229,-0.03738173217356599,-0.014146338775681184,0.239,1.6430660302687672e-50,False,True,False,False,False,False,True,aligned_observable_state,0.0010575974218872048,0.0033151898360483365,-0.0011633839752957504,0.257,1.9842666802674265e-58,False,True,False,True
4,X1,X4,output,False,True,-0.0017997589103720384,-0.005380978636204108,-0.010975383358375343,-0.03281456368139861,-0.009175624448003305,0.1935,3.813634596322189e-33,False,True,False,False,False,True,True,aligned_observable_state,0.0027193599383271384,0.008130432163974018,0.004519118848699177,0.258,6.919849940125437e-59,False,True,False,True
4,X1,X5,output,False,True,-0.003652172681038248,-0.008254278125753118,-0.014490929532607787,-0.0327509603485755,-0.010838756851569539,0.1765,1.279767988180038e-27,False,True,False,False,False,True,True,aligned_observable_state,-0.0026305014757608924,-0.005945198293570785,0.0010216712052773555,0.2275,9.154180351590053e-46,False,True,False,True
