epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,epoch_seconds,cumulative_updates,batches_per_epoch,effective_epochs,effective_updates
1,0.9980174899101257,0.9089488983154297,0.65509765625,0.6382468668619792,0.0008738878216809631,0.006347176029246615,0.0008,18.068363333999997,16,16,60,960
2,0.9771085977554321,0.8552026748657227,0.6439364827473958,0.612107421875,0.023926475889378462,0.06518662925223606,0.0008,0.08024779200000864,32,16,60,960
3,0.836044192314148,0.5768564939498901,0.5773420003255209,0.4683334147135417,0.1615665455822839,0.3697681226560645,0.0008,0.07761437499999602,48,16,60,960
4,0.457795113325119,0.3077537417411804,0.41571724446614583,0.374939697265625,0.5392507647027129,0.6639517062551735,0.0008,0.07774966699999197,64,16,60,960
5,0.30247509479522705,0.20852233469486237,0.34944278971354165,0.29068868001302084,0.6959451710881412,0.7723215548327176,0.0008,0.07957012499998939,80,16,60,960
6,0.22676797211170197,0.16320382058620453,0.30645955403645836,0.2647234293619792,0.7729826680978338,0.8217512254778456,0.0008,0.07774391700000649,96,16,60,960
7,0.1871916502714157,0.13930870592594147,0.2771101888020833,0.2449927978515625,0.8112435625352268,0.8478120727249209,0.0008,0.08122033300000453,112,16,60,960
8,0.16509851813316345,0.12287066876888275,0.26306292724609376,0.23499715169270832,0.834234266478731,0.8656693826422026,0.0008,0.07768891599999961,128,16,60,960
9,0.15625977516174316,0.11376094818115234,0.25748089599609375,0.23125032552083333,0.8436961450453564,0.875560170276032,0.0008,0.07745766700000445,144,16,60,960
10,0.1470826268196106,0.10969655960798264,0.25347932942708334,0.22997149658203125,0.8526585395987929,0.8799705197846868,0.0008,0.07832345799999985,160,16,60,960
11,0.14317448437213898,0.10587122291326523,0.2514988606770833,0.22727860514322917,0.8567964352506667,0.8841249572218689,0.0008,0.08031812500000513,176,16,60,960
12,0.14169777929782867,0.10585421323776245,0.2505815836588542,0.22526702880859376,0.8579139270690799,0.8841526453748474,0.00068,0.0771291670000096,192,16,60,960
13,0.13952532410621643,0.10306932032108307,0.24794002278645833,0.22262638346354166,0.8616416301895589,0.8871669771519215,0.00068,0.08704329200000416,208,16,60,960
14,0.13532929122447968,0.10122227668762207,0.2467232666015625,0.22075048828125,0.8648522342416738,0.8891906970107435,0.00068,0.0782139580000063,224,16,60,960
15,0.12932491302490234,0.09903264045715332,0.2426237996419271,0.21932779947916667,0.8711481524316903,0.8915682681219962,0.00068,0.07690320799999029,240,16,60,960
16,0.1322275996208191,0.09792276471853256,0.2424642537434896,0.21787422688802083,0.8674911634534042,0.8927633712561894,0.00068,0.08069179200001031,256,16,60,960
17,0.12834888696670532,0.0970110148191452,0.2420959676106771,0.21555879720052085,0.871132861226093,0.8937677993956461,0.00068,0.08057183299999338,272,16,60,960
18,0.13110379874706268,0.09578908979892731,0.2415755615234375,0.2144833984375,0.8686250119440289,0.8951073377519962,0.00068,0.0774291659999875,288,16,60,960
19,0.1322932243347168,0.09816265851259232,0.23880576578776042,0.21536195882161457,0.8686748843748919,0.8925398381676365,0.00068,0.07999266699999907,304,16,60,960
20,0.12722747027873993,0.09409526735544205,0.236783203125,0.21245493570963542,0.8723703295486019,0.8969412517009638,0.00068,0.07978295799999557,320,16,60,960
21,0.12608158588409424,0.09276856482028961,0.23602054850260418,0.2104014689127604,0.8742482485822826,0.8983958212409557,0.00068,0.07695266700000047,336,16,60,960
22,0.12691359221935272,0.09090610593557358,0.237036865234375,0.20949680582682292,0.8729214541128725,0.9004215021118197,0.00068,0.0790572500000053,352,16,60,960
23,0.12766122817993164,0.0902569442987442,0.23581601969401042,0.20818046061197917,0.8723314451048275,0.9011244469340565,0.00068,0.08111995799998795,368,16,60,960
24,0.1265600621700287,0.08949558436870575,0.2354102579752604,0.20603287760416666,0.873253353789431,0.9019697211189278,0.0005780000000000001,0.07677933300000461,384,16,60,960
25,0.12377168238162994,0.09050559997558594,0.23167822265625,0.2065241495768229,0.876718861733643,0.9008862396815307,0.0005780000000000001,0.08211120900000424,400,16,60,960
26,0.12492083758115768,0.09184138476848602,0.23459977213541666,0.2073330078125,0.8749468521237256,0.8994147452705632,0.0005780000000000001,0.07871920899999907,416,16,60,960
27,0.12550561130046844,0.08777213841676712,0.23313755289713542,0.2051220703125,0.874557755508843,0.9038477801230668,0.0005780000000000001,0.07657679100000792,432,16,60,960
28,0.12579302489757538,0.08906561136245728,0.23286069742838542,0.2047012736002604,0.8737259771415317,0.9024388375393915,0.0005780000000000001,0.07961958299999594,448,16,60,960
29,0.11994864046573639,0.08631719648838043,0.23026845296223958,0.20221138509114583,0.880263124696058,0.9054479325229445,0.0005780000000000001,0.07738104199999896,464,16,60,960
30,0.12308382987976074,0.08689243346452713,0.22959486897786457,0.20195294189453125,0.8769010538010292,0.9048281858650097,0.0005780000000000001,0.07749741599999993,480,16,60,960
31,0.12222182750701904,0.08529885113239288,0.229763916015625,0.20151582845052082,0.8780350245318551,0.9065607121487751,0.0005780000000000001,0.07748466699999312,496,16,60,960
32,0.11938465386629105,0.0855911374092102,0.22803397623697916,0.2015804443359375,0.8803008707462973,0.9062264654457068,0.0005780000000000001,0.07868074999998953,512,16,60,960
33,0.11379332840442657,0.08539147675037384,0.2258204549153646,0.19943656412760416,0.8863645094597522,0.9064683495958114,0.0005780000000000001,0.07660083400000417,528,16,60,960
34,0.11756517738103867,0.0868060514330864,0.2265602823893229,0.1985555419921875,0.8828195542512848,0.9049319412294102,0.0005780000000000001,0.07875870799999518,544,16,60,960
35,0.11141601204872131,0.08531726896762848,0.22415586344401042,0.19768216959635418,0.8884839336330341,0.9065604280248712,0.0005780000000000001,0.08084762500000409,560,16,60,960
36,0.11510366201400757,0.0830412358045578,0.22576763916015624,0.1961070556640625,0.8842993632102557,0.9090426180143498,0.0004913000000000001,0.07714433300000678,576,16,60,960
37,0.1090007796883583,0.08262454718351364,0.22220497639973957,0.19601654052734374,0.8911795198524817,0.9094877176083568,0.0004913000000000001,0.07874658400000101,592,16,60,960
