fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
4,X0,X1,input,False,False,0.006342649338210826,0.00242040505789979,0.0,0.0,-0.006342649338210826,0.0205,0.7948265413398378,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X0,X2,input,False,False,0.004993344673520417,0.011581108290226443,0.0,0.0,-0.004993344673520417,0.0205,0.7948265413398378,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X0,X3,output,True,True,0.43351540941350863,1.3589158306508016,0.4393214741463972,1.3771157679724755,0.005806064732888583,1.0,0.0,True,True,True,False,False,False,False,outputs,0.4384346306324005,1.3743358305946771,0.004919221218891878,1.0,0.0,True,True,True,True
4,X0,X4,output,False,True,0.4338661130936148,1.2971872355098124,0.4389251920643087,1.3123130369175944,0.005059078970693909,0.8555,0.0,True,True,True,False,False,True,False,outputs,0.436004638671875,1.3035810699191197,0.0021385255782602197,1.0,0.0,True,True,True,True
4,X0,X5,output,False,True,0.5361097057864009,1.2116619349495337,0.5483756185079518,1.2393841331893802,0.012265912721550865,0.8545,0.0,True,True,True,False,False,True,False,outputs,0.5354057550430298,1.2100709353637846,-0.0007039507433711512,1.0,0.0,True,True,True,True
4,X1,X0,input,False,False,-0.010288371688493114,-0.01022148674546605,0.0,0.0,0.010288371688493114,0.027,0.4596372544037147,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X1,X2,input,False,False,-0.00011405725578450543,-0.00026453399812978337,0.0,0.0,0.00011405725578450543,0.017,0.934827271267201,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X1,X3,output,True,True,0.0022209813971829553,0.0069619826992908885,-0.011925357378498229,-0.03738173217356599,-0.014146338775681184,0.239,1.6430660302687672e-50,False,True,False,True,True,True,False,outputs,0.0012805536389350891,0.004014077871650757,-0.0009404277582478662,0.2625,5.731820825063472e-61,False,True,False,True
4,X1,X4,output,False,True,-0.0017997589103720384,-0.005380978636204108,-0.010975383358375343,-0.03281456368139861,-0.009175624448003305,0.1935,3.813634596322189e-33,False,True,False,True,True,False,False,outputs,0.00037427060306072235,0.001119006611175861,0.0021740295134327608,0.263,3.346965842030333e-61,False,True,False,True
4,X1,X5,output,False,True,-0.003652172681038248,-0.008254278125753118,-0.014490929532607787,-0.0327509603485755,-0.010838756851569539,0.1765,1.279767988180038e-27,False,True,False,False,False,True,True,outputs,-0.0049523599445819855,-0.011192832303262856,-0.0013001872635437376,0.243,3.2200072845356834e-52,False,True,False,True
4,X2,X0,input,False,False,-0.0037254325805191665,-0.0037012134568868158,0.0,0.0,0.0037254325805191665,0.018,0.9023552779223781,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X2,X1,input,False,False,-0.14305940020727181,-0.05459259646529137,0.0,0.0,0.14305940020727181,0.031,0.291764846534962,True,False,False,False,False,True,True,outputs,,,,,,,,,
4,X2,X3,output,False,False,-0.006445174026825856,-0.02020331648234166,0.0,0.0,0.006445174026825856,0.028,0.4132324404768168,False,False,False,False,False,True,True,outputs,-0.007800940424203873,-0.024453159463826184,-0.0013557663973780163,0.0535,0.00652148041369766,False,True,False,True
4,X2,X4,output,False,False,-0.005072170835677061,-0.01516494389813237,0.0,0.0,0.005072170835677061,0.031,0.291764846534962,False,False,False,False,False,True,True,outputs,-0.009087816812098026,-0.027171054875081757,-0.004015645976420965,0.0555,0.0042155418883988325,False,True,False,True
4,X2,X5,output,True,True,-0.006580989675203685,-0.014873699538872383,0.005307386436894569,0.011995227936079848,0.011888376112098253,0.169,2.3993441118316873e-25,False,True,False,False,False,False,True,outputs,-0.011647943407297134,-0.02632552534441788,-0.005066953732093449,0.11,5.921726228550105e-11,False,True,False,True
4,X3,X0,input,False,False,0.07719101978822389,0.07668919917782441,0.0,0.0,-0.07719101978822389,0.044,0.041621298682206154,True,True,True,False,False,True,False,outputs,,,,,,,,,
4,X3,X1,input,False,False,-0.03275923345608156,-0.012501182096310974,0.0,0.0,0.03275923345608156,0.019,0.8633028038475316,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X3,X2,input,False,False,0.014747244941944349,0.034203415109884935,0.0,0.0,-0.014747244941944349,0.028,0.4132324404768168,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X3,X4,output,True,True,0.3413599887097545,1.0206093693528977,0.34092557991814565,1.0193105595992384,-0.0004344087916088313,0.9105,0.0,True,True,True,False,False,False,False,outputs,0.026885762810707092,0.08038394168725625,-0.3144742258990474,0.052,0.008951455390244015,False,True,False,False
4,X3,X5,output,False,True,0.4308540592396104,0.973773571835173,0.4248881038550154,0.96028991174266,-0.00596595538459499,0.9105,0.0,True,True,True,False,False,True,False,outputs,0.03929692506790161,0.0888150088525189,-0.3915571341717088,0.0535,0.00652148041369766,False,True,False,False
4,X4,X0,input,False,False,0.009052066672334689,0.00899321897689874,0.0,0.0,-0.009052066672334689,0.0245,0.5858212770267918,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X4,X1,input,False,False,0.04468857257230319,0.017053512076206968,0.0,0.0,-0.04468857257230319,0.0165,0.9483720845849481,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X4,X2,input,False,False,-0.006237604580138889,-0.014466931252969424,0.0,0.0,0.006237604580138889,0.0305,0.3100757299327459,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X4,X3,output,False,False,-0.000580934508329617,-0.0018210220047505813,0.0,0.0,0.000580934508329617,0.02,0.8187536311788122,False,False,False,False,False,True,True,outputs,-4.451838321983814e-05,-0.00013954921647251587,0.0005364161251097788,0.0185,0.8835917582147937,False,False,False,True
4,X4,X5,output,True,True,0.4870977649099931,1.1008900118207978,0.4905023908016486,1.1085848092682928,0.003404625891655466,1.0,0.0,True,True,True,False,False,False,False,outputs,-0.0040110996924340725,-0.009065489324579637,-0.4911088646024272,0.0185,0.8835917582147937,False,False,False,False
4,X5,X0,input,False,False,-0.027532081500315088,-0.027353094799764152,0.0,0.0,0.027532081500315088,0.0245,0.5858212770267918,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X5,X1,input,False,False,0.05628200030203789,0.021477655619252203,0.0,0.0,-0.05628200030203789,0.0255,0.5339072834011876,True,False,False,False,False,True,True,outputs,,,,,,,,,
4,X5,X2,input,False,False,0.01979688452315176,0.045915088675440495,0.0,0.0,-0.01979688452315176,0.0315,0.274233348575873,False,False,False,False,False,True,True,outputs,,,,,,,,,
4,X5,X3,output,False,False,-0.004109038205581589,-0.012880365830289649,0.0,0.0,0.004109038205581589,0.019,0.8633028038475316,False,False,False,False,False,True,True,outputs,-0.005049063824117184,-0.01582701009369314,-0.0009400256185355949,0.015,0.9780895655250116,False,False,False,True
4,X5,X4,output,False,False,-0.003491044191388649,-0.010437639232481179,0.0,0.0,0.003491044191388649,0.0175,0.9194667579636621,False,False,False,False,False,True,True,outputs,-0.004950955975800753,-0.014802531706351605,-0.0014599117844121038,0.0155,0.9699601425241099,False,False,False,True
