input_0,input_1,input_2,input_grad_0,input_grad_1,input_grad_2,output_0,output_1,output_2
0.039880093,-0.920906,-0.55458045,2.968585,-0.04990314,-0.005143985,0.020438801,0.016546296,-0.00020023435
-0.7843015,1.456915,0.2990504,1.0236756,0.11942867,-0.096908756,-0.296522,-0.2799644,-0.248071
-0.0039501055,-1.3256515,1.1955099,5.343888,-0.086747214,0.15293866,-0.062353734,-0.06264521,0.0072340528
1.192943,0.7596952,0.36023694,1.1850176,-0.42729816,0.11185242,0.5078723,0.48751396,0.43654874
0.008823962,1.3057772,1.1121912,1.1533501,-0.02196157,-0.015443649,-0.010597819,-0.007912148,-0.0010698345
-1.0202388,0.628142,-0.34838074,1.1894255,0.43237287,-0.10434811,-0.44401988,-0.42032596,-0.36301696
-1.1021425,-0.28811896,1.2028441,2.0583692,1.5009956,-0.21173322,-0.83189887,-0.78833455,-0.7624386
-0.10715232,-0.96911824,-0.990239,2.9455352,0.336308,-0.005816132,-0.13830207,-0.13505523,-0.12921146
-0.6234826,-0.2493199,0.53477746,1.9245042,0.80975175,-0.12831372,-0.4543762,-0.4308333,-0.38769367
-0.4495873,-1.6083434,0.25543553,6.7592287,3.8751857,-0.3699836,-1.1086171,-1.059189,-1.0402201
-0.43290395,-0.32664117,-0.50435585,1.8594699,0.5766781,-0.073448345,-0.30798063,-0.29317355,-0.25386825
1.2012988,0.8721564,0.7554673,1.1906501,-0.39676094,0.12237542,0.50258917,0.48350093,0.45551115
0.25613675,-0.92077523,0.82963383,3.3631194,-0.74726355,0.08756447,0.2426875,0.23196788,0.26561248
-0.60113686,-0.98974544,0.28767344,3.3368878,2.0534434,-0.22687274,-0.7616388,-0.725598,-0.66451305
-0.81526804,1.5940093,0.5722196,1.0215364,0.10236168,-0.102552205,-0.31168106,-0.2941377,-0.26255858
-0.3004083,0.21980664,-0.542743,1.3884466,0.22928217,-0.029546127,-0.15553534,-0.14740579,-0.1315464
2.0466132,1.3333515,0.053705975,0.94407326,-0.43762442,0.17984995,0.72762626,0.69849324,0.6087129
-0.27835092,-1.3833041,-1.4837288,4.0889263,1.2488483,-0.07256341,-0.4662406,-0.44956866,-0.37101522
-2.4377563,1.5571432,0.5990695,0.9414574,0.40933555,-0.21142533,-0.88149786,-0.8317755,-0.7629636
