input_0,input_1,input_2,input_grad_0,input_grad_1,input_grad_2,output_0,output_1,output_2
0.039880093,-0.920906,-0.55458045,2.7499504,-0.1435867,-0.042865917,0.027430821,0.028797101,0.01365952
-0.7843015,1.456915,0.2990504,0.97794634,0.119390264,-0.033239126,-0.28658742,-0.29323667,-0.29936484
-0.0039501055,-1.3256515,1.1955099,5.110165,-0.18774974,-0.032481015,-0.011769144,-0.019951936,-0.012293814
1.192943,0.7596952,0.36023694,1.4036715,-0.5164572,0.14697921,0.534114,0.5055874,0.53857934
0.008823962,1.3057772,1.1121912,1.1102183,-0.04078783,0.020754501,0.0012011211,-0.005201198,-0.011529824
-1.0202388,0.628142,-0.34838074,1.2233591,0.42162463,-0.11761209,-0.46613473,-0.4250228,-0.36987647
-1.1021425,-0.28811896,1.2028441,2.182169,1.2661054,-0.41273248,-0.7715953,-0.7496523,-0.9867901
-0.10715232,-0.96911824,-0.990239,2.7858028,0.20780301,-0.10403909,-0.11784182,-0.109626636,-0.07891897
-0.6234826,-0.2493199,0.53477746,1.958652,0.67374265,-0.20070377,-0.40854502,-0.3993192,-0.4344847
-0.4495873,-1.6083434,0.25543553,7.0388227,6.370827,-0.2602973,-1.0965368,-1.0626398,-1.0796516
-0.43290395,-0.32664117,-0.50435585,1.7857401,0.45461655,-0.043996274,-0.30863512,-0.2873096,-0.23695621
1.2012988,0.8721564,0.7554673,1.3779904,-0.5242407,0.08181824,0.5210568,0.47990927,0.5756567
0.25613675,-0.92077523,0.82963383,3.2681284,-0.7377088,0.09274113,0.25337374,0.22985548,0.2921323
-0.60113686,-0.98974544,0.28767344,3.087429,1.668663,-0.22354797,-0.6426082,-0.6290323,-0.6383299
-0.81526804,1.5940093,0.5722196,0.97316253,0.15620315,0.035806954,-0.28326178,-0.288819,-0.31858405
-0.3004083,0.21980664,-0.542743,1.3443301,0.17655048,-0.046463847,-0.17258053,-0.15712655,-0.13420211
2.0466132,1.3333515,0.053705975,0.90978956,-0.7256428,0.26816535,0.732146,0.70782685,0.6984293
-0.27835092,-1.3833041,-1.4837288,4.110116,1.6772864,-0.2453277,-0.46488354,-0.42840937,-0.2165399
-2.4377563,1.5571432,0.5990695,1.10776,0.82679236,-0.23899814,-0.816907,-0.77534086,-0.92487043
-0.3574604,0.098888524,-1.513423,1.4614745,0.24064468,-0.12436438,-0.20542593,-0.17981109,-0.09528048
0.403884,0.47001266,1.2836796,1.5330279,-0.23191649,-0.02900979,0.20477909,0.16613898,0.22771916
-0.751523,0.9065717,1.6318831,1.3687305,0.50463843,-0.09836632,-0.31303984,-0.28236845,-0.4376797
0.12147844,-0.14450477,1.7299228,2.138869,-0.05440098,-0.23587298,0.062814265,0.022730272,0.045174867
2.0133455,-0.5663085,-0.57575864,2.1083713,-2.7805905,0.5316254,1.6474416,1.5451046,1.1955787
1.0919917,0.3581015,1.513242,1.6880124,-0.71128356,-0.0047155023,0.5578377,0.49168155,0.70551383
0.9502388,-0.49613607,0.8972689,2.4941628,-1.4393295,0.1748085,0.74354905,0.68096155,0.84276426
-1.2695487,-0.10114695,0.42574427,1.9482433,1.1365668,-0.31280273,-0.7762171,-0.7463289,-0.81529254
-0.32344437,0.41226748,0.11915928,1.3123437,0.14600006,-0.015747026,-0.16593026,-0.1593485,-0.15588677
-0.1328783,-0.31256536,-1.2975751,1.7722774,0.13141274,-0.12070364,-0.09626199,-0.078030095,-0.053587824
-0.03775034,-1.3942825,0.8452434,5.3753767,0.14818776,0.0055039227,-0.071393624,-0.07201965,-0.07252585
1.8650044,-0.36522466,0.8453451,2.2490711,-2.3614895,0.31742212,1.3484038,1.2684547,1.5542794
1.484604,-1.0688733,0.59454393,3.6304002,-5.1850038,0.4942074,1.7635736,1.7005769,1.9591483
-0.21563569,-0.24452767,0.14177513,1.7759931,0.23027964,-0.019915864,-0.15416713,-0.14924133,-0.14051317
0.53201777,1.0897363,0.3665077,1.2374499,-0.20678055,0.099451184,0.19704406,0.18712683,0.20047605
-0.9555454,1.1748754,1.3208594,1.2222103,0.4657123,-0.020940099,-0.35667443,-0.32619032,-0.4657193
0.8901991,1.2022766,0.452429,1.2313886,-0.34063953,0.08513717,0.33404237,0.3205319,0.3505327
-1.810973,-0.14288385,-0.2806589,1.8854113,1.5303996,-0.3487135,-1.1679807,-1.0976962,-0.96230215
0.9996254,-0.76444954,-1.1937985,2.3290708,-1.6983565,0.21670848,0.91828,0.88629913,0.490617
-1.0848615,-1.654904,-1.057618,6.637703,14.432055,-0.9187982,-2.945886,-2.8063686,-1.6914535
1.7381204,0.91590583,1.3642564,1.3922048,-0.79353434,0.051309377,0.7228389,0.6629161,0.940342
1.1739981,-0.84334904,-0.6204493,2.7363396,-2.4436216,0.3710046,1.1454382,1.1019182,0.82035697
-0.29842392,-1.1508573,-1.1356424,3.266025,0.9641379,-0.17905344,-0.3814934,-0.36017162,-0.2199623
-0.3200064,0.48691005,-1.379937,1.2344189,0.14720136,-0.111521445,-0.15257806,-0.13618633,-0.08195403
-1.1343107,-1.1809591,0.9784808,3.9793715,4.96782,-0.5676744,-1.4521289,-1.3765694,-1.8051685
-0.9784968,1.5269617,-1.0434079,0.7754519,0.18474916,-0.14191353,-0.34093553,-0.33101386,-0.20293571
-0.99715006,-1.0212508,-1.5740887,2.5722222,2.2646987,-0.44443125,-1.1340096,-1.0448723,-0.4746107
-0.85239625,0.1377797,-0.4758997,1.4680095,0.5637818,-0.06976399,-0.47358894,-0.43023723,-0.36101004
0.55267394,0.018465878,-1.1975735,1.4306469,-0.36575598,-0.022182144,0.322443,0.31230143,0.17132242
-0.5464856,1.5072154,1.1057578,1.0335345,0.17028399,0.07549034,-0.18412676,-0.17526576,-0.23652804
0.7449139,1.5329809,0.48557165,1.1063063,-0.30004963,0.05818522,0.24146827,0.23275223,0.25836745
-0.40591303,0.6531709,1.4692427,1.4828997,0.29534948,-0.124776,-0.18273507,-0.1796065,-0.26216933
0.11075966,-0.26443818,-1.1455802,1.7106411,-0.095836475,-0.09347866,0.069844656,0.07635544,0.034550846
0.3165013,1.6260247,1.4552191,0.98842835,-0.1175422,0.010637537,0.07807366,0.08052105,0.1251502
