input_0,input_1,input_2,input_grad_0,input_grad_1,input_grad_2,output_0,output_1,output_2
0.8489174,1.2779335,-1.2514166,0.627906,-0.085883886,-0.04127334,0.2720558,0.3156168,0.14689831
2.0167892,-0.056072444,-0.3650985,2.216373,-1.9654251,0.5057609,1.193568,1.1134712,0.8709652
-0.97681403,1.1701298,-0.2526156,0.8235781,0.2247478,-0.18835616,-0.3709751,-0.3446434,-0.27531752
0.67528874,-0.9176151,0.28545216,4.71367,-3.851934,0.5718126,0.74687785,0.6810235,0.83571166
0.010541694,1.278239,-0.07989991,1.0092182,-0.07604885,0.5707044,0.02652862,0.0052534826,-7.894542e-05
0.67248803,0.44617015,-0.38355845,1.2226388,-0.31715006,0.16373885,0.28097162,0.25901,0.19039649
-0.26110938,-1.645845,0.93168247,8.567025,0.16484958,0.32462487,-0.6080012,-0.5620055,-0.6491855
-0.48171616,0.3553414,0.50928533,1.5088086,0.22262806,0.27012616,-0.18885359,-0.22403759,-0.25938347
1.7151997,-1.4066515,1.2372413,4.0617304,-5.1321926,-0.18995371,3.0055614,2.768624,3.5054846
-1.0352498,1.200095,-1.4172932,0.90777457,0.2263276,0.041383892,-0.36219975,-0.32732224,-0.13596317
0.49054348,0.43198356,0.046133213,0.97118425,-0.07035941,0.24677932,0.20330462,0.19337422,0.20438367
-0.5993704,0.1219629,-1.5469909,0.97427887,0.41781414,0.42325705,-0.34039196,-0.34722987,-0.074790396
1.3601062,-0.8773845,0.8950652,4.0617304,-5.1321926,-0.18995371,1.6314397,1.5208325,2.0338013
-0.16071296,0.49719724,-0.8970309,0.8470303,0.010145694,0.15709502,-0.07291945,-0.084993586,-0.027429834
0.22195113,1.6602021,1.4733636,1.3245325,0.023513108,-0.12426764,0.04529337,0.05639227,0.13289934
-0.7588896,-0.28111178,-1.5771643,1.0625552,0.7616381,0.38107198,-0.5102285,-0.506016,-0.124627724
-0.7601439,0.19982731,0.85264945,1.8525726,0.81105226,-0.25311226,-0.35869515,-0.38167018,-0.51543325
-2.1108582,0.7818976,-0.75046134,1.3594438,0.72883964,-0.039968535,-0.93086296,-0.8410249,-0.5592165
1.4262246,0.2653193,0.852296,1.8322458,-1.2407758,0.70321906,0.71874326,0.6365645,0.85806465
0.83518434,0.85530007,0.7282233,0.7493045,0.11102767,-0.10036752,0.24814805,0.29518297,0.35376635
-1.2883762,-1.3658888,1.261856,4.454643,4.8573613,-0.05340451,-2.2850645,-2.2498171,-2.7375932
0.47784534,1.2843506,0.9186112,1.0006979,0.06869024,-0.030654326,0.14581823,0.19008127,0.27238253
-0.88329643,-0.082579695,-0.8955514,1.5443958,0.74011296,-0.13959536,-0.4872401,-0.4697348,-0.19699872
-0.2128683,-0.24377698,-0.8468761,1.5547198,0.22940111,-0.12330217,-0.103473544,-0.15557475,-0.03196562
1.067711,1.2182205,1.3064456,0.9447528,-0.030720107,0.05962029,0.3038878,0.33651298,0.44836554
1.2214692,-1.5156684,0.45191547,4.9356,-4.368739,0.51699334,2.6112254,2.4421356,2.7008557
1.4122144,-1.4068485,1.4645965,4.579856,-4.7475986,-0.42457604,2.5039408,2.3387032,2.988852
0.86283314,-0.9141432,-0.9833648,3.0523973,-3.246301,0.2869734,0.9814685,0.97213477,0.49633387
-0.59543115,-1.4488847,0.8683469,5.5113935,3.869834,-0.1488775,-1.301516,-1.2638148,-1.5279286
-0.8670157,-0.4943705,-1.4790514,2.0138593,1.9868441,0.20026878,-0.662442,-0.6309526,-0.22839919
0.86319643,-1.0973414,-1.2175301,4.017934,-3.7200315,1.01546,1.1708066,1.1561772,0.5929377
-0.18805766,-0.17131872,1.6447552,1.9268367,-0.23720813,-0.19226289,-0.106096685,-0.11933437,-0.33968106
-0.02074104,-0.74522233,1.0437528,3.3175833,-0.6553583,0.40277085,-0.040458076,-0.017479684,-0.05444613
-2.1063883,-1.5964648,0.9987862,3.297697,5.178091,-0.4406027,-3.7574732,-3.6354709,-3.926403
-2.0748875,-0.20364368,1.2882718,3.043951,3.5486832,-0.33724898,-1.4113557,-1.3228105,-1.760761
-0.69833416,-1.273416,0.623384,5.14546,4.158186,-0.39090097,-1.2449409,-1.2133397,-1.443208
1.7815285,-1.4391235,-1.5812365,4.136792,-4.890783,1.2401183,2.9719632,2.9050677,1.7593844
-1.3843001,-0.061323997,1.6593981,1.4463934,0.9170358,-0.31500816,-0.78796035,-0.76048017,-1.2310821
0.5976695,1.209216,0.6266487,1.0219538,-0.09270698,-0.123521745,0.1979858,0.23353684,0.3103002
1.9083402,-0.45567748,1.7276986,2.862493,-3.0432472,0.26298073,1.5516417,1.4451808,2.1731863
