fold,target_mode,treatment,outcome,low_value,high_value,ate_aligned_dowhy,ate_sem_do,delta_aligned_minus_sem,abs_delta,sem_ks_stat,sem_ks_p,sem_effect_by_ate,sem_effect_by_ks,sem_effect_present,dowhy_error
1,observable_state,input_0,input_1,-0.6213840381970399,0.6454840040576616,0.0,0.07708970878473576,-0.07708970878473576,0.07708970878473576,0.0315,0.274233348575873,True,False,False,
1,observable_state,input_0,input_2,-0.6213840381970399,0.6454840040576616,0.0,-0.001635400114452512,0.001635400114452512,0.001635400114452512,0.02,0.8187536311788122,False,False,False,
1,observable_state,input_0,output_0,-0.6213840381970399,0.6454840040576616,0.2992044558994811,0.328768490009097,-0.029564034109615944,0.029564034109615944,1.0,0.0,True,True,True,
1,observable_state,input_0,output_1,-0.6213840381970399,0.6454840040576616,0.29799765158313085,0.3288349913577673,-0.03083733977463643,0.03083733977463643,0.761,0.0,True,True,True,
1,observable_state,input_0,output_2,-0.6213840381970399,0.6454840040576616,0.3915859620398988,0.4134608278191968,-0.02187486577929798,0.02187486577929798,0.7605,0.0,True,True,True,
1,observable_state,input_1,input_0,4.344262182879289,7.1719431927837,0.0,-0.04513381651968819,0.04513381651968819,0.04513381651968819,0.037,0.1293721790169698,False,False,False,
1,observable_state,input_1,input_2,4.344262182879289,7.1719431927837,0.0,0.014803519685921085,-0.014803519685921085,0.014803519685921085,0.0285,0.3910873897562125,False,False,False,
1,observable_state,input_1,output_0,4.344262182879289,7.1719431927837,0.028947792678176217,-0.008309045069542184,0.0372568377477184,0.0372568377477184,0.128,1.0827746357850127e-14,False,True,False,
1,observable_state,input_1,output_1,4.344262182879289,7.1719431927837,0.030688540442112333,-0.008920907808538015,0.039609448250650346,0.039609448250650346,0.117,2.4357420669914137e-12,False,True,False,
1,observable_state,input_1,output_2,4.344262182879289,7.1719431927837,0.09464317454110549,-0.011278008779099107,0.1059211833202046,0.1059211833202046,0.105,5.123530116436522e-10,False,True,False,
1,observable_state,input_2,input_0,1.1982166767108893,1.3225168357738255,0.0,-0.00411095039325186,0.00411095039325186,0.00411095039325186,0.0195,0.8416360266077476,False,False,False,
1,observable_state,input_2,input_1,1.1982166767108893,1.3225168357738255,0.0,-0.04959993395683693,0.04959993395683693,0.04959993395683693,0.0265,0.48382276598146434,False,False,False,
