input_0,input_1,input_2,output_0,output_1,output_2
0.8489174,1.2779335,-1.2514166,0.2720558,0.3156168,0.14689831
2.0167892,-0.056072444,-0.3650985,1.193568,1.1134712,0.8709652
-0.97681403,1.1701298,-0.2526156,-0.3709751,-0.3446434,-0.27531752
0.67528874,-0.9176151,0.28545216,0.74687785,0.6810235,0.83571166
0.010541694,1.278239,-0.07989991,0.02652862,0.0052534826,-7.894542e-05
0.67248803,0.44617015,-0.38355845,0.28097162,0.25901,0.19039649
-0.26110938,-1.645845,0.93168247,-0.6080012,-0.5620055,-0.6491855
-0.48171616,0.3553414,0.50928533,-0.18885359,-0.22403759,-0.25938347
1.7151997,-1.4066515,1.2372413,3.0055614,2.768624,3.5054846
-1.0352498,1.200095,-1.4172932,-0.36219975,-0.32732224,-0.13596317
0.49054348,0.43198356,0.046133213,0.20330462,0.19337422,0.20438367
-0.5993704,0.1219629,-1.5469909,-0.34039196,-0.34722987,-0.074790396
1.3601062,-0.8773845,0.8950652,1.6314397,1.5208325,2.0338013
-0.16071296,0.49719724,-0.8970309,-0.07291945,-0.084993586,-0.027429834
0.22195113,1.6602021,1.4733636,0.04529337,0.05639227,0.13289934
-0.7588896,-0.28111178,-1.5771643,-0.5102285,-0.506016,-0.124627724
-0.7601439,0.19982731,0.85264945,-0.35869515,-0.38167018,-0.51543325
-2.1108582,0.7818976,-0.75046134,-0.93086296,-0.8410249,-0.5592165
1.4262246,0.2653193,0.852296,0.71874326,0.6365645,0.85806465
0.83518434,0.85530007,0.7282233,0.24814805,0.29518297,0.35376635
-1.2883762,-1.3658888,1.261856,-2.2850645,-2.2498171,-2.7375932
0.47784534,1.2843506,0.9186112,0.14581823,0.19008127,0.27238253
-0.88329643,-0.082579695,-0.8955514,-0.4872401,-0.4697348,-0.19699872
-0.2128683,-0.24377698,-0.8468761,-0.103473544,-0.15557475,-0.03196562
1.067711,1.2182205,1.3064456,0.3038878,0.33651298,0.44836554
1.2214692,-1.5156684,0.45191547,2.6112254,2.4421356,2.7008557
1.4122144,-1.4068485,1.4645965,2.5039408,2.3387032,2.988852
