input_0,input_1,input_2,pre_1_fc1_0,pre_1_fc1_1,pre_1_fc1_2,pre_1_fc1_3,pre_1_fc1_4,pre_1_fc1_5,pre_1_fc1_6,pre_1_fc1_7,pre_1_fc1_8,pre_1_fc1_9,pre_1_fc1_10,pre_1_fc1_11,pre_1_fc1_12,pre_1_fc1_13,pre_1_fc1_14,pre_1_fc1_15,pre_1_fc1_16,pre_1_fc1_17,pre_1_fc1_18,pre_1_fc1_19,pre_1_fc1_20,pre_1_fc1_21,pre_1_fc1_22,pre_1_fc1_23,pre_1_fc1_24,pre_1_fc1_25,pre_1_fc1_26,pre_1_fc1_27,pre_1_fc1_28,pre_1_fc1_29,pre_1_fc1_30,pre_1_fc1_31,pre_2_fc2_0,pre_2_fc2_1,pre_2_fc2_2,pre_2_fc2_3,pre_2_fc2_4,pre_2_fc2_5,pre_2_fc2_6,pre_2_fc2_7,pre_2_fc2_8,pre_2_fc2_9,pre_2_fc2_10,pre_2_fc2_11,pre_2_fc2_12,pre_2_fc2_13,pre_2_fc2_14,pre_2_fc2_15,pre_2_fc2_16,pre_2_fc2_17,pre_2_fc2_18,pre_2_fc2_19,pre_2_fc2_20,pre_2_fc2_21,pre_2_fc2_22,pre_2_fc2_23,pre_2_fc2_24,pre_2_fc2_25,pre_2_fc2_26,pre_2_fc2_27,pre_2_fc2_28,pre_2_fc2_29,pre_2_fc2_30,pre_2_fc2_31,pre_3_fc3_0,pre_3_fc3_1,pre_3_fc3_2,output_0,output_1,output_2
-0.2473756,-0.4108927,-1.2323649,0.22282958,1.0291641,0.07129252,-0.41149825,-0.6393086,0.9276304,0.49807578,-0.020383313,-0.91375685,0.28931972,-0.67114276,-0.13999029,-0.77593225,-0.75061166,0.5208638,0.12521876,0.48759958,0.96321845,-0.3079759,0.14980042,0.9552409,-0.86016667,0.060554832,1.276792,0.47787017,-0.8450042,-0.0034906864,0.67949414,-0.062445402,0.13598844,-0.5803805,0.71453446,-0.47455066,0.26881653,0.754022,0.84071445,0.68973845,-0.9031119,-0.17491758,-1.5046026,0.724876,-0.856378,0.26583484,-0.72248137,-0.35147974,-0.4925152,-0.74881035,0.5866007,0.7228853,0.5465275,0.419447,0.851081,0.8966039,-0.9030952,-1.0830492,0.51183754,0.4711684,-0.0326721,0.8092937,-0.8213711,-0.19260332,-0.39893818,-0.12593961,0.45480025,-0.19361366,-0.24196006,-0.12898381,-0.19361366,-0.24196006,-0.12898381
-0.56639075,-0.7387628,-0.111624755,-0.5171982,0.8806804,0.24638921,-0.58400935,-0.48710746,0.67451066,1.0524155,0.028494611,-0.57734823,0.019989818,-1.0655155,-0.6447002,-0.006981083,-0.40864047,0.22431527,-0.30057046,-0.3046549,-0.04840374,0.41667467,0.34178138,0.32383403,-0.4434895,0.36870527,0.6401434,0.45086402,-0.6937411,0.5637674,-0.18075992,0.43050927,-0.12503648,-0.26331824,0.13765728,-0.42097402,0.4705253,0.45160347,0.07014905,0.38707468,-0.41962194,0.16781734,-0.16551821,0.6851227,-0.3469902,0.7657603,-0.12137436,-0.27213702,0.30770117,-0.1925998,0.5625895,0.6002267,0.9760182,0.3226437,0.44808093,0.5887641,-0.5569742,-0.017648254,0.2827568,0.35312533,0.1977727,0.41990414,-0.08800847,-0.18197693,-0.35700867,0.0696738,0.64467835,-0.5124965,-0.49142477,-0.3587006,-0.5124965,-0.49142477,-0.3587006
-0.99218696,-1.3438154,-0.52600944,-0.4121895,1.7012004,-0.35739636,-0.4905008,-0.6584563,0.54619145,1.5706577,0.2686841,-0.910777,-0.3520169,-1.4118209,-1.1203886,-0.22840989,-0.67920244,0.34052753,-0.55412227,-0.33146432,-0.07231352,0.5370592,0.034154773,0.70921594,-0.80108225,0.6004541,0.86647344,0.9953239,-1.2058687,1.0035661,-0.29063505,0.3883052,0.1899651,-0.6810863,-0.1909197,-0.34501296,0.7706679,0.32177824,-0.5504446,0.8517334,-0.33340156,0.44108754,0.5153437,1.0045587,-0.20687623,1.4199396,0.6962725,-0.28051722,0.91478485,0.2992044,0.86577326,0.98454434,1.6152725,0.26546627,0.31694,0.46306562,-0.48110735,0.81000257,0.13350941,0.32074204,0.30770916,0.3247133,-0.037530836,-0.16018486,-0.48277313,-0.0035313703,0.93962127,-1.9205213,-1.8401914,-1.4720068,-1.9205213,-1.8401914,-1.4720068
0.40069082,-1.0194421,-1.5127716,0.55733025,1.347103,0.097126305,0.22570145,-0.21714436,1.0426601,0.7593842,-0.098186955,-0.5716896,0.21585995,-0.43885818,-0.092811786,-1.268253,-0.75667036,1.2950594,0.48610938,-0.08135065,1.197133,-0.8870501,0.5126604,0.695784,-0.66621697,0.58599174,1.3563762,0.5991558,-0.7294537,0.17605528,1.1429337,-0.22016978,0.8238256,-0.61415476,0.8000516,-0.024306059,0.27253354,1.0905331,0.8838423,0.47339305,-0.4275093,0.29469,-1.3228123,0.5872853,-0.29645592,0.33553034,-0.5103811,-0.32267433,-0.32448542,-0.6803159,0.4300328,0.8062068,0.3743385,0.8150233,1.2464851,1.6382201,-0.18241057,-0.66128117,1.2687312,0.8651871,0.49062002,1.3627114,-0.5405773,-0.3794639,-0.44969475,0.13136247,0.6923908,0.46561572,0.38034296,0.13996075,0.46561572,0.38034296,0.13996075
-0.9234328,0.574596,0.6524958,-1.0330863,-0.30907005,0.8143429,-1.4371246,-0.8170451,0.65921897,0.24193725,-0.114806786,-0.6486316,0.46866885,-1.0081301,-0.2419142,0.81186116,-0.1279294,-0.8165092,-0.4881296,0.3823878,-0.32303426,1.0008261,0.21747237,0.23982963,-0.31327352,-0.47825605,0.3097655,-0.23056054,-0.3232692,-0.07192849,-0.6405007,0.6694205,-1.2584475,0.19495451,0.34841543,-0.96876407,0.24111384,0.18338074,0.97244793,-0.18521124,-0.8118504,-0.09526628,-0.80677193,0.38408816,-0.9258044,0.3983475,-0.94484884,-0.6294926,-0.8689202,-0.64355713,0.5405235,0.47134665,0.36213976,0.13567087,0.5629299,0.38049978,-1.3725132,-1.0123019,0.22063632,0.40664062,-0.48489374,0.55372953,-0.7493368,-0.24521677,-0.57978064,0.081081934,0.547014,-0.33262214,-0.29744327,-0.43144906,-0.33262214,-0.29744327,-0.43144906
-1.406577,0.19132975,-0.3971755,-0.5758923,0.666967,-0.0042284727,-1.3854932,-1.208118,0.62119293,0.4804332,0.16089638,-1.31507,0.19753951,-1.2534688,-0.53323966,0.23930906,-0.6380962,-0.70197845,-0.63756955,0.9336105,0.15844321,0.8785764,-0.34259248,1.1128498,-1.0170946,-0.5051721,0.9147881,0.39892042,-1.0419881,0.08651865,-0.401587,0.38178608,-0.90760744,-0.46859553,0.26216576,-0.6109592,0.39322212,0.31127578,0.5215347,0.6532983,-0.8006737,-0.316161,-0.73890465,0.68033063,-0.79951227,0.5784692,-0.48163897,-0.4616226,-0.498909,-0.29937753,0.6531351,0.6924095,0.9200982,-0.07138246,0.53550243,0.2131101,-1.1199281,-0.82268167,-0.14873643,0.29899812,-0.17981371,0.4690175,-0.8522627,-0.08517654,-0.54991746,-0.23193568,0.48640895,-0.73108697,-0.66791713,-0.5191749,-0.73108697,-0.66791713,-0.5191749
-0.75447273,-1.2068958,1.4586703,-1.4803568,0.5724769,0.62762743,-0.6869783,-0.13590749,0.38144004,1.7674662,0.023986861,0.044353664,-0.287827,-1.4768754,-1.2251546,0.9831868,0.121730566,-0.021421239,-0.7443083,-1.5318325,-1.3827478,1.2490761,0.76345587,-0.69644755,0.25814652,0.8716039,-0.26937515,0.32317305,-0.34368074,1.2939557,-1.2310007,1.0819016,-0.38668287,0.25834277,-0.56550854,-0.5368955,1.0225627,0.5033301,-0.20753269,-0.14771417,-0.22747211,0.77550685,0.7472154,0.4263754,-0.45912933,1.4972852,-0.077311695,-0.46375877,0.25027996,0.20527178,0.68288547,0.7459849,1.2168849,0.46123263,0.50180024,0.6544946,-0.6915707,0.555502,0.4879874,0.33435863,0.106235415,0.4805171,-0.112333186,-0.3671453,-0.708717,0.2939365,1.2910885,-1.0342672,-1.0380391,-1.4303644,-1.0342672,-1.0380391,-1.4303644
-0.1250438,-0.7563118,-0.64007986,-0.08843583,0.9591796,0.2612638,-0.2767671,-0.36579174,0.84288275,0.8511789,-0.053694114,-0.54375625,0.15417856,-0.76351434,-0.35069773,-0.49380335,-0.52028644,0.6340611,0.052340016,-0.1860303,0.47322077,-0.12966537,0.44114888,0.44021586,-0.4979937,0.41126943,0.9106926,0.43800044,-0.6460655,0.3356965,0.37684917,0.16644995,0.21027604,-0.35589436,0.4577842,-0.37820736,0.36253223,0.5902004,0.41806388,0.40354976,-0.49157304,0.07231723,-0.8078018,0.68801415,-0.41144493,0.53021896,-0.38439757,-0.20739047,0.036378928,-0.52878,0.52776974,0.6085653,0.6463419,0.5500225,0.71466535,0.920451,-0.49946892,-0.4325496,0.5773688,0.49053678,0.19726422,0.68322444,-0.21345288,-0.28015533,-0.37411204,0.1355294,0.5747256,-0.090430036,-0.14021225,-0.0938478,-0.090430036,-0.14021225,-0.0938478
1.2581689,0.40170035,-1.271714,0.69005,-0.17872228,1.1396099,0.028142631,-0.04815328,1.3978252,-0.5561912,-0.5634351,-0.17980058,1.0724611,0.3813656,1.0621436,-1.1688131,-0.4251606,1.0958986,1.1252724,0.48631242,1.7337586,-1.3939698,0.9282533,0.3466709,-0.24497287,-0.10582411,1.2505496,-0.43521047,0.13687688,-0.98395073,1.7217356,-0.37236506,0.24606344,0.013084076,1.7086997,-1.1539109,0.43152484,1.4781842,2.3560576,0.008990794,-1.8216769,0.06077151,-3.4978104,0.47727346,-1.875704,-0.3907847,-2.473464,-0.705233,-1.7331583,-2.0089943,0.6053391,1.1854949,-0.2403176,1.0244062,1.7718887,2.0729647,-1.9280236,-2.3041317,1.6906762,1.1420249,-1.034288,1.6127859,-1.6114378,-0.52131194,-0.43114978,0.41621485,0.71185863,0.5560416,0.561598,0.1656364,0.5560416,0.561598,0.1656364
-0.054313265,-0.16783258,0.7907652,-0.8781694,-0.17829718,1.0842211,-0.6820878,-0.15676343,0.7606292,0.6292392,-0.2702863,0.016677916,0.3860333,-0.7375827,-0.21671836,0.49218506,0.06108719,0.06995143,-0.08542933,-0.63637877,-0.3578463,0.45207268,0.8526902,-0.4336864,0.19116108,0.25572228,0.12853071,-0.2374874,0.030322567,0.23455441,-0.29461515,0.644199,-0.53140116,0.3813814,0.35659975,-0.8362515,0.40157345,0.39837784,0.8340549,-0.3735547,-0.5214382,0.1059338,-0.76567304,0.49895537,-0.7537946,0.38627985,-1.0789099,-0.32432804,-0.21360639,-0.7844781,0.46820664,0.41467345,0.30680123,0.529649,0.6682505,0.749054,-1.0530329,-0.9876569,0.60598737,0.5865179,-0.3671479,0.58856434,-0.26172256,-0.36159098,-0.46607274,0.36673492,0.54504305,-0.05708824,-0.05088829,-0.12988095,-0.05708824,-0.05088829,-0.12988095
