=== [Train] Fold 5 (5/5) ===
Step: set random seed (6)
Step: build datasets
Step: initialize model
Step: training setup (model=ResidualMLP, profile=residual, control_mode=epochs, epochs=80, target_updates=None)
Step: training
TrnLoss=0.624 ValLoss=0.349 ValR2=0.674
TrnLoss=0.230 ValLoss=0.152 ValR2=0.859
TrnLoss=0.116 ValLoss=0.119 ValR2=0.889
TrnLoss=0.101 ValLoss=0.101 ValR2=0.906
TrnLoss=0.090 ValLoss=0.092 ValR2=0.915
TrnLoss=0.083 ValLoss=0.083 ValR2=0.923
TrnLoss=0.078 ValLoss=0.080 ValR2=0.925
TrnLoss=0.076 ValLoss=0.078 ValR2=0.927
TrnLoss=0.073 ValLoss=0.074 ValR2=0.931
TrnLoss=0.073 ValLoss=0.073 ValR2=0.932
TrnLoss=0.072 ValLoss=0.072 ValR2=0.933
TrnLoss=0.070 ValLoss=0.071 ValR2=0.934
TrnLoss=0.070 ValLoss=0.072 ValR2=0.933
TrnLoss=0.070 ValLoss=0.072 ValR2=0.933
TrnLoss=0.070 ValLoss=0.069 ValR2=0.936
TrnLoss=0.070 ValLoss=0.070 ValR2=0.935
TrnLoss=0.068 ValLoss=0.067 ValR2=0.937
TrnLoss=0.067 ValLoss=0.067 ValR2=0.937
TrnLoss=0.067 ValLoss=0.067 ValR2=0.937
TrnLoss=0.067 ValLoss=0.067 ValR2=0.938
TrnLoss=0.067 ValLoss=0.068 ValR2=0.937
TrnLoss=0.067 ValLoss=0.066 ValR2=0.938
TrnLoss=0.067 ValLoss=0.067 ValR2=0.938
TrnLoss=0.067 ValLoss=0.070 ValR2=0.935
TrnLoss=0.068 ValLoss=0.066 ValR2=0.938
TrnLoss=0.066 ValLoss=0.066 ValR2=0.938
TrnLoss=0.066 ValLoss=0.067 ValR2=0.937
TrnLoss=0.066 ValLoss=0.066 ValR2=0.938
TrnLoss=0.066 ValLoss=0.066 ValR2=0.938
TrnLoss=0.067 ValLoss=0.067 ValR2=0.938
TrnLoss=0.066 ValLoss=0.066 ValR2=0.938
TrnLoss=0.066 ValLoss=0.069 ValR2=0.936
TrnLoss=0.066 ValLoss=0.066 ValR2=0.938
TrnLoss=0.066 ValLoss=0.066 ValR2=0.939
TrnLoss=0.066 ValLoss=0.066 ValR2=0.938
TrnLoss=0.066 ValLoss=0.066 ValR2=0.938
TrnLoss=0.067 ValLoss=0.068 ValR2=0.936
TrnLoss=0.066 ValLoss=0.066 ValR2=0.938
TrnLoss=0.067 ValLoss=0.067 ValR2=0.937
TrnLoss=0.066 ValLoss=0.067 ValR2=0.937
TrnLoss=0.067 ValLoss=0.066 ValR2=0.938
TrnLoss=0.065 ValLoss=0.065 ValR2=0.939
TrnLoss=0.066 ValLoss=0.066 ValR2=0.939
TrnLoss=0.065 ValLoss=0.068 ValR2=0.936
TrnLoss=0.065 ValLoss=0.067 ValR2=0.937
TrnLoss=0.066 ValLoss=0.066 ValR2=0.938
TrnLoss=0.066 ValLoss=0.066 ValR2=0.938
TrnLoss=0.067 ValLoss=0.067 ValR2=0.937
TrnLoss=0.066 ValLoss=0.068 ValR2=0.936
TrnLoss=0.066 ValLoss=0.066 ValR2=0.939
TrnLoss=0.065 ValLoss=0.066 ValR2=0.939
TrnLoss=0.065 ValLoss=0.065 ValR2=0.939
Early stopping at epoch 52: no validation improvement for 10 epochs (best epoch=42, best val loss=0.065)
 64%|########2    | 51/80 [00:21<00:12,  2.33ep/s]
Step: evaluate test split
