input_0,input_1,input_2,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
0.08345651,-1.500586,-0.18477227,0.7709281,0.14270669,0.0,0.13836291,0.50963074,0.07421988,1.0071659,0.0,0.6166312,1.073229,1.2349873,0.39971823,0.5823179,0.0,0.0,0.53714055,0.378953,0.0,0.79301614,0.0,0.0,0.06081605,0.55353135,0.016341586,0.10797294,0.0,0.59134835,0.7156864,0.0,0.067207515,0.005040437,1.2919321,0.7555278,0.0,0.6721233,0.3024655,0.12836234,0.0,0.0,0.0,0.4597125,0.6461176,0.20721743,1.1237032,0.0,0.61521107,0.038828805,0.0,0.12165445,0.7011852,0.26503816,0.043117084,0.7116212,1.5821013,0.7888908,0.5412515,0.93745875,1.2693931,0.5294091,0.726906,0.69007254,0.0,0.69434196,0.075885415,0.21653086,0.17492868,0.14775425
0.24620788,-1.5633461,-0.0040966687,0.9132834,0.2188586,0.0,0.09814075,0.45487309,0.16700312,0.95529807,0.0,0.6179425,1.169709,1.3575327,0.36220407,0.64248085,0.0,0.0,0.57977575,0.4282159,0.0,0.6949674,0.0,0.0,0.14132139,0.633574,0.0,0.088062376,0.0,0.414562,0.6435936,0.0,0.049747944,0.11239368,1.4294407,0.66155046,0.0,0.61481243,0.30772865,0.47589368,0.0,0.0,0.0,0.407521,0.8349575,0.35509208,1.342418,0.0,0.5754685,0.031426713,0.0,0.11494522,0.6270988,0.21151935,0.0,0.7238965,1.7524371,0.93575424,0.4789646,1.102432,1.3968779,0.47986308,0.64798933,0.6273761,0.0,0.6484628,0.24009293,0.68998855,0.6084047,0.62575245
-2.4881096,-1.1924487,0.4849085,0.62909025,0.0,0.0,1.092172,0.14283049,0.0,0.6871154,0.8730197,0.0,0.0,1.129131,1.9967835,1.1666017,0.0,0.0,1.1717615,0.0,0.13748679,1.8754671,0.0,0.0,0.0,0.0,0.42926738,0.0,0.08070986,1.821264,0.9509832,0.0,0.488257,0.0,1.5616101,2.2068386,0.0,1.7364774,0.9932815,0.0,0.7253135,2.1778057,0.0,1.7857487,0.0,0.0,0.0,0.0,1.3474889,0.0,0.0,0.0,1.7059667,1.5357138,0.465917,1.9449637,0.5063893,0.05916728,1.5507193,0.0,0.19129835,0.953019,1.7358174,1.4363911,0.0,1.6427217,0.0,-3.6074235,-3.3642783,-3.530248
-0.46295717,1.734901,0.04045026,0.52150285,0.0,0.13824211,0.0,0.596786,0.69914687,0.0,0.0,0.0,0.0,0.0,1.110836,0.0,0.803927,0.0,0.2536934,0.0,1.1122465,0.0,0.0,0.3230289,0.0,0.0,0.03506658,0.14780769,0.77387214,1.3502679,0.0,0.0,0.0,0.0,0.0,0.2114599,0.0,0.3262665,0.0,0.0,0.0,0.0,0.0,0.068076,0.049969506,0.0,0.27117428,0.0,0.3435302,0.0,0.0,0.81822395,0.16312881,0.0135819465,0.0,0.87322503,0.24354711,0.37549043,0.0,0.20093246,0.7557059,0.0,0.20786598,0.478988,0.0,0.048912935,0.0,-0.16092914,-0.13925394,-0.14257713
-1.0882443,-0.9525996,-0.23759218,0.4637258,0.0,0.0,0.40121564,0.48822734,0.0,0.80898046,0.14407557,0.17524749,0.25453526,0.7090878,1.0623506,0.558201,0.0,0.0,0.64576113,0.0,0.0,1.1824478,0.0,0.0,0.0,0.0,0.36705667,0.0,0.1558479,1.3672442,0.7963416,0.0,0.10899508,0.0,0.92387956,1.1830982,0.0,0.9002027,0.21724671,0.0,0.04910925,0.53014547,0.0,0.7758707,0.0,0.0,0.0375577,0.0,0.79048145,0.0,0.0,0.0,0.9114615,0.6407375,0.10891134,1.1307845,0.6583265,0.14033526,0.7131098,0.30486482,0.7559978,0.71945906,1.0329101,0.84698355,0.0,0.8197438,0.0,-1.3910902,-1.3082184,-1.1292598
-0.7472783,-1.0234026,0.38102764,0.8964812,0.0,0.0,0.2944198,0.29611248,0.0,0.56937355,0.23580551,0.08022066,0.41626284,0.99799216,1.0638952,0.74616843,0.0,0.0,0.80909264,0.010758847,0.0,0.897292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9083548,0.5462028,0.0,0.03939545,0.0,1.301326,1.0988389,0.0,1.0264351,0.47167403,0.0,0.0,0.89162177,0.0,0.87537795,0.2487045,0.0,0.43257162,0.0,0.68629897,0.0,0.0,0.0,0.9295155,0.57461756,0.06142377,0.98382735,1.0818784,0.37095279,0.5553675,0.5270475,0.8246746,0.52029556,0.8905581,0.840039,0.0,0.8594676,0.0,-0.9428001,-0.91792804,-1.0787048
0.20851502,-1.6491209,1.1861225,1.6053302,0.28184676,0.0,0.16156694,0.045321792,0.40862828,0.50002825,0.3136444,0.25907844,1.1013145,1.849421,0.7371251,1.1099914,0.0,0.0,1.0077047,0.4224253,0.0,0.4925282,0.0,0.0,0.24942037,0.48316795,0.0,0.0,0.0,0.0,0.2958253,0.0,0.04907286,0.35661787,2.1518314,0.8155505,0.0,0.8928147,0.6969494,1.3190798,0.0070816576,0.8535562,0.0,0.69969815,1.1745199,0.06928602,1.6178883,0.0,0.6630242,0.0,0.0,0.0,0.73370564,0.432598,0.0,1.0851929,2.069353,1.1326386,0.5387912,1.3561834,1.3591154,0.38583013,0.659978,0.7236077,0.0,0.8489558,0.18141112,0.5641205,0.43650582,0.6069982
-0.12337298,1.2120657,0.88248074,1.1220661,0.0,0.34799168,0.0,0.30159414,0.90518916,0.0,0.0,0.0,0.0,0.0,1.1321146,0.0,0.43073452,0.0,0.5578022,0.0,1.1192967,0.0,0.0,0.30344865,0.0,0.0,0.0,0.0,0.14837599,0.7245094,0.0,0.0,0.0,0.0,0.0,0.14221957,0.0,0.40975422,0.0,0.11343284,0.0,0.27217567,0.0,0.08631733,0.23257443,0.0,0.47626078,0.0,0.50051516,0.0,0.0,0.81964016,0.18278217,0.0,0.0,0.85116744,0.298387,0.44594172,0.0,0.3278162,0.7301105,0.0,0.110873826,0.46897197,0.0,0.2023437,0.0,-0.08482865,-0.059476823,-0.08126421
-1.4366393,1.4854887,-0.17831752,0.22399032,0.0,0.0,0.0,0.5951304,0.19207284,0.0,0.0,0.0,0.0,0.0,1.5309346,0.0,0.95833796,0.0,0.38316256,0.0,1.07844,0.26469773,0.0,0.032944858,0.0,0.0,0.41461438,0.0,1.0148578,1.9487145,0.0,0.0,0.0,0.0,0.0,0.4270888,0.0,0.40093577,0.0,0.0,0.0,0.0,0.0,0.12840556,0.0,0.0,0.0,0.0,0.34249783,0.0,0.0,0.6657581,0.41202143,0.21913113,0.0,1.0287513,0.13250478,0.16885602,0.0,0.0,0.73651403,0.09715785,0.4942432,0.41808486,0.0,0.14776449,0.0,-0.47751492,-0.50165033,-0.41453704
0.86090463,-0.19700567,-0.52693003,0.61469334,0.0,0.04671563,0.0,0.75278795,0.6293921,0.46826774,0.0,0.45021328,0.9895527,0.0127386255,0.026736736,0.0,0.0,0.17093623,0.100373715,0.0,0.0,0.0,0.1531553,0.0,0.0,0.5404737,0.0,0.95375395,0.08115499,0.51119804,0.20104446,0.47960454,0.0,0.0,0.12991305,0.0,0.0,0.038424224,0.0,0.0,0.0,0.0,0.0,0.11921452,0.18268426,0.0,0.6066206,0.0,0.27600446,0.14923185,0.0,0.93211067,0.0,0.0,0.0,0.27848926,1.0892787,0.6477588,0.0,0.82519114,1.1444359,0.0,0.0,0.44483584,0.0,0.0,0.0,0.57063586,0.5199458,0.30114844
