=== [Train] Fold 3 (3/5) ===
Step: set random seed (4)
Step: build datasets
Step: initialize model
Step: training setup (model=MLPModel, profile=deep, control_mode=epochs, epochs=60, target_updates=None)
Step: training
TrnLoss=0.353 ValLoss=0.405 ValR2=0.625
TrnLoss=0.155 ValLoss=0.108 ValR2=0.900
TrnLoss=0.139 ValLoss=0.089 ValR2=0.917
TrnLoss=0.129 ValLoss=0.085 ValR2=0.921
TrnLoss=0.124 ValLoss=0.082 ValR2=0.924
TrnLoss=0.122 ValLoss=0.081 ValR2=0.925
TrnLoss=0.124 ValLoss=0.083 ValR2=0.923
TrnLoss=0.119 ValLoss=0.081 ValR2=0.925
TrnLoss=0.109 ValLoss=0.081 ValR2=0.925
TrnLoss=0.112 ValLoss=0.083 ValR2=0.923
TrnLoss=0.114 ValLoss=0.078 ValR2=0.928
TrnLoss=0.110 ValLoss=0.078 ValR2=0.928
TrnLoss=0.111 ValLoss=0.077 ValR2=0.929
TrnLoss=0.112 ValLoss=0.078 ValR2=0.928
TrnLoss=0.107 ValLoss=0.076 ValR2=0.930
TrnLoss=0.107 ValLoss=0.077 ValR2=0.929
TrnLoss=0.104 ValLoss=0.077 ValR2=0.929
TrnLoss=0.108 ValLoss=0.078 ValR2=0.928
TrnLoss=0.103 ValLoss=0.076 ValR2=0.930
TrnLoss=0.105 ValLoss=0.076 ValR2=0.930
TrnLoss=0.106 ValLoss=0.074 ValR2=0.931
TrnLoss=0.102 ValLoss=0.075 ValR2=0.931
TrnLoss=0.101 ValLoss=0.074 ValR2=0.932
TrnLoss=0.108 ValLoss=0.083 ValR2=0.924
TrnLoss=0.105 ValLoss=0.083 ValR2=0.924
TrnLoss=0.111 ValLoss=0.075 ValR2=0.931
TrnLoss=0.103 ValLoss=0.074 ValR2=0.931
TrnLoss=0.096 ValLoss=0.073 ValR2=0.932
TrnLoss=0.101 ValLoss=0.073 ValR2=0.932
TrnLoss=0.099 ValLoss=0.075 ValR2=0.931
TrnLoss=0.103 ValLoss=0.073 ValR2=0.932
TrnLoss=0.101 ValLoss=0.073 ValR2=0.933
TrnLoss=0.099 ValLoss=0.073 ValR2=0.932
TrnLoss=0.099 ValLoss=0.081 ValR2=0.925
TrnLoss=0.101 ValLoss=0.076 ValR2=0.929
TrnLoss=0.097 ValLoss=0.073 ValR2=0.932
TrnLoss=0.099 ValLoss=0.072 ValR2=0.933
TrnLoss=0.097 ValLoss=0.073 ValR2=0.932
TrnLoss=0.098 ValLoss=0.074 ValR2=0.932
TrnLoss=0.098 ValLoss=0.071 ValR2=0.934
TrnLoss=0.097 ValLoss=0.072 ValR2=0.933
TrnLoss=0.095 ValLoss=0.074 ValR2=0.932
TrnLoss=0.098 ValLoss=0.074 ValR2=0.931
TrnLoss=0.103 ValLoss=0.071 ValR2=0.934
TrnLoss=0.093 ValLoss=0.071 ValR2=0.934
TrnLoss=0.095 ValLoss=0.073 ValR2=0.932
TrnLoss=0.099 ValLoss=0.072 ValR2=0.933
TrnLoss=0.095 ValLoss=0.071 ValR2=0.934
TrnLoss=0.092 ValLoss=0.072 ValR2=0.934
TrnLoss=0.092 ValLoss=0.072 ValR2=0.934
TrnLoss=0.093 ValLoss=0.072 ValR2=0.934
TrnLoss=0.092 ValLoss=0.072 ValR2=0.934
TrnLoss=0.096 ValLoss=0.072 ValR2=0.934
Early stopping at epoch 53: no validation improvement for 8 epochs (best epoch=45, best val loss=0.071)
 87%|###########2 | 52/60 [00:21<00:03,  2.37ep/s]
Step: evaluate test split
