epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,1.0508209466934204,1.0005711317062378,0.001,16,40,640
2,0.9461958408355713,0.9019426107406616,0.001,16,40,640
3,0.8555387258529663,0.8163281083106995,0.001,16,40,640
4,0.7842757701873779,0.7592273950576782,0.001,16,40,640
5,0.7479862570762634,0.7418137192726135,0.001,16,40,640
6,0.7398116588592529,0.7375993132591248,0.001,16,40,640
7,0.7339234948158264,0.7346888780593872,0.001,16,40,640
8,0.7309683561325073,0.7328556776046753,0.001,16,40,640
9,0.7291333675384521,0.7314822673797607,0.001,16,40,640
10,0.7276094555854797,0.7317606806755066,0.00085,16,40,640
11,0.7268882989883423,0.7307378649711609,0.00085,16,40,640
12,0.7274349331855774,0.7305559515953064,0.00085,16,40,640
13,0.7260192632675171,0.7309063076972961,0.00085,16,40,640
14,0.7239941358566284,0.7305433750152588,0.00085,16,40,640
15,0.7248815298080444,0.7306384444236755,0.00085,16,40,640
16,0.7286002039909363,0.7302467823028564,0.00085,16,40,640
17,0.7253739833831787,0.729972779750824,0.00085,16,40,640
18,0.7264865636825562,0.7306005954742432,0.00085,16,40,640
19,0.7248762249946594,0.7299379110336304,0.00085,16,40,640
20,0.7272342443466187,0.7304238080978394,0.0007224999999999999,16,40,640
21,0.7260251045227051,0.7298402786254883,0.0007224999999999999,16,40,640
22,0.7252585291862488,0.730437159538269,0.0007224999999999999,16,40,640
23,0.7240567803382874,0.7297766208648682,0.0007224999999999999,16,40,640
24,0.7247227430343628,0.7305141687393188,0.0007224999999999999,16,40,640
25,0.7256423234939575,0.7299726605415344,0.0007224999999999999,16,40,640
26,0.723286509513855,0.7299935221672058,0.0007224999999999999,16,40,640
27,0.7256656885147095,0.7301795482635498,0.0007224999999999999,16,40,640
