fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
3,X0,X1,input,False,False,0.0330153838759886,0.03270433969772506,0.0,0.0,-0.0330153838759886,0.0305,0.3100757299327459,False,False,False,False,False,True,True,aligned_sem,0.03216874586876002,0.03186567802735308,-0.0008466380072285826,0.0335,0.2117398173490672,False,False,False,True
3,X0,X2,input,True,True,-0.8431736691805237,-0.7637425996232283,-0.6280140164665622,-0.5688520349575881,0.21515965271396154,0.329,3.42673436312612e-96,True,True,True,False,False,False,False,aligned_sem,-0.8426779095472328,-0.7632935429638975,0.0004957596332909597,0.3265,1.028987890840492e-94,True,True,True,True
3,X0,X3,output,False,True,-0.2369235123401213,-0.22459727936538013,-0.1716885436778064,-0.16275623903837239,0.0652349686623149,0.104,7.793341222522051e-10,True,True,True,False,False,True,False,aligned_sem,-0.2631030678864848,-0.24941481179444153,-0.026179555546363503,0.2365,1.8537859219785635e-49,True,True,True,True
3,X0,X4,output,False,True,-0.22794934688879603,-0.2013435005652158,-0.18244377419056684,-0.16114925817172415,0.04550557269822919,0.086,7.423615415356838e-07,True,True,True,True,True,False,True,aligned_sem,-0.25966234582049424,-0.22935501411188133,-0.03171299893169821,0.4035,6.472806394725572e-146,True,True,True,True
3,X0,X5,output,False,True,-0.12485173892650037,-0.10157767755661856,-0.15311045910307497,-0.1245685881433636,-0.028258720176574603,0.052,0.008951455390244015,True,True,True,False,False,True,False,aligned_sem,-0.14676781085817697,-0.11940829575324655,-0.021916071931676606,0.269,4.836550026991197e-64,True,True,True,True
3,X1,X0,input,False,False,0.018119808056779662,0.01811502805428713,0.0,0.0,-0.018119808056779662,0.0175,0.9194667579636621,False,False,False,False,False,True,True,aligned_sem,0.021194440961482548,0.021188849871317226,0.0030746329047028863,0.0205,0.7948265413398378,False,False,False,True
3,X1,X2,input,True,True,0.49523748554064584,0.4485837004436909,0.4538344755670721,0.4110810558222381,-0.04140300997357371,0.182,2.3780665626847472e-29,True,True,True,False,False,False,False,aligned_sem,0.489638602901586,0.44351225984012366,-0.005598882639059832,0.1745,5.285694983691082e-27,True,True,True,True
3,X1,X3,output,False,True,0.09789647597327067,0.09280329312141262,0.16599224042039917,0.15735629286411013,0.0680957644471285,0.0485,0.01809676062737047,True,True,True,False,False,True,False,aligned_sem,0.21387166926472717,0.20274473637395815,0.1159751932914565,0.308,3.7151493907234444e-84,True,True,True,True
3,X1,X4,output,False,True,0.13835562381553881,0.12220699906411502,0.14184138056459417,0.1252859044242432,0.003485756749055352,0.0675,0.000219534246504725,True,True,True,False,False,True,False,aligned_sem,0.041422636622288914,0.03658785942581039,-0.0969329871932499,0.144,1.70510155251984e-18,False,True,False,False
3,X1,X5,output,False,True,0.10212223566011407,0.08308526268385269,0.0697298591731828,0.05673126551590692,-0.03239237648693126,0.0485,0.01809676062737047,True,True,True,False,False,True,False,aligned_sem,0.112457597516108,0.09149397259102637,0.01033536185599393,0.1635,9.616174879009061e-24,True,True,True,True
3,X2,X0,input,False,False,-0.028424340064610868,-0.028416841728208422,0.0,0.0,0.028424340064610868,0.0265,0.48382276598146434,False,False,False,False,False,True,True,aligned_sem,-0.022620363872164106,-0.022614396623761024,0.005803976192446762,0.032,0.2574754523872385,False,False,False,True
3,X2,X1,input,False,False,-0.017577884324748456,-0.01741227975065233,0.0,0.0,0.017577884324748456,0.0155,0.9699601425241099,False,False,False,False,False,True,True,aligned_sem,-0.02735008271468195,-0.02709241241057819,-0.009772198389933495,0.024,0.6122516588087653,False,False,False,True
3,X2,X3,output,True,True,0.7086576292735888,0.6717888569365733,0.5261273596707124,0.4987549459088537,-0.18253026960287633,0.281,6.336845322239419e-70,True,True,True,False,False,False,False,aligned_sem,0.6642455990715661,0.6296874164508026,-0.04441203020202267,0.7575,0.0,True,True,True,True
3,X2,X4,output,True,True,0.46391225600030195,0.4097652344833208,0.5273518749028681,0.4658002927921179,0.06343961890256611,0.173,1.5148788258517944e-26,True,True,True,False,False,False,False,aligned_sem,0.4314154791622354,0.3810614242071943,-0.032496776838066566,0.4855,5.130661152498209e-214,True,True,True,True
3,X2,X5,output,False,True,0.29805563780434513,0.24249401515060418,0.34433629610376126,0.2801473296039466,0.04628065829941613,0.103,1.1806532465987328e-09,True,True,True,False,False,True,False,aligned_sem,0.09805251338691762,0.07977419196616649,-0.2000031244174275,0.2165,1.8817712100421262e-41,True,True,True,True
