epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,epoch_seconds,cumulative_updates,batches_per_epoch,effective_epochs,effective_updates
1,1.0164730548858643,0.9799275398254395,0.8038675130208334,0.7902184244791667,-0.01832730258419124,0.006156072941597923,0.001,17.931104708000007,16,16,40,640
2,0.987084150314331,0.9628260731697083,0.7931893717447916,0.7831990559895833,0.010249804704000054,0.023485913503745737,0.001,0.0540650410000012,32,16,40,640
3,0.9701407551765442,0.9453201293945312,0.7862342936197917,0.7758927408854167,0.02826155713622658,0.0412168405927984,0.001,0.049001125000003753,48,16,40,640
4,0.9556768536567688,0.9286966919898987,0.7795428873697917,0.7696298014322916,0.044964065373330864,0.05808045105150905,0.001,0.047747790999991935,64,16,40,640
5,0.9441467523574829,0.920829713344574,0.7753993326822917,0.7665724283854166,0.05474278308234415,0.06606490956859912,0.001,0.05039095800000837,80,16,40,640
6,0.9422247409820557,0.9194995760917664,0.77410302734375,0.76562548828125,0.05778995412680443,0.0674136289834949,0.001,0.05529579200000967,96,16,40,640
7,0.94254469871521,0.9178249835968018,0.773638427734375,0.764709228515625,0.05863128554822561,0.06913078067680556,0.001,0.04804304200000331,112,16,40,640
8,0.9414517283439636,0.9192124605178833,0.7732723795572917,0.7652400716145833,0.059591772353313255,0.06771741244671792,0.001,0.044499458999993635,128,16,40,640
9,0.9410524964332581,0.9186150431632996,0.7730831705729166,0.76501416015625,0.06000320514985635,0.06833297801483951,0.001,0.04809066599999312,144,16,40,640
10,0.9419191479682922,0.9187794327735901,0.7728896484375,0.7651568196614583,0.06043074345634214,0.0681528024265815,0.00085,0.046669665999999665,160,16,40,640
11,0.9393107891082764,0.9194647669792175,0.7728875325520833,0.7654794921875,0.06059694242727587,0.06745205544762678,0.00085,0.052714083000012124,176,16,40,640
12,0.93846595287323,0.9189388751983643,0.7727997233072916,0.765343994140625,0.060874971655831,0.0679994264109478,0.00085,0.05157658299999923,192,16,40,640
13,0.9394674301147461,0.918852686882019,0.77260546875,0.7651681315104166,0.061115556377054236,0.06807223878826207,0.00085,0.048626084000005676,208,16,40,640
14,0.9384774565696716,0.9184855818748474,0.7725576985677083,0.7651079915364584,0.06129250882901516,0.06844924692991672,0.00085,0.04535637499999723,224,16,40,640
15,0.9393622279167175,0.9197767972946167,0.7725545247395833,0.7657459309895833,0.061502093846924955,0.06712386375825985,0.00085,0.04858758299999977,240,16,40,640
