=== [Train] Fold 3 (3/5) ===
Step: set random seed (4)
Step: build datasets
Step: initialize model
Step: training setup (model=ShallowMLP, profile=shallow, control_mode=epochs, epochs=40, target_updates=None)
Step: training
TrnLoss=0.897 ValLoss=0.740 ValR2=0.221
TrnLoss=0.704 ValLoss=0.583 ValR2=0.386
TrnLoss=0.554 ValLoss=0.461 ValR2=0.515
TrnLoss=0.436 ValLoss=0.366 ValR2=0.615
TrnLoss=0.362 ValLoss=0.321 ValR2=0.663
TrnLoss=0.322 ValLoss=0.291 ValR2=0.694
TrnLoss=0.298 ValLoss=0.273 ValR2=0.712
TrnLoss=0.283 ValLoss=0.262 ValR2=0.724
TrnLoss=0.274 ValLoss=0.255 ValR2=0.731
TrnLoss=0.268 ValLoss=0.252 ValR2=0.735
TrnLoss=0.263 ValLoss=0.250 ValR2=0.737
TrnLoss=0.261 ValLoss=0.248 ValR2=0.739
TrnLoss=0.260 ValLoss=0.248 ValR2=0.740
TrnLoss=0.259 ValLoss=0.248 ValR2=0.739
TrnLoss=0.258 ValLoss=0.246 ValR2=0.741
TrnLoss=0.257 ValLoss=0.246 ValR2=0.741
TrnLoss=0.256 ValLoss=0.245 ValR2=0.742
TrnLoss=0.256 ValLoss=0.245 ValR2=0.742
TrnLoss=0.256 ValLoss=0.244 ValR2=0.743
TrnLoss=0.256 ValLoss=0.244 ValR2=0.743
TrnLoss=0.257 ValLoss=0.245 ValR2=0.743
TrnLoss=0.255 ValLoss=0.244 ValR2=0.743
TrnLoss=0.255 ValLoss=0.244 ValR2=0.743
TrnLoss=0.256 ValLoss=0.244 ValR2=0.743
TrnLoss=0.256 ValLoss=0.244 ValR2=0.743
TrnLoss=0.255 ValLoss=0.244 ValR2=0.744
TrnLoss=0.254 ValLoss=0.243 ValR2=0.744
TrnLoss=0.255 ValLoss=0.244 ValR2=0.744
TrnLoss=0.254 ValLoss=0.243 ValR2=0.744
TrnLoss=0.254 ValLoss=0.243 ValR2=0.744
TrnLoss=0.254 ValLoss=0.243 ValR2=0.744
TrnLoss=0.254 ValLoss=0.243 ValR2=0.744
TrnLoss=0.254 ValLoss=0.243 ValR2=0.745
TrnLoss=0.254 ValLoss=0.243 ValR2=0.744
TrnLoss=0.253 ValLoss=0.243 ValR2=0.744
TrnLoss=0.254 ValLoss=0.243 ValR2=0.745
TrnLoss=0.254 ValLoss=0.243 ValR2=0.744
TrnLoss=0.255 ValLoss=0.243 ValR2=0.744
TrnLoss=0.254 ValLoss=0.243 ValR2=0.745
TrnLoss=0.254 ValLoss=0.243 ValR2=0.745
100%|#############| 40/40 [00:19<00:00,  2.02ep/s]
Step: evaluate test split
