input_0,input_1,input_2,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-0.5144597,-2.9720933,-2.0313356,0.0,0.0,0.8234582,0.0,0.0,0.0,0.0,0.0,0.054730803,2.3330688,1.3438343,0.9699186,0.5620875,1.8126026,0.0,0.0,0.0,0.0,0.9944078,0.0,1.4331758,0.0,2.3106391,1.0785778,0.26062083,1.4254744,0.0,2.3016446,0.9880632,1.6697037,0.5601992,0.0,0.11451468,1.9081343,0.7303784,0.9859675,0.47728902,1.8874136,3.168524,0.0,0.0,1.3157126,1.9625763,2.2456534,0.8432554,0.29056442,1.3685366,0.0,0.0,0.0,0.0,0.24289547,0.0,1.4462305,0.0,0.37465742,0.0,1.6369138,2.348916,0.0,0.4437593,0.0,0.0,0.0,-2.3938525,-0.6798674,2.5629125
-0.7698112,-0.12777296,0.8588084,0.0,0.0,0.0,0.32036352,0.043022312,0.0,0.0,0.7985703,0.31329587,0.35102612,1.081682,0.0,0.0,0.0,0.4908328,0.0,0.11885549,0.0,0.0,0.21435565,0.0,0.036773086,0.0,0.7074784,0.81714237,0.0,0.19891307,0.66517246,0.16609977,0.0,0.47220603,0.7635483,0.73228407,0.010781685,0.8212341,0.15557644,0.27451986,0.32135123,0.44373915,0.287912,0.6173572,0.0,0.66503865,0.27733484,0.0,0.14402005,0.032977875,0.5524203,0.08564483,0.23350492,0.3640641,0.5371757,0.6196945,0.98544776,0.0,0.50155175,0.0,0.18487853,0.32321987,0.0,1.2062737,0.0,0.0,0.17454904,0.5415513,0.879513,-0.5019956
-0.55228907,-1.2570604,0.36845496,0.0,0.0,0.3775112,0.0,0.0,0.0,0.0,0.5335747,0.11587939,0.8113171,1.2794788,0.10994142,0.0,0.23120752,0.1662657,0.0,0.0,0.0,0.065650955,0.0,0.5649942,0.0,0.5642196,1.2307545,0.56676733,0.0,0.14875385,1.3506448,0.48419973,0.0,0.7992349,0.11578211,0.60882914,0.58399624,1.0153662,0.15252054,0.14496972,0.5560351,1.029855,0.10524969,0.43237153,0.0,0.9084678,0.6301866,0.0,0.0,0.3082616,0.39083534,0.0,0.0,0.0,0.8428382,0.4513858,1.1339875,0.0,0.5123984,0.0,0.34094852,0.603156,0.0,1.0408545,0.0,0.0,0.009239711,0.15004553,0.9201776,0.2742313
1.0048035,-0.11510613,-2.0125499,0.0,0.0,0.0,0.0,0.0,0.8909756,0.7461176,0.0,0.6441399,0.73885834,0.0,1.6798433,0.32129508,0.8953229,0.3720111,0.17017913,0.0,0.0,0.09432708,0.0,0.35500258,1.1139957,0.9446143,0.0,0.0,1.6323559,0.0,0.5001673,0.7275069,0.75902617,0.0,0.0,0.30233285,1.0145503,0.040588386,0.9746367,0.61785066,1.5777884,0.80241346,0.048113488,0.0,0.9999224,1.2370348,1.8626336,1.108214,0.8047689,1.0535843,0.0,0.5792945,0.108238444,0.0,0.04315783,0.0,0.24348503,0.0,0.0,0.0,1.4756864,1.3678377,0.0,0.06768544,0.0,0.0,0.0,-1.7406309,-1.8390943,1.4071369
0.41368333,0.5634926,0.005858676,0.0,0.0,0.0,0.0,0.12230932,0.12269103,0.0,0.28872058,0.5430638,0.0,0.0,0.7022896,0.0,0.0,0.7868646,0.011852652,0.0,0.46025217,0.0,0.19351266,0.0,1.1106079,0.0,0.19675957,0.33237278,0.3256343,0.0,0.18229681,0.33768883,0.0,0.0,0.6707837,0.56151474,0.09879463,0.4432664,0.47827774,0.25122342,0.7283973,0.0,0.49086457,0.1879568,0.0,0.39608884,0.44442075,0.041604087,0.40446907,0.36154845,0.38920432,0.46383938,0.2953897,0.32133806,0.36232615,0.31413454,0.36669436,0.0,0.27639225,0.0,0.48901093,0.30511752,0.0,0.7699838,0.0,0.0,0.24913724,0.25225106,-0.19601008,-0.24143617
0.20842975,0.36524102,0.03275912,0.0,0.0,0.0,0.0,0.0508013,0.029455982,0.0,0.31634468,0.5020504,0.09673005,0.14660838,0.6016381,0.0,0.0,0.69261837,0.0,0.0,0.29186708,0.0,0.1132192,0.0,0.883546,0.0,0.2719608,0.4028391,0.28433713,0.0,0.30887756,0.33116108,0.0,0.0,0.60621655,0.48500416,0.09733394,0.43966675,0.44347978,0.25157705,0.6735953,0.0,0.43630016,0.17963317,0.0,0.45813662,0.42650318,0.0018226821,0.33507884,0.31762955,0.33840722,0.37690026,0.27525762,0.25087953,0.36030424,0.29331207,0.4507527,0.0,0.24851361,0.0,0.46181938,0.33267763,0.0,0.7527377,0.0,0.0,0.17947969,0.18654464,-0.1018427,-0.18614982
0.86097986,-0.0481248,-1.2357913,0.0,0.0,0.0,0.0,0.0,0.5675384,0.2788697,0.0,0.5579579,0.45926735,0.0,1.3312767,0.07283288,0.49246827,0.50327384,0.07878658,0.0,0.035417672,0.0,0.0,0.3074629,1.044356,0.64127606,0.07669625,0.01276812,1.1318032,0.0,0.5002723,0.63838303,0.3742979,0.0,0.0,0.34731504,0.67317516,0.15932684,0.7279994,0.36382523,1.2003592,0.40931478,0.15564363,0.0,0.40568388,0.8507574,1.283211,0.58908594,0.5517358,0.8189646,0.07823475,0.4254129,0.15010428,0.0,0.26906627,0.0,0.22567162,0.0,0.0,0.0,1.0327039,0.89358616,0.0,0.20099741,0.0,0.0,0.0,-0.93550044,-1.1349452,0.8789117
-2.9030762,0.42124954,2.5211334,0.26047164,0.79563284,0.15027148,1.6269214,0.9373746,0.0,0.0,1.7864202,0.28991687,0.45360053,2.4584882,0.0,0.0,0.0,0.43108645,0.0,0.85281354,0.0,0.0,0.55111825,0.0,0.0,0.0,0.5642448,1.9089239,0.0,1.3534055,0.41021043,0.0,0.0,1.1960881,1.6869122,1.5230808,0.0,1.8325616,0.1041197,0.76712495,0.0,0.8419397,0.3901956,1.7206367,0.0,1.1386738,0.48218626,0.0,0.55945325,0.0,1.5105996,0.24180274,0.7997211,1.523523,0.3945557,1.7108116,2.2514806,0.0,1.4790117,0.0,0.0052519618,0.41005462,0.0,2.408692,0.0,0.0,0.5952634,1.4150321,2.140648,-1.9162349
-0.41402844,-0.09728297,-0.90470564,0.0,0.0,0.0,0.093472034,0.0,0.18649566,0.21784222,0.0,0.5493461,0.9152027,0.4464872,0.6842445,0.0,0.7655854,0.24565968,0.0,0.0,0.0,0.1874922,0.0,0.0,0.31711963,0.27883333,0.0,0.59696615,0.80469966,0.0,0.54977983,0.3361612,0.0,0.0,0.04477182,0.0,0.3510324,0.0,0.6727654,0.625049,0.9614648,0.6825632,0.018380418,0.0,0.50290096,1.0430201,0.91510284,0.5025295,0.49012116,0.5764194,0.0,0.21169038,0.201385,0.0,0.0,0.047551885,0.4932781,0.0,0.0,0.0,0.8527335,0.7717258,0.0,0.2263116,0.0,0.0,0.0,-1.1888769,-0.821113,0.6959012
0.5333449,1.2510605,0.3855559,0.0,0.17343992,0.0,0.0,0.5329009,0.14609638,0.10289276,0.47236556,0.64259124,0.0,0.0,0.631586,0.0,0.0,1.0611628,0.26506388,0.027148083,0.91908836,0.0,0.55363405,0.0,1.5607257,0.0,0.0,0.3733371,0.116530895,0.0,0.0,0.19801328,0.0,0.0,1.095961,0.8960363,0.0,0.68631,0.5798032,0.3363908,0.7940051,0.0,0.7188231,0.57951045,0.0,0.20606354,0.3800586,0.09354927,0.5942203,0.39332646,0.6334372,0.7968969,0.2980493,0.6492082,0.30632186,0.6814836,0.5053928,0.0,0.48810992,0.0,0.49543113,0.19684115,0.0,1.1405284,0.0,0.0,0.547892,0.6833111,-0.10475296,-0.8050643
