input_0,input_1,input_2,input_3,input_4,input_5,input_6,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-1.7953465,0.801619,-0.53408563,-0.26140523,2.056414,1.6988211,-1.2505436,0.0,0.0,1.0879512,0.928532,0.0,0.09873685,0.0,1.5560424,1.9032968,0.03797093,0.5052795,0.0,0.0,0.0,0.0,0.15003908,2.4438286,0.0,1.1434987,0.0,0.5702069,1.7779404,0.0,0.24675342,0.0,0.0,1.6994263,0.45090443,0.36077115,0.0,0.0,0.0,0.37171367,0.45315,0.079322785,0.41161066,1.4823676,0.64667326,0.12506187,1.4151905,0.8347486,0.0,0.10773628,0.69431734,0.220092,0.8726645,0.29424292,1.3167306,0.27873677,0.3826726,0.11560556,0.78562057,1.2518092,1.4148513,0.4755223,1.0750695,1.5276164,1.7920765,1.5059298,1.3262973,1.7678208,0.9517884,0.9021301,1.533983,1.9095516,1.6868879,1.0269785
-0.31955212,-0.76718587,2.5385375,-1.8003339,-0.3467066,-0.40068638,-0.7822869,0.65836525,1.3000425,0.0,0.0,0.0,0.0,1.108627,0.0,0.5434356,0.0,0.0,1.4775593,0.9694272,0.62880194,0.0,0.0,0.0,0.019960314,0.0,0.1464068,0.0,1.4199455,1.4849443,1.8783602,0.0,0.0,0.24559157,0.0,0.0,0.0,0.8822345,0.47041336,1.1646184,1.3100408,0.70845777,0.08373428,0.0,0.0,0.92684305,0.9699411,0.89916265,0.017624974,1.1033537,1.2457623,1.1749635,0.0,0.96104336,0.0,1.2781976,0.0,1.4444858,0.1780736,0.6209517,0.0,0.0,0.88697916,1.3306278,0.17191778,0.80085397,0.8383108,0.44231167,1.4135036,0.0,0.8538301,-0.20876093,-1.1426848,0.90215135
0.3142589,0.3069784,-1.4430203,-2.3650835,0.21321474,1.1391356,-1.3759671,0.0,0.0,0.0,1.5475482,0.0,0.52593505,0.0,1.5493275,0.7901566,0.09576297,0.2656055,0.0,0.0,0.0,0.0,0.2717539,1.5734638,1.1174868,0.0,0.0,0.0,0.21447474,0.3568238,1.4989878,0.0,0.0,1.8730295,0.79406977,0.0,0.0,0.0,0.0,0.35744834,0.1550092,0.34822667,0.7740449,0.59323776,1.0197283,0.4885215,1.2386183,1.1469442,0.0,0.63602126,1.1026856,1.0681739,1.1652688,0.6460336,0.5295001,0.8355705,0.20883742,0.3065003,0.37704256,0.28900972,0.61683774,1.0476011,0.95660555,1.360649,0.5968378,1.3822391,1.3709255,1.3277096,0.37889615,0.6103109,0.31525022,0.12635256,1.4134023,1.7103964
-2.0725796,1.2162832,-0.17681251,0.26714373,1.8701463,2.5212812,-2.0672512,0.0,0.0,1.1801982,0.9928704,0.0,0.0,0.0,1.6318475,2.3303216,0.0,0.4108369,0.0,0.0,0.0,0.0,0.41153926,2.679782,0.0,1.2569153,0.0,0.54905295,1.6664643,0.0,0.59649587,0.0,0.0,2.3740003,0.17834589,0.653056,0.0,0.0,0.0,0.4360048,0.32948244,0.074202046,0.51536566,1.5298331,0.939658,0.22735506,1.5601532,0.92210925,0.0,0.06406901,0.82843894,0.34375542,1.070633,0.51840204,1.4353503,0.41957533,0.22837296,0.040805414,0.85867524,1.1270863,1.5040299,0.83521485,1.2141913,1.728354,1.8938185,1.9237794,1.6686603,2.1715684,0.9649652,1.1362728,1.488956,1.8774945,2.1585817,1.4737883
-0.76275945,2.1735408,-0.46685296,-1.5992901,1.9996908,2.6327128,-2.6567502,0.0,0.25847468,0.0,1.6012831,0.0,0.067762166,0.0,2.5023592,2.5093808,0.0,0.64036644,0.0,0.0,0.0,0.0,0.0,2.656078,0.0,0.937862,0.0,0.0,1.6314,0.0,1.4196094,0.0,0.0,3.5396369,0.63673425,0.14853443,0.0,0.0,0.0,0.4570376,0.14265299,0.34343183,0.47996932,1.3247616,1.0681951,0.4805744,1.9941884,1.5682497,0.0,0.47908306,1.6102806,0.71349984,1.2341404,0.41127396,1.6907618,1.2437083,0.06862224,0.26112992,0.71213585,0.81951624,1.572065,1.2059869,1.5092025,2.6540356,1.7508471,2.2127104,1.9098911,2.3761098,1.1471016,1.3595256,1.0679265,1.6190969,2.3253174,2.5224845
0.8274885,0.13342287,-0.8984529,0.5682921,-1.5079775,-0.76397014,1.406101,0.8074907,0.0,0.0,0.37519622,0.8495115,0.0,0.55687696,0.0,0.0,1.1040618,0.49078673,1.4093215,0.20090479,0.5526802,0.7200131,0.95584345,0.0,1.429319,0.0,0.0,0.49265927,0.0,0.0,0.0,0.9843701,0.4539824,0.0,0.89227676,0.7122743,0.725896,0.5522519,0.6463809,1.1853665,2.0070395,1.3608489,1.0370903,0.40272403,0.36820924,0.9831556,0.0,0.08951641,0.0,0.7500381,0.086395524,1.4657046,0.07922488,0.85840464,0.0,0.45177358,0.71512145,1.3718059,1.1506263,1.1712632,0.355654,0.6446927,0.04902391,0.0,0.5966292,0.07408496,0.5126512,0.009373762,0.24732605,0.3413068,0.47713038,-1.1533215,-0.519116,-1.3585243
-0.11161173,-0.045289293,0.2536544,0.48138916,0.73290837,0.039105058,0.19885248,0.19405785,0.22503944,0.41933012,0.0,0.2429426,0.0,0.0,0.4922259,0.4015678,0.30080292,0.36881077,0.10221362,0.0,0.32061893,0.31333756,0.19063593,0.260121,0.0,0.23838446,0.3941661,0.54847556,0.6218381,0.08472569,0.0,0.0,0.022650063,0.31787267,0.2341383,0.36484167,0.0,0.0,0.0,0.6236827,0.5538348,0.3076486,0.4570247,0.565441,0.05940444,0.16506839,0.35745728,0.14757887,0.0,0.1470604,0.03091997,0.23053227,0.15565202,0.075011075,0.3355986,0.0,0.06512637,0.48319763,0.54886395,0.7870018,0.5867344,0.0,0.302418,0.51195395,0.81736887,0.29105562,0.14449984,0.26879257,0.3995479,0.11789168,0.73797107,0.53845805,-0.055158153,-0.36652756
0.03923293,-0.07724749,2.0051668,0.8243389,0.11690703,-0.9437457,0.66561264,0.43703306,0.8805686,0.0,0.0,0.29911506,0.0,0.71215975,0.0,0.073663116,0.0,0.0,1.3554107,0.035788298,1.4978734,0.5689138,0.0,0.0,0.0,0.0,0.7486109,0.85908806,0.8627824,0.50904614,0.0,0.0,0.5915761,0.0,0.0,0.24091351,0.0,1.1759807,0.46313962,1.3281847,1.3544261,0.8458168,0.26884145,0.0,0.0,0.9588688,0.37058684,0.0,0.0,0.809098,0.0,0.57791805,0.0,0.25481167,0.1696311,0.23328839,0.0,1.3295872,0.7229025,1.1856923,0.22901231,0.0,0.81809103,0.55809593,0.8994616,0.01096575,0.04646018,0.0,1.1790131,0.0,1.0732417,0.19271629,-1.3525387,-0.75163436
-0.18343534,1.1793804,-0.7308885,0.92529804,0.38914496,-0.072244674,0.31979716,0.0,0.0,0.7014312,0.60185236,0.37654904,0.0,0.0,0.7526775,0.40046284,0.31385922,0.7961941,0.026377976,0.0,0.0,0.4113962,0.32261026,0.0,0.29239777,0.24087363,0.0,0.816998,0.20287208,0.0,0.0,0.0,0.0,0.60755926,0.79598796,0.5764687,0.030320466,0.0,0.0,0.7588302,0.6885007,0.36349177,0.8249378,0.9317394,0.31548277,0.33943555,0.3796007,0.10622937,0.0,0.024338327,0.0,0.4016592,0.19645895,0.22257386,0.30943903,0.04715962,0.506041,0.5166184,0.68446,0.7200474,0.64748204,0.2129489,0.28238884,0.567221,0.8654016,0.32839948,0.24272949,0.5001065,0.32307693,0.15703698,0.57527363,0.2697025,0.30600825,-0.51547825
1.7204255,0.23215754,0.62273693,0.04244652,-1.3756976,-0.79905957,0.5735818,0.12773098,0.34126365,0.0,0.0,0.2307821,0.0,0.89662886,0.0,0.0,0.13109915,0.17718664,2.139292,1.0847924,0.9047325,0.1947467,0.3683789,0.0,1.5048665,0.0,0.0,0.0391815,0.0,0.62691516,0.6268057,0.6759002,0.6487556,0.17209005,0.2950921,0.3344108,1.0301683,0.66302156,0.83434784,1.3452041,1.7816103,1.2141271,0.8197723,0.0,0.2718461,1.4239367,0.27145004,0.3490606,0.0,1.0730703,0.37575614,1.6055905,0.12140315,0.91757244,0.0,0.9952218,0.0,1.3945997,0.60886526,0.81601995,0.0,0.5867198,0.22306518,0.01891185,0.008670285,0.32071328,0.8806009,0.0,0.5388355,0.10212474,0.1964233,-1.494023,-0.95676106,-0.47874942
