fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
4,X0,X1,input,False,False,0.03590822218648859,0.03634810597291681,0.0,0.0,-0.03590822218648859,0.036,0.149691055593586,False,False,False,False,False,True,True,aligned_sem,0.03901599663299209,0.03949395135436643,0.0031077744465034945,0.038,0.11135887905231429,False,False,False,True
4,X0,X2,input,False,False,0.024308141651734463,0.023966391240735584,0.0,0.0,-0.024308141651734463,0.025,0.5596752163759332,False,False,False,False,False,True,True,aligned_sem,0.022070980472588375,0.021760682517453778,-0.0022371611791460883,0.024,0.6122516588087653,False,False,False,True
4,X0,X3,input,False,False,-0.006418666355855818,-0.006466382787122626,0.0,0.0,0.006418666355855818,0.013,0.9958989781495828,False,False,False,False,False,True,True,aligned_sem,-0.008421973105443872,-0.008484582139554235,-0.002003306749588054,0.012,0.9987511305163623,False,False,False,True
4,X0,X4,input,True,True,-2.464110495958245,-1.323722543452102,-2.443889897855117,-1.3128600185794963,0.02022059810312804,0.72,0.0,True,True,True,True,True,True,True,aligned_sem,-2.463653502522197,-1.323477046135931,0.0004569934360478811,0.721,0.0,True,True,True,True
4,X0,X5,input,False,True,-2.244545205135205,-0.9631637922033559,-2.231948783608148,-0.9577585024821088,0.012596421527056645,0.439,1.2948344607629326e-173,True,True,True,False,True,True,True,aligned_sem,-2.247268024342529,-0.9643321896440537,-0.0027228192073240898,0.441,2.964759303248732e-175,True,True,True,True
4,X0,X6,input,False,True,2.7925137519170384,0.827829488268266,2.7906235579394982,0.8272691478537986,-0.0018901939775402,0.354,1.2199524745989475e-111,True,True,True,False,False,True,False,aligned_sem,2.8006516071602414,0.8302419227771227,0.008137855243202985,0.357,1.4112747456657113e-113,True,True,True,True
4,X0,X7,output,True,True,-3.40514498470683,-1.4201997448944403,-3.367239018242567,-1.4043901261720944,0.0379059664642627,0.791,0.0,True,True,True,False,False,False,False,aligned_sem,-4.252262399074231,-1.773510966937399,-0.8471174143674016,0.1665,1.304325325684559e-24,True,True,True,True
4,X0,X8,output,False,True,-2.8675456857149912,-0.8559229849644125,-2.882627155390547,-0.8604245964318976,-0.015081469675555681,0.3875,2.721684992649387e-134,True,True,True,False,False,True,False,aligned_sem,-3.08934798225379,-0.9221279227518691,-0.22180229653879868,0.18,1.027840443238237e-28,True,True,True,True
4,X0,X9,output,False,True,-1.7994639753978658,-0.665479644046674,-1.7800046463391639,-0.6582831746800067,0.019459329058701957,0.286,1.8652607698185965e-72,True,True,True,False,False,True,False,aligned_sem,-2.7127030221440354,-1.0032146607334023,-0.9132390467461695,0.1,4.006708006929402e-09,True,True,True,True
4,X1,X0,input,False,False,-0.0071700753227075375,-0.007192775289362838,0.0,0.0,0.0071700753227075375,0.026,0.5085995252205004,False,False,False,False,False,True,True,aligned_sem,-0.005744731761382126,-0.005762919188090744,0.0014253435613254114,0.0245,0.5858212770267918,False,False,False,True
4,X1,X2,input,False,False,-0.03568451036282742,-0.03518281853226661,0.0,0.0,0.03568451036282742,0.0275,0.43609338214006377,False,False,False,False,False,True,True,aligned_sem,-0.0400115615982998,-0.03944903535434276,-0.004327051235472383,0.028,0.4132324404768168,False,False,False,True
4,X1,X3,input,False,False,-0.008695015289299828,-0.008759654121794557,0.0,0.0,0.008695015289299828,0.0195,0.8416360266077476,False,False,False,False,False,True,True,aligned_sem,-0.0073086031508887185,-0.0073629353813819895,0.001386412138411109,0.021,0.770029236885313,False,False,False,True
4,X1,X4,input,True,True,1.0790190928666317,0.5796501010752566,1.0543251255519281,0.5663844779323989,-0.024693967314703524,0.2525,2.154609323099332e-56,True,True,True,True,True,True,True,aligned_sem,1.080807150383995,0.580610647304253,0.0017880575173634394,0.253,1.2853714836526341e-56,True,True,True,True
4,X1,X5,input,True,True,2.3710091765149777,1.0174311413182522,2.3084082579402625,0.9905682659384694,-0.06260091857471517,0.479,4.4345536132951845e-208,True,True,True,True,True,True,True,aligned_sem,2.3676022401532992,1.015969180232148,-0.0034069363616784365,0.479,4.4345536132951845e-208,True,True,True,True
4,X1,X6,input,False,True,-2.9864468499580497,-0.8853201764338507,-2.8890032602070574,-0.8564334155420881,0.09744358975099221,0.399,1.3601805313366785e-142,True,True,True,False,False,True,False,aligned_sem,-2.978980181383421,-0.883106712517707,0.007466668574628521,0.399,1.3601805313366785e-142,True,True,True,True
4,X1,X7,output,False,True,0.8089057381772589,0.3373740995354123,0.7783851122268519,0.32464471932298106,-0.030520625950406943,0.144,1.70510155251984e-18,True,True,True,False,False,True,False,aligned_sem,-0.6236942085804897,-0.26012706063804003,-1.4325999467577486,0.041,0.06932182520405727,True,False,False,False
4,X1,X8,output,False,True,3.138946812804504,0.9369324921462451,2.9715708288626397,0.886973060810749,-0.16737598394186426,0.428,9.55305708229221e-165,True,True,True,False,False,True,False,aligned_sem,4.173270236084091,1.245663821618101,1.0343234232795875,0.2005,1.4277461323417447e-35,True,True,True,True
4,X1,X9,output,False,True,1.8628998073956549,0.6889395495934685,1.8366991147796394,0.6792499821254523,-0.02620069261601543,0.3065,2.4951797277701055e-83,True,True,True,False,False,True,False,aligned_sem,1.6341748664071396,0.6043522533793394,-0.22872494098851526,0.087,5.248206775622223e-07,True,True,True,True
4,X2,X0,input,False,False,0.04329456649598063,0.04343163412380623,0.0,0.0,-0.04329456649598063,0.0335,0.2117398173490672,False,False,False,False,False,True,True,aligned_sem,0.045830945656767944,0.04597604328703895,0.0025363791607873123,0.031,0.291764846534962,False,False,False,True
4,X2,X1,input,False,False,-0.02033871589678129,-0.02058786973439819,0.0,0.0,0.02033871589678129,0.0235,0.6388604192561329,False,False,False,False,False,True,True,aligned_sem,-0.016518033117235015,-0.016720382732713614,0.0038206827795462736,0.024,0.6122516588087653,False,False,False,True
4,X2,X3,input,False,False,0.019225895324819678,0.019368820827088958,0.0,0.0,-0.019225895324819678,0.0275,0.43609338214006377,False,False,False,False,False,True,True,aligned_sem,0.019342680310179015,0.01948647399322261,0.00011678498535933751,0.0235,0.6388604192561329,False,False,False,True
4,X2,X4,input,False,False,-0.07857128466419078,-0.042208570171093564,0.0,0.0,0.07857128466419078,0.034,0.1979604458696868,True,False,False,False,False,True,True,aligned_sem,-0.07802554535039719,-0.04191539848350018,0.0005457393137935918,0.03,0.329168071759936,True,False,False,True
4,X2,X5,input,False,False,-0.11730500826567752,-0.050337117892357244,0.0,0.0,0.11730500826567752,0.034,0.1979604458696868,True,False,False,False,False,True,True,aligned_sem,-0.12002612264116974,-0.0515047837673514,-0.0027211143754922174,0.038,0.11135887905231429,True,False,False,True
4,X2,X6,input,True,True,-1.4248239362192572,-0.4223833344358784,-1.6073019627305642,-0.4764782126449316,-0.18247802651130707,0.178,4.369662743958069e-28,True,True,True,True,True,True,True,aligned_sem,-1.413090520801556,-0.4189050105514548,0.01173341541770112,0.174,7.515797528262925e-27,True,True,True,True
