epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.929190456867218,0.83992600440979,0.001,16,40,640
2,0.747969388961792,0.6419482231140137,0.001,16,40,640
3,0.5589892864227295,0.46907854080200195,0.001,16,40,640
4,0.42824214696884155,0.38814103603363037,0.001,16,40,640
5,0.37906232476234436,0.3607853055000305,0.001,16,40,640
6,0.3564445674419403,0.34435057640075684,0.001,16,40,640
7,0.3434978723526001,0.3326217532157898,0.001,16,40,640
8,0.33381620049476624,0.32352757453918457,0.001,16,40,640
9,0.3252098858356476,0.3163994550704956,0.001,16,40,640
10,0.31891462206840515,0.3101171851158142,0.00085,16,40,640
11,0.3136849105358124,0.30542880296707153,0.00085,16,40,640
12,0.30836862325668335,0.30064016580581665,0.00085,16,40,640
13,0.30355408787727356,0.2954658269882202,0.00085,16,40,640
14,0.29837992787361145,0.29085975885391235,0.00085,16,40,640
15,0.2935747504234314,0.2862144708633423,0.00085,16,40,640
16,0.2888336479663849,0.28123870491981506,0.00085,16,40,640
17,0.28391969203948975,0.27762824296951294,0.00085,16,40,640
18,0.2803085446357727,0.2743341624736786,0.00085,16,40,640
19,0.2775951027870178,0.2723039388656616,0.00085,16,40,640
20,0.2745392918586731,0.27047204971313477,0.0007224999999999999,16,40,640
21,0.27349138259887695,0.27003213763237,0.0007224999999999999,16,40,640
22,0.27284112572669983,0.27012524008750916,0.0007224999999999999,16,40,640
23,0.2715379297733307,0.26965561509132385,0.0007224999999999999,16,40,640
24,0.2708122134208679,0.26931995153427124,0.0007224999999999999,16,40,640
25,0.271161288022995,0.2694028317928314,0.0007224999999999999,16,40,640
26,0.2705894112586975,0.2688201069831848,0.0007224999999999999,16,40,640
27,0.26917704939842224,0.2683180570602417,0.0007224999999999999,16,40,640
28,0.2696801424026489,0.26812705397605896,0.0007224999999999999,16,40,640
29,0.2693850100040436,0.2679193317890167,0.0007224999999999999,16,40,640
30,0.2686328887939453,0.2677134871482849,0.000614125,16,40,640
31,0.268612265586853,0.26753175258636475,0.000614125,16,40,640
32,0.2686862349510193,0.26754486560821533,0.000614125,16,40,640
33,0.2677500545978546,0.26705336570739746,0.000614125,16,40,640
34,0.2680830657482147,0.2683298885822296,0.000614125,16,40,640
35,0.26810359954833984,0.2671099305152893,0.000614125,16,40,640
36,0.2676336467266083,0.2669541835784912,0.000614125,16,40,640
37,0.2681652903556824,0.26707643270492554,0.000614125,16,40,640
38,0.2678880989551544,0.26672855019569397,0.000614125,16,40,640
39,0.2676815092563629,0.26704642176628113,0.000614125,16,40,640
40,0.26723355054855347,0.2664904296398163,0.00052200625,16,40,640
