epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.2712882459163666,0.1803940236568451,0.0008,16,60,960
2,0.11034664511680603,0.0785202905535698,0.0008,16,60,960
3,0.09967263042926788,0.06994952261447906,0.0008,16,60,960
4,0.09212541580200195,0.06735073775053024,0.0008,16,60,960
5,0.09039293229579926,0.06633436679840088,0.0008,16,60,960
6,0.09027726203203201,0.06558026373386383,0.0008,16,60,960
7,0.08752964437007904,0.06585724651813507,0.0008,16,60,960
8,0.08621972799301147,0.0648752897977829,0.0008,16,60,960
9,0.08472089469432831,0.06467828899621964,0.0008,16,60,960
10,0.08441749215126038,0.06558090448379517,0.0008,16,60,960
11,0.08453334122896194,0.06461380422115326,0.0008,16,60,960
12,0.08196695148944855,0.0643351823091507,0.00068,16,60,960
13,0.08193130791187286,0.06441150605678558,0.00068,16,60,960
14,0.0808231383562088,0.06457152962684631,0.00068,16,60,960
15,0.07996486872434616,0.06427133083343506,0.00068,16,60,960
16,0.0798582136631012,0.06384557485580444,0.00068,16,60,960
17,0.0801558718085289,0.06421928107738495,0.00068,16,60,960
18,0.07894846796989441,0.06427893042564392,0.00068,16,60,960
19,0.07810989767313004,0.06355191022157669,0.00068,16,60,960
20,0.08047646284103394,0.06412874162197113,0.00068,16,60,960
21,0.07898279279470444,0.06380857527256012,0.00068,16,60,960
22,0.08059247583150864,0.06390303373336792,0.00068,16,60,960
23,0.08068179339170456,0.06364831328392029,0.00068,16,60,960
24,0.0777944028377533,0.06403295695781708,0.0005780000000000001,16,60,960
25,0.07830927520990372,0.06380991637706757,0.0005780000000000001,16,60,960
26,0.07755817472934723,0.06350062787532806,0.0005780000000000001,16,60,960
27,0.07779238373041153,0.06386449933052063,0.0005780000000000001,16,60,960
