epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,epoch_seconds,cumulative_updates,batches_per_epoch,effective_epochs,effective_updates
1,0.34055328369140625,0.18853236734867096,0.4216854248046875,0.3480664876302083,0.6543688768040568,0.8103169508518662,0.0008,17.968262999999993,16,16,60,960
2,0.11558035761117935,0.08079901337623596,0.2656444091796875,0.22483762613932293,0.8842119383305627,0.918625310974246,0.0008,0.07996645899999066,32,16,60,960
3,0.10179481655359268,0.07230879366397858,0.24923191324869792,0.21173095703125,0.8981034041987962,0.9271877678733055,0.0008,0.07182333299999755,48,16,60,960
4,0.09664908796548843,0.06919976323843002,0.24313968912760417,0.20641182454427084,0.9033868621075726,0.9303307103972183,0.0008,0.07431395800000473,64,16,60,960
5,0.09066910296678543,0.06787365674972534,0.23590478515625,0.20295906575520833,0.9092594323644033,0.931675806331026,0.0008,0.07657500000000539,80,16,60,960
6,0.09047947078943253,0.06666829437017441,0.23436991373697916,0.20154433186848958,0.9093660989530277,0.9328962650665332,0.0008,0.07545350000000894,96,16,60,960
7,0.08810774981975555,0.06554068624973297,0.23254219563802084,0.20009421793619792,0.9118493913022246,0.9340300361149718,0.0008,0.07886700000000246,112,16,60,960
8,0.08512191474437714,0.06514637917280197,0.22744474283854166,0.19911492919921875,0.9150443035903867,0.9344239195221704,0.0008,0.07722237500000517,128,16,60,960
9,0.08487563580274582,0.06480919569730759,0.22700461832682292,0.1990118408203125,0.9153148213275457,0.934761032055857,0.0008,0.07417758399999741,144,16,60,960
10,0.08479013293981552,0.0650792047381401,0.22748319498697916,0.19851324462890624,0.9153123167700812,0.9345036942829139,0.0008,0.07459554099999366,160,16,60,960
11,0.08264032006263733,0.06389455497264862,0.22455623372395833,0.19690388997395833,0.9172389541946697,0.935688867438118,0.0008,0.0800315420000004,176,16,60,960
12,0.08185607194900513,0.06402037292718887,0.2234720255533854,0.196678466796875,0.9179900628137799,0.9355642251267063,0.00068,0.07350712500000611,192,16,60,960
13,0.08300545066595078,0.06407774239778519,0.22486663818359376,0.19695841471354167,0.9171585438737682,0.9355169850924474,0.00068,0.07716079200000081,208,16,60,960
14,0.08213064819574356,0.06365171074867249,0.22344535319010417,0.19632747395833333,0.9178762251073823,0.9359290047050272,0.00068,0.07694983399998989,224,16,60,960
15,0.08113060891628265,0.0642099604010582,0.2220250040690104,0.1979698486328125,0.9188781871936418,0.9353793145737306,0.00068,0.07367883300000244,240,16,60,960
16,0.08259760588407516,0.06408625841140747,0.223751708984375,0.197135498046875,0.9172962664396203,0.9355005004219796,0.00068,0.07539729100000159,256,16,60,960
17,0.08183414489030838,0.0636606216430664,0.22324001057942708,0.19621710205078124,0.9182501776139734,0.9359291785508076,0.00068,0.0770650000000046,272,16,60,960
18,0.0798211321234703,0.0631205216050148,0.22084210205078125,0.19561252848307292,0.9201112859872339,0.9364736277431372,0.00068,0.07342374999998924,288,16,60,960
19,0.07912001013755798,0.06366413831710815,0.21987117513020835,0.1965380859375,0.9210318829418622,0.9359191670791029,0.00068,0.07519562500000632,304,16,60,960
20,0.08098465949296951,0.06397700309753418,0.22152386474609376,0.19630790201822917,0.9194499017781668,0.9356244984813816,0.00068,0.07875545899999281,320,16,60,960
21,0.08018865436315536,0.06316189467906952,0.22119718424479168,0.1953228759765625,0.9198304196418892,0.9364303912749378,0.00068,0.07412520799999811,336,16,60,960
22,0.07790694385766983,0.06370504200458527,0.2181102294921875,0.1960263671875,0.9219039520614295,0.9358813198300949,0.00068,0.07697183300000177,352,16,60,960
23,0.07979365438222885,0.06293302029371262,0.2204146525065104,0.19529974365234376,0.920174464358297,0.9366609312321486,0.00068,0.07692612499999996,368,16,60,960
24,0.07899731397628784,0.06305958330631256,0.22031134033203126,0.19497123209635417,0.9209483205355221,0.9365330165295771,0.0005780000000000001,0.07412245799999084,384,16,60,960
25,0.0788741409778595,0.06287054717540741,0.21978468831380207,0.194881103515625,0.9210879506865923,0.9367279436673687,0.0005780000000000001,0.0748889580000025,400,16,60,960
26,0.07783238589763641,0.06278955936431885,0.21845780436197917,0.19465895589192708,0.922107300678779,0.9368091143074663,0.0005780000000000001,0.08086541699999827,416,16,60,960
27,0.07816703617572784,0.06289967894554138,0.21834891764322917,0.19563838704427083,0.9218140564575321,0.9366925660510641,0.0005780000000000001,0.07467216700000279,432,16,60,960
28,0.07731558382511139,0.06255382299423218,0.21738405354817708,0.19448380533854168,0.9226731058072479,0.9370384577966593,0.0005780000000000001,0.07737129200000936,448,16,60,960
29,0.07784213125705719,0.06320896744728088,0.21823533121744793,0.19574678548177082,0.9221536638865093,0.9363746123449961,0.0005780000000000001,0.0782413749999904,464,16,60,960
30,0.07672063261270523,0.0630146712064743,0.21682071940104167,0.19453603108723957,0.9232690813084372,0.9365784107306976,0.0005780000000000001,0.07377916600000844,480,16,60,960
31,0.07648548483848572,0.0625486969947815,0.21623640950520834,0.194292724609375,0.9234955764366916,0.937046751263005,0.0005780000000000001,0.07495754099998919,496,16,60,960
32,0.07623874396085739,0.06235463172197342,0.21493794759114584,0.19408929443359374,0.9236427097682615,0.937239592251432,0.0005780000000000001,0.07720025000000419,512,16,60,960
33,0.0771121010184288,0.06275902688503265,0.21687689208984376,0.19439717610677085,0.9229373559137182,0.9368295207342145,0.0005780000000000001,0.07264370900000472,528,16,60,960
34,0.07652515918016434,0.0625087171792984,0.21595849609375,0.19429229736328124,0.9235193169725247,0.9370902127080966,0.0005780000000000001,0.0750806669999946,544,16,60,960
35,0.07519125193357468,0.06263963878154755,0.21387654622395832,0.19432731119791666,0.9249665251886281,0.9369586267916927,0.0005780000000000001,0.07801554099999919,560,16,60,960
36,0.07576894760131836,0.062468189746141434,0.214998291015625,0.19435432942708333,0.9242123412767013,0.9371230797868082,0.0004913000000000001,0.0749121669999937,576,16,60,960
37,0.07646231353282928,0.06252770870923996,0.21576871744791667,0.19413285319010418,0.9237185513974878,0.9370687171886654,0.0004913000000000001,0.07697329100000161,592,16,60,960
38,0.07674200087785721,0.06263723969459534,0.21644329833984374,0.19470849609375,0.9232324149711301,0.9369548891074148,0.0004913000000000001,0.07857820799999615,608,16,60,960
39,0.07650144398212433,0.06274374574422836,0.21598640950520834,0.19443998209635416,0.9234628880537339,0.9368532097783451,0.0004913000000000001,0.07400362500000313,624,16,60,960
40,0.07598083466291428,0.062489841133356094,0.21558475748697917,0.19397489420572916,0.92403115229858,0.9371097601321654,0.0004913000000000001,0.07678295799999546,640,16,60,960
