=== [Train] Fold 5 (5/5) ===
Step: set random seed (6)
Step: build datasets
Step: initialize model
Step: training setup (model=MLPModel, profile=deep, control_mode=epochs, epochs=60, target_updates=None)
Step: training
TrnLoss=0.266 ValLoss=0.182 ValR2=0.806
TrnLoss=0.110 ValLoss=0.078 ValR2=0.917
TrnLoss=0.096 ValLoss=0.070 ValR2=0.926
TrnLoss=0.092 ValLoss=0.067 ValR2=0.929
TrnLoss=0.091 ValLoss=0.065 ValR2=0.931
TrnLoss=0.088 ValLoss=0.064 ValR2=0.932
TrnLoss=0.085 ValLoss=0.064 ValR2=0.932
TrnLoss=0.084 ValLoss=0.064 ValR2=0.932
TrnLoss=0.083 ValLoss=0.063 ValR2=0.933
TrnLoss=0.082 ValLoss=0.063 ValR2=0.933
TrnLoss=0.083 ValLoss=0.063 ValR2=0.933
TrnLoss=0.080 ValLoss=0.062 ValR2=0.934
TrnLoss=0.080 ValLoss=0.063 ValR2=0.933
TrnLoss=0.079 ValLoss=0.062 ValR2=0.934
TrnLoss=0.081 ValLoss=0.062 ValR2=0.934
TrnLoss=0.080 ValLoss=0.062 ValR2=0.934
TrnLoss=0.079 ValLoss=0.062 ValR2=0.934
TrnLoss=0.077 ValLoss=0.062 ValR2=0.934
TrnLoss=0.079 ValLoss=0.062 ValR2=0.934
TrnLoss=0.078 ValLoss=0.062 ValR2=0.934
TrnLoss=0.078 ValLoss=0.062 ValR2=0.934
TrnLoss=0.078 ValLoss=0.062 ValR2=0.934
TrnLoss=0.078 ValLoss=0.061 ValR2=0.934
TrnLoss=0.079 ValLoss=0.062 ValR2=0.934
TrnLoss=0.076 ValLoss=0.062 ValR2=0.934
TrnLoss=0.076 ValLoss=0.062 ValR2=0.934
TrnLoss=0.076 ValLoss=0.061 ValR2=0.935
TrnLoss=0.075 ValLoss=0.062 ValR2=0.934
TrnLoss=0.076 ValLoss=0.061 ValR2=0.935
TrnLoss=0.075 ValLoss=0.061 ValR2=0.935
TrnLoss=0.074 ValLoss=0.061 ValR2=0.935
TrnLoss=0.075 ValLoss=0.061 ValR2=0.935
TrnLoss=0.075 ValLoss=0.061 ValR2=0.935
TrnLoss=0.073 ValLoss=0.061 ValR2=0.935
TrnLoss=0.075 ValLoss=0.061 ValR2=0.934
TrnLoss=0.075 ValLoss=0.061 ValR2=0.935
TrnLoss=0.075 ValLoss=0.061 ValR2=0.935
TrnLoss=0.076 ValLoss=0.061 ValR2=0.935
TrnLoss=0.074 ValLoss=0.061 ValR2=0.935
TrnLoss=0.074 ValLoss=0.061 ValR2=0.935
TrnLoss=0.075 ValLoss=0.061 ValR2=0.935
TrnLoss=0.074 ValLoss=0.061 ValR2=0.935
TrnLoss=0.074 ValLoss=0.061 ValR2=0.935
TrnLoss=0.073 ValLoss=0.061 ValR2=0.935
Early stopping at epoch 44: no validation improvement for 8 epochs (best epoch=36, best val loss=0.061)
 72%|#########3   | 43/60 [00:21<00:08,  2.03ep/s]
Step: evaluate test split
