=== [Causal Discovery] Fold 2 (2/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/metadata.json
Test:  CI( 0 , 1 | () ) = 0.5370116778071077
Test:  CI( 0 , 2 | () ) = 0.8390751458461696
Test:  CI( 1 , 2 | () ) = 0.5935056501298237
Test:  CI( 0 , 3 | () ) = 0.0
Test:  CI( 1 , 3 | () ) = 9.83149597288957e-08
Test:  CI( 2 , 3 | () ) = 0.9524653389463629
Test:  CI( 0 , 4 | () ) = 8.218092872880334e-12
Test:  CI( 1 , 4 | () ) = 0.0
Test:  CI( 2 , 4 | () ) = 0.9434760354572371
Test:  CI( 3 , 4 | () ) = 0.0
Test:  CI( 0 , 5 | () ) = 0.0
Test:  CI( 1 , 5 | () ) = 0.00014648325653410232
Test:  CI( 2 , 5 | () ) = 0.963155306355236
Test:  CI( 3 , 5 | () ) = 0.0
Test:  CI( 4 , 5 | () ) = 0.0
Test:  CI( 0 , 6 | () ) = 1.5484323705461378e-06
Test:  CI( 1 , 6 | () ) = 0.0
Test:  CI( 2 , 6 | () ) = 0.7606046658790884
Test:  CI( 3 , 6 | () ) = 0.0
Test:  CI( 4 , 6 | () ) = 0.0
Test:  CI( 5 , 6 | () ) = 0.0
Test:  CI( 0 , 7 | () ) = 4.090372351939209e-08
Test:  CI( 1 , 7 | () ) = 9.614531393253856e-14
Test:  CI( 2 , 7 | () ) = 0.0
Test:  CI( 3 , 7 | () ) = 0.0
Test:  CI( 4 , 7 | () ) = 0.0
Test:  CI( 5 , 7 | () ) = 0.0
Test:  CI( 6 , 7 | () ) = 0.0
Test:  CI( 0 , 3 | (1,) ) = 0.0
Test:  CI( 1 , 3 | (0,) ) = 4.951594689828198e-14
Test:  CI( 0 , 4 | (1,) ) = 0.0
Test:  CI( 0 , 4 | (3,) ) = 2.0547224931055652e-05
Test:  CI( 1 , 4 | (0,) ) = 0.0
Test:  CI( 1 , 4 | (3,) ) = 0.0
Test:  CI( 3 , 4 | (0,) ) = 0.0
Test:  CI( 3 , 4 | (1,) ) = 0.0
Test:  CI( 0 , 5 | (1,) ) = 0.0
Test:  CI( 0 , 5 | (3,) ) = 0.0
Test:  CI( 0 , 5 | (4,) ) = 0.0
Test:  CI( 1 , 5 | (0,) ) = 1.220579193272897e-12
Test:  CI( 1 , 5 | (3,) ) = 5.155302185144706e-09
Test:  CI( 1 , 5 | (4,) ) = 1.3971374501764444e-08
Test:  CI( 3 , 5 | (0,) ) = 0.0
Test:  CI( 3 , 5 | (1,) ) = 0.0
Test:  CI( 3 , 5 | (4,) ) = 0.0
Test:  CI( 4 , 5 | (0,) ) = 0.0
Test:  CI( 4 , 5 | (1,) ) = 0.0
Test:  CI( 4 , 5 | (3,) ) = 3.875769459371625e-06
Test:  CI( 0 , 6 | (1,) ) = 0.0
Test:  CI( 0 , 6 | (3,) ) = 1.4710053886091146e-07
Test:  CI( 0 , 6 | (4,) ) = 1.55495184284149e-07
Test:  CI( 0 , 6 | (5,) ) = 1.2878587085651816e-14
Test:  CI( 1 , 6 | (0,) ) = 0.0
Test:  CI( 1 , 6 | (3,) ) = 0.0
Test:  CI( 1 , 6 | (4,) ) = 0.0
Test:  CI( 1 , 6 | (5,) ) = 0.0
Test:  CI( 3 , 6 | (0,) ) = 0.0
Test:  CI( 3 , 6 | (1,) ) = 0.0
Test:  CI( 3 , 6 | (4,) ) = 1.2018727389540018e-05
Test:  CI( 3 , 6 | (5,) ) = 0.0
Test:  CI( 4 , 6 | (0,) ) = 0.0
Test:  CI( 4 , 6 | (1,) ) = 0.0
Test:  CI( 4 , 6 | (3,) ) = 0.0
Test:  CI( 4 , 6 | (5,) ) = 0.0
Test:  CI( 5 , 6 | (0,) ) = 0.0
Test:  CI( 5 , 6 | (1,) ) = 0.0
Test:  CI( 5 , 6 | (3,) ) = 4.789769469937255e-09
Test:  CI( 5 , 6 | (4,) ) = 4.327736480291833e-08
Test:  CI( 0 , 7 | (1,) ) = 4.867648506490241e-10
Test:  CI( 0 , 7 | (2,) ) = 4.831024469353906e-12
Test:  CI( 0 , 7 | (3,) ) = 0.05208931273327244
Test:  CI( 1 , 7 | (2,) ) = 0.0
Test:  CI( 1 , 7 | (3,) ) = 3.655101199484534e-07
Test:  CI( 1 , 7 | (4,) ) = 0.45446203786230743
Test:  CI( 2 , 7 | (3,) ) = 0.0
Test:  CI( 2 , 7 | (4,) ) = 0.0
Test:  CI( 2 , 7 | (5,) ) = 0.0
Test:  CI( 2 , 7 | (6,) ) = 0.0
Test:  CI( 3 , 7 | (2,) ) = 0.0
Test:  CI( 3 , 7 | (4,) ) = 0.8911894979447927
Test:  CI( 4 , 7 | (2,) ) = 0.0
Test:  CI( 4 , 7 | (5,) ) = 0.0
Test:  CI( 4 , 7 | (6,) ) = 3.594525510686175e-05
Test:  CI( 5 , 7 | (2,) ) = 0.0
Test:  CI( 5 , 7 | (4,) ) = 0.9359502398751129
Test:  CI( 6 , 7 | (2,) ) = 0.0
Test:  CI( 6 , 7 | (4,) ) = 0.3707580919983431
Test:  CI( 3 , 4 | (0, 1) ) = 0.0
Test:  CI( 3 , 5 | (0, 1) ) = 0.0
Test:  CI( 3 , 5 | (0, 4) ) = 0.0
Test:  CI( 3 , 5 | (1, 4) ) = 0.0
Test:  CI( 0 , 6 | (4, 5) ) = 0.3480255754731496
Test:  CI( 1 , 6 | (4, 5) ) = 0.0
Test:  CI( 3 , 6 | (0, 1) ) = 0.0
Test:  CI( 3 , 6 | (0, 4) ) = 0.18638319020945238
Saved adjacency matrix to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/learned_graph_adj.npy
Test:  CI( 0 , 1 | () ) = 0.20638251652437445
Test:  CI( 0 , 2 | () ) = 0.5630645204381186
Test:  CI( 1 , 2 | () ) = 0.670250018871229
Test:  CI( 0 , 3 | () ) = 0.0
Test:  CI( 1 , 3 | () ) = 6.559780096893064e-08
Test:  CI( 2 , 3 | () ) = 0.33977263996738305
Test:  CI( 0 , 4 | () ) = 0.0
Test:  CI( 1 , 4 | () ) = 0.0
Test:  CI( 2 , 4 | () ) = 0.3549785959318814
Test:  CI( 3 , 4 | () ) = 0.0
Test:  CI( 0 , 5 | () ) = 0.0
Test:  CI( 1 , 5 | () ) = 8.454687934622562e-05
Test:  CI( 2 , 5 | () ) = 0.10149566808319821
Test:  CI( 3 , 5 | () ) = 0.0
Test:  CI( 4 , 5 | () ) = 0.0
Test:  CI( 0 , 6 | () ) = 1.3841039425699364e-10
Test:  CI( 1 , 6 | () ) = 0.0
Test:  CI( 2 , 6 | () ) = 0.7231379946715639
Test:  CI( 3 , 6 | () ) = 0.0
Test:  CI( 4 , 6 | () ) = 0.0
Test:  CI( 5 , 6 | () ) = 0.0
