fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
5,X0,X1,input,False,False,0.0028961462293985753,0.002914783959655031,0.0,0.0,-0.0028961462293985753,0.0195,0.8416360266077476,False,False,False,False,False,True,True,aligned_observable_state,0.002838463425583186,0.0028567299464970215,-5.768280381538912e-05,0.0195,0.8416360266077476,False,False,False,True
5,X0,X2,input,False,False,0.0483355256235969,0.04773904400826008,0.0,0.0,-0.0483355256235969,0.0275,0.43609338214006377,False,False,False,False,False,True,True,aligned_observable_state,0.04837891190535488,0.04778189488424575,4.3386281757977485e-05,0.027,0.4596372544037147,False,False,False,True
5,X0,X3,input,True,True,-2.4230033421163526,-1.290031499168151,-2.4595573149400884,-1.3094932042111032,-0.03655397282373585,0.704,0.0,True,True,True,False,False,False,False,aligned_observable_state,-2.4224128156600204,-1.289717096906908,0.0005905264563321744,0.703,0.0,True,True,True,True
5,X0,X4,input,False,True,-2.211020106285779,-0.9222210971965487,-2.3201606350643065,-0.9677438393519001,-0.10914052877852765,0.448,4.6043690434047353e-181,True,True,True,False,False,True,False,aligned_observable_state,-2.212532538939243,-0.922851936010338,-0.0015124326534641241,0.4485,1.7546508194403961e-181,True,True,True,True
5,X0,X5,output,True,True,-4.155820133432052,-1.4200237431623632,-4.153588104892062,-1.4192610697500314,0.0022320285399901607,0.8165,0.0,True,True,True,False,False,False,False,aligned_observable_state,-4.094954740694176,-1.399226331327961,0.06086539273787661,0.892,0.0,True,True,True,True
5,X0,X6,output,False,True,2.2465032728556658,0.6377406250020872,2.434033204370394,0.6909768954210376,0.18752993151472808,0.2785,1.1213824199810417e-68,True,True,True,False,False,True,False,aligned_observable_state,2.302915766293145,0.6537550859011413,0.05641249343747923,0.3115,4.1997234232594355e-86,True,True,True,True
5,X0,X7,output,False,True,1.8506574582546613,0.7333132014744094,1.8508344764842426,0.7333833440089311,0.00017701822958127167,0.331,2.208483755167228e-97,True,True,True,False,False,True,False,aligned_observable_state,1.8481242108932647,0.7323094156444457,-0.0025332473613965956,0.3575,6.684712054976445e-114,True,True,True,True
5,X1,X0,input,False,False,0.03167595672924583,0.0317154583330011,0.0,0.0,-0.03167595672924583,0.021,0.770029236885313,False,False,False,False,False,True,True,aligned_observable_state,0.03531845091752763,0.035362494905379974,0.003642494188281803,0.0205,0.7948265413398378,False,False,False,True
5,X1,X2,input,False,False,0.07751210996651622,0.07655557648592402,0.0,0.0,-0.07751210996651622,0.0385,0.10315937616578036,True,False,False,False,False,True,True,aligned_observable_state,0.07707878246672495,0.07612759643779922,-0.00043332749979127505,0.036,0.149691055593586,True,False,False,True
5,X1,X3,input,True,True,1.045677369032455,0.5567292131099211,1.1070242535239356,0.5893909152191374,0.061346884491480624,0.2445,7.241397548434277e-53,True,True,True,False,False,False,False,aligned_observable_state,1.047401530593798,0.5576471741730059,0.0017241615613430294,0.244,1.1920528107177854e-52,True,True,True,True
