epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.9900991320610046,0.8838415145874023,0.001,16,40,640
2,0.8050611019134521,0.6999484300613403,0.001,16,40,640
3,0.6120017170906067,0.5090236663818359,0.001,16,40,640
4,0.43506407737731934,0.3687790632247925,0.001,16,40,640
5,0.3364301919937134,0.31586822867393494,0.001,16,40,640
6,0.30207040905952454,0.2893674075603485,0.001,16,40,640
7,0.27984169125556946,0.269941508769989,0.001,16,40,640
8,0.26305317878723145,0.25699663162231445,0.001,16,40,640
9,0.25322797894477844,0.24948053061962128,0.001,16,40,640
10,0.24765586853027344,0.24626979231834412,0.00085,16,40,640
11,0.2450726181268692,0.24426810443401337,0.00085,16,40,640
12,0.24393266439437866,0.24346788227558136,0.00085,16,40,640
13,0.24315133690834045,0.2428830862045288,0.00085,16,40,640
14,0.24249982833862305,0.24235780537128448,0.00085,16,40,640
15,0.2422005534172058,0.24190238118171692,0.00085,16,40,640
16,0.2426908016204834,0.24174389243125916,0.00085,16,40,640
17,0.24164611101150513,0.24147191643714905,0.00085,16,40,640
18,0.2415028214454651,0.24142898619174957,0.00085,16,40,640
19,0.24139732122421265,0.24114736914634705,0.00085,16,40,640
20,0.2413306087255478,0.24133285880088806,0.0007224999999999999,16,40,640
21,0.2407999038696289,0.24099332094192505,0.0007224999999999999,16,40,640
22,0.24083469808101654,0.24085739254951477,0.0007224999999999999,16,40,640
23,0.24052932858467102,0.2410551756620407,0.0007224999999999999,16,40,640
24,0.24080389738082886,0.24086743593215942,0.0007224999999999999,16,40,640
25,0.24072812497615814,0.24072876572608948,0.0007224999999999999,16,40,640
26,0.2407478243112564,0.24081990122795105,0.0007224999999999999,16,40,640
27,0.24046069383621216,0.24073335528373718,0.0007224999999999999,16,40,640
28,0.24018137156963348,0.24067643284797668,0.0007224999999999999,16,40,640
29,0.2403150200843811,0.2405780851840973,0.0007224999999999999,16,40,640
30,0.24024870991706848,0.24058303236961365,0.000614125,16,40,640
31,0.2407180666923523,0.2407803237438202,0.000614125,16,40,640
32,0.2404506653547287,0.24042126536369324,0.000614125,16,40,640
33,0.24042467772960663,0.24064764380455017,0.000614125,16,40,640
34,0.24054647982120514,0.24058732390403748,0.000614125,16,40,640
35,0.24080170691013336,0.24045053124427795,0.000614125,16,40,640
36,0.2400512844324112,0.2406054139137268,0.000614125,16,40,640
37,0.2403758019208908,0.24047738313674927,0.000614125,16,40,640
38,0.23991845548152924,0.24066776037216187,0.000614125,16,40,640
