input_0,input_1,input_2,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
1.6469511,-0.17019217,-1.7559181,0.1162043,1.5534568,0.5870588,1.5974091,0.0,0.0,0.0,0.0,1.2779075,0.41697684,0.3101582,0.0,1.311059,0.90228266,0.0,1.3742557,0.0,0.45026347,0.0,0.0,0.0,0.0,0.0,0.49307114,0.0,0.0,0.7801964,0.0,1.3087261,0.75361276,0.0,0.7153087,0.0,0.0,1.2831134,1.1499575,1.3669468,1.5386299,0.020108063,0.2277781,0.0,0.60891896,0.0,0.42314592,0.17675918,1.4008152,0.22885096,0.0,0.4567375,0.0,0.0,1.6109977,1.6819005,0.20666322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098485,0.0,1.7915671,-1.135675,-1.6156131,1.3016145
0.43259972,0.5736756,0.5144248,0.04251486,0.20438443,0.12678519,0.88455105,0.0,0.07684192,0.0,0.0,0.0,0.0,0.0,0.5812588,0.0,0.103602335,0.0,1.1504765,0.06510869,0.0,0.88118434,0.58395684,0.0,0.0,1.0530992,0.19318779,0.7589186,0.5189537,0.21404687,0.0,0.0,0.31054255,0.0,0.0,0.0,0.0,0.53135604,0.6943173,0.039291576,0.72019243,0.82647437,0.9359261,0.0,0.0,0.0,0.957174,0.71070766,0.3779953,0.8505033,0.0,0.9014304,0.0,0.0,0.052589968,0.6123474,0.8300799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061416827,0.0,0.3958276,0.7906525,0.2370461,-0.6181176
-0.34530878,-1.2909265,-0.41439953,0.4576109,0.0,0.42609692,0.0,0.0,0.0,0.0,0.44271064,0.49687296,0.18373582,0.50277716,0.0,0.4904562,0.0,0.0,0.0,0.0,0.52067477,0.0,0.72073734,0.3151248,0.5366243,0.0,0.0,0.0,0.0,0.7642338,0.0,0.41395336,0.7995104,0.8831637,0.8672923,0.0,0.0,0.29691398,0.25613603,0.7148343,0.5967555,0.81983787,0.43772632,0.0,1.3276043,0.0,0.57833385,0.2904873,0.7221898,0.18672498,0.0,0.27727398,0.0,0.0,1.380723,0.1127367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7430346,0.0,0.8810291,-0.72400296,0.19047241,0.8917698
-0.09647844,-1.9467694,-1.1284751,0.67932314,0.0,0.5058636,0.0,0.0,0.0,0.0,0.5481498,1.0422184,0.563926,1.0887961,0.0,1.0320866,0.0,0.0,0.0,0.0,0.86773944,0.0,0.37686515,0.7137792,0.38347703,0.0,0.0,0.0,0.0,0.99525666,0.0,1.1436923,0.9660437,1.080345,1.4003462,0.0,0.0,0.40024185,0.32117024,1.2051781,0.94909286,0.8821051,0.3454491,0.0,1.9363928,0.0,0.6591189,0.13922113,1.3959575,0.18985607,0.0,0.26638588,0.0,0.0,2.0897145,0.43093324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066207,0.0,1.3986361,-1.3298985,-0.17900737,1.6419196
1.1698858,-0.46183774,-1.0890402,0.3527547,0.79768705,0.35502997,1.1906745,0.0,0.0,0.0,0.0,1.0747924,0.3016245,0.12802279,0.0,1.0803561,0.49173093,0.0,0.95784193,0.0,0.35132498,0.043642074,0.0,0.0,0.0,0.028338313,0.1672366,0.0,0.0,0.6715671,0.0,0.9487358,0.6455821,0.08493601,0.6780405,0.0,0.0,0.7719849,0.65108484,0.7872471,1.074193,0.21181956,0.40031075,0.0,0.56576073,0.0,0.5178808,0.2585484,1.200817,0.3266186,0.0,0.4603276,0.0,0.0,1.2901971,1.1226406,0.10211803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81072694,0.0,1.3820534,-0.651718,-0.84305066,0.9957609
-0.27476266,-0.27706245,-0.91541666,0.0,0.24033594,0.96477973,0.25355846,0.0,0.0,0.0,0.0,0.06697088,0.0,0.51308304,0.0,0.12799093,0.0,0.0,0.2720223,0.0,0.4743294,0.0,0.09235349,0.07826641,0.0,0.017414272,0.59756494,0.0,0.0,0.8305667,0.0,0.1976163,0.9721072,0.6969898,0.464926,0.0,0.0,0.8567194,0.71625495,1.0158899,0.7959523,0.6144942,0.20563519,0.0,0.76603365,0.0,0.0,0.09173375,0.7195529,0.0,0.0,0.0,0.0,0.0,0.87264794,0.5133791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97589535,0.0,0.7745348,-1.1271214,-0.6451111,0.72810435
0.61097795,-0.29446465,-0.593654,0.2023507,0.39064598,0.38811153,0.8380335,0.0,0.0,0.0,0.0,0.6016852,0.064530104,0.0,0.0,0.6118509,0.17148931,0.0,0.750909,0.0,0.22957045,0.18047741,0.0645957,0.0,0.0,0.26946253,0.18823206,0.0,0.0,0.59375155,0.0,0.41954303,0.62683845,0.20722324,0.43908483,0.0,0.0,0.5711302,0.4998286,0.48342282,0.8006259,0.37189442,0.5053251,0.0,0.3898121,0.0,0.40319148,0.32223833,0.832412,0.33303866,0.0,0.34807414,0.0,0.0,0.80879176,0.74191874,0.119018406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60743606,0.0,0.9336715,-0.36101443,-0.42976832,0.5508949
-1.6114113,-1.1835781,1.3526044,0.5453251,0.0,0.0725342,0.0,1.0170467,0.0,0.55477,1.3976836,0.0,0.0,0.0,0.21332318,0.0,0.0,0.6741408,0.0,0.0,0.0762227,0.27078742,2.1752703,0.096150994,1.8618922,0.79683256,0.0,0.73590606,0.0,0.40980238,0.72390354,0.0,0.5306436,1.0935354,0.3080361,0.0,0.0,0.11710676,0.23010682,0.44809756,0.019200623,1.7645657,1.3658372,0.0,1.7558448,0.0,1.7873924,1.2952893,0.0,0.8654678,0.0,1.2583787,0.0,0.0,1.0062683,0.0,0.45327875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24375905,0.7305553,1.7151604,-0.4436283
0.618353,0.03513674,-1.304264,0.0,1.0101804,0.86592734,0.9378414,0.0,0.0,0.0,0.0,0.49643862,0.10108733,0.33900583,0.0,0.5561791,0.36249226,0.0,0.9308589,0.0,0.40805343,0.0,0.0,0.0,0.0,0.0,0.68818176,0.0,0.0,0.78664804,0.0,0.59100044,0.8749756,0.26948392,0.44351488,0.0,0.0,1.1644746,0.9885845,1.1861651,1.1601005,0.31582186,0.2236301,0.0,0.5768152,0.0,0.0,0.15485272,0.9592911,0.0161075,0.0,0.08762822,0.0,0.0,1.0627974,1.1036949,0.04781459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003679,0.0,1.2009863,-1.1915575,-1.2247218,0.9101622
-0.2687622,-1.0703443,-0.13999593,0.46850312,0.0,0.30881903,0.055387318,0.0,0.0,0.0,0.37638605,0.41052625,0.075023055,0.22043127,0.0,0.3974841,0.0,0.0,0.0,0.0,0.36738,0.0,0.8150033,0.11990416,0.56031495,0.20151001,0.0,0.0,0.0,0.65084434,0.0,0.21805926,0.6893227,0.7324889,0.6876402,0.0,0.0,0.1991468,0.17496395,0.4233564,0.46412975,0.75752956,0.53783846,0.0,1.0305328,0.0,0.6563469,0.42447034,0.5213949,0.27533972,0.0,0.39407754,0.0,0.0,1.1287019,0.05192578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5109778,0.0,0.75561625,-0.33508322,0.3815493,0.5934371
