epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,epoch_seconds,cumulative_updates,batches_per_epoch,effective_epochs,effective_updates
1,0.8952550888061523,0.5855002403259277,0.5940286051432292,0.5437334391276042,0.10052854027121338,0.21151545832644758,0.001,17.930565916,16,16,40,640
2,0.7277745008468628,0.463937908411026,0.52262744140625,0.47468009440104164,0.267306258586674,0.37522105607105327,0.001,0.053313915999993355,32,16,40,640
3,0.5967204570770264,0.36691033840179443,0.4528090006510417,0.4103828938802083,0.39804883091007337,0.5058627144999395,0.001,0.04554979200000275,48,16,40,640
4,0.4972590506076813,0.298376202583313,0.39213765462239586,0.3624564208984375,0.497914415038773,0.5982310375324204,0.001,0.050406707999997025,64,16,40,640
5,0.4394097328186035,0.26352715492248535,0.3534058837890625,0.33774129231770833,0.5589071076500347,0.64528233623615,0.001,0.050329833000006374,80,16,40,640
6,0.4034847319126129,0.24001696705818176,0.3322037760416667,0.32083809407552083,0.592126060515298,0.6769938899060413,0.001,0.05276208399999405,96,16,40,640
7,0.38139620423316956,0.2241080105304718,0.3179122721354167,0.309053466796875,0.6135825942690512,0.6984708037248599,0.001,0.05096283299999982,112,16,40,640
8,0.3711896538734436,0.21433040499687195,0.3082551879882813,0.30101888020833334,0.6274438754992377,0.7116604253831882,0.001,0.04798812500000338,128,16,40,640
9,0.3586943447589874,0.20760449767112732,0.29997794596354166,0.29463102213541664,0.6376172019976429,0.7207280917152505,0.001,0.043327916000009736,144,16,40,640
10,0.35138756036758423,0.20266377925872803,0.2938385009765625,0.29010791015625,0.6448029866975732,0.7274124042918947,0.00085,0.04991716600000018,160,16,40,640
11,0.3482455015182495,0.20004741847515106,0.289294921875,0.2877052001953125,0.6495418663068564,0.7309389593763562,0.00085,0.0552858749999956,176,16,40,640
12,0.34407684206962585,0.19826596975326538,0.28653782145182294,0.286086669921875,0.6524104951133278,0.7333561912412091,0.00085,0.05267420900000275,192,16,40,640
13,0.3414134681224823,0.19694706797599792,0.2844196980794271,0.2848072509765625,0.6545245135690194,0.7351392971999562,0.00085,0.04974100000001158,208,16,40,640
14,0.34009668231010437,0.1961994171142578,0.2831980387369792,0.2839642333984375,0.6560602385711773,0.7361588174116127,0.00085,0.04782550000000185,224,16,40,640
15,0.3381255567073822,0.19545918703079224,0.2819043579101562,0.2833709920247396,0.657243409015438,0.7371711621465741,0.00085,0.04524629200000163,240,16,40,640
16,0.33859896659851074,0.19527682662010193,0.28103094482421875,0.2829718017578125,0.6579602795854108,0.7374232897742674,0.00085,0.055721208999997884,256,16,40,640
17,0.3370014429092407,0.19444409012794495,0.28026295979817706,0.2824824625651042,0.6587159293210154,0.7385580558100965,0.00085,0.044943791999997984,272,16,40,640
18,0.3360423445701599,0.19454950094223022,0.2798585001627604,0.28237152099609375,0.6592725703374767,0.7384311429894653,0.00085,0.04863033300000552,288,16,40,640
19,0.33650949597358704,0.1941838562488556,0.27927264404296875,0.28181376139322917,0.65968488047961,0.7389326047386575,0.00085,0.04790420800000561,304,16,40,640
20,0.3355368375778198,0.1938060224056244,0.2786577758789063,0.2818572998046875,0.6601609378895288,0.7394434055624798,0.0007224999999999999,0.04783954200000551,320,16,40,640
21,0.33510684967041016,0.19380056858062744,0.27857076009114584,0.281631103515625,0.6604563846159668,0.7394533471580536,0.0007224999999999999,0.04923620900000003,336,16,40,640
22,0.3349922001361847,0.19364693760871887,0.27799424235026043,0.28148846435546876,0.6608107593369688,0.7396644211996168,0.0007224999999999999,0.055633458000002634,352,16,40,640
23,0.3345506489276886,0.19340595602989197,0.27785646565755207,0.2813877360026042,0.6609401829539312,0.7399932059237596,0.0007224999999999999,0.048394083999994564,368,16,40,640
24,0.33494052290916443,0.19349803030490875,0.27784958902994794,0.28149397786458336,0.6612086139568545,0.7398753856919178,0.0007224999999999999,0.04652504199999896,384,16,40,640
25,0.33505237102508545,0.1936582624912262,0.2775630900065104,0.281516845703125,0.6613163615616515,0.7396622028270509,0.0007224999999999999,0.04414529199999606,400,16,40,640
26,0.33504530787467957,0.19337913393974304,0.2773994140625,0.28121915690104166,0.6614607072163874,0.7400424483172631,0.0007224999999999999,0.05723154099999306,416,16,40,640
27,0.33886587619781494,0.19328543543815613,0.2773346761067708,0.2813548177083333,0.6616656000470109,0.7401559961278665,0.0007224999999999999,0.04574729199998728,432,16,40,640
28,0.333949476480484,0.19350740313529968,0.2772404378255208,0.2814010416666667,0.661708296436408,0.7398706476863137,0.0007224999999999999,0.049323041999997486,448,16,40,640
29,0.3335922360420227,0.1931849718093872,0.2768545735677083,0.2809329833984375,0.6619494151294756,0.7403027373650142,0.0007224999999999999,0.04849216700000625,464,16,40,640
30,0.33380329608917236,0.193340003490448,0.27697979736328127,0.2813774007161458,0.6619597313469765,0.7400911429644539,0.000614125,0.04831141699999364,480,16,40,640
31,0.33405303955078125,0.19327446818351746,0.2769067789713542,0.28116536458333335,0.6620634500635292,0.7401786180505773,0.000614125,0.049322375000002694,496,16,40,640
32,0.33357319235801697,0.1933688223361969,0.2768386027018229,0.28127154541015625,0.6622264747733708,0.7400670969013303,0.000614125,0.05253745900000695,512,16,40,640
33,0.33466771245002747,0.1936211735010147,0.2769206949869792,0.28180291748046876,0.6621404656060592,0.739703612448284,0.000614125,0.04907470800000624,528,16,40,640
34,0.336288183927536,0.19318771362304688,0.27686885579427084,0.2810299275716146,0.6622326796987712,0.7403066263638337,0.000614125,0.04973700000000747,544,16,40,640
35,0.33450478315353394,0.19326674938201904,0.2764591267903646,0.2811443074544271,0.6623499773735032,0.7402038143809573,0.000614125,0.04874066600000049,560,16,40,640
