fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
1,X0,X1,input,False,False,-0.010107264314918273,-0.01034669130181659,0.0,0.0,0.010107264314918273,0.042,0.058716579645442246,False,False,False,False,False,True,True,aligned_observable_state,-0.02345371397284403,-0.02400929972712223,-0.013346449657925755,0.0365,0.13923199690622226,False,False,False,True
1,X0,X2,input,True,True,-1.6873882877487234,-0.925347232311289,-1.651882788014091,-0.9058763635433745,0.03550549973463246,0.6615,0.0,True,True,True,True,True,True,True,aligned_observable_state,-1.702068878673999,-0.9333979247808464,-0.014680590925275627,0.6665,0.0,True,True,True,True
1,X0,X3,output,True,True,-0.6087826203678204,-0.406084062491526,-0.5913612043157501,-0.394463232382241,0.01742141605207026,0.216,2.919865659459498e-41,True,True,True,True,True,True,True,aligned_observable_state,-0.6095654292455632,-0.4066062295156703,-0.0007828088777428466,0.3015,1.327592564788108e-80,True,True,True,True
1,X0,X4,output,False,True,-1.7481292280885823,-0.8568270878136953,-1.7164257148650952,-0.8412879454709721,0.03170351322348708,0.584,3.03064027e-316,True,True,True,True,True,False,True,aligned_observable_state,-1.7761336118695485,-0.8705531409083505,-0.028004383780966258,0.754,0.0,True,True,True,True
1,X0,X5,output,False,True,1.781636995061437,0.6373108738781059,1.7207035060686877,0.6155143040796258,-0.06093348899274931,0.392,1.65526913634449e-137,True,True,True,False,False,True,False,aligned_observable_state,1.7722818097579043,0.6339644226438687,-0.009355185303532743,0.425,2.258894188426711e-162,True,True,True,True
1,X1,X0,input,False,False,0.003504101070549418,0.0035139053105234584,0.0,0.0,-0.003504101070549418,0.0235,0.6388604192561329,False,False,False,False,False,True,True,aligned_observable_state,0.004825257748341482,0.004838758496164924,0.0013211566777920642,0.03,0.329168071759936,False,False,False,True
1,X1,X2,input,True,True,0.7480120207422631,0.4102024757164262,0.7504297694935536,0.4115283454831386,0.002417748751290416,0.222,1.3986935320229229e-43,True,True,True,True,True,True,True,aligned_observable_state,0.7501799470531599,0.4113913453003912,0.002167926310896795,0.2165,1.8817712100421262e-41,True,True,True,True
1,X1,X3,output,False,True,0.7641588082559243,0.5097266296100256,0.6893632001801768,0.4598347579176762,-0.07479560807574748,0.2585,4.079879742211422e-59,True,True,True,False,True,True,True,aligned_observable_state,0.7378534945777289,0.4921798595706617,-0.02630531367819544,0.392,1.65526913634449e-137,True,True,True,True
1,X1,X4,output,True,True,-0.34147168432049385,-0.16736874147861358,-0.2639142741490448,-0.12935479558272833,0.07755741017144907,0.105,5.123530116436522e-10,True,True,True,False,False,False,False,aligned_observable_state,-0.241994575777284,-0.11861108681117138,0.09947710854320985,0.0895,2.1669194503964967e-07,True,True,True,True
1,X1,X5,output,True,True,-2.215903811388206,-0.7926528234316019,-2.2263745552989307,-0.7963983220771708,-0.010470743910724778,0.512,3.1964548395118903e-239,True,True,True,True,True,True,True,aligned_observable_state,-2.2495453274470227,-0.8046867585471498,-0.03364151605881682,0.586,1.42685e-318,True,True,True,True
1,X2,X0,input,False,False,-0.03784154509216956,-0.03794742319945085,0.0,0.0,0.03784154509216956,0.03,0.329168071759936,False,False,False,False,False,True,True,aligned_observable_state,-0.023503507899881232,-0.023569269139937607,0.014338037192288329,0.0145,0.9845773879670964,False,False,False,True
1,X2,X1,input,False,False,0.0456760725289507,0.04675807494604531,0.0,0.0,-0.0456760725289507,0.026,0.5085995252205004,False,False,False,False,False,True,True,aligned_observable_state,0.07457494598749873,0.07634152238834908,0.028898873458548024,0.0385,0.10315937616578036,True,False,False,True
1,X2,X3,output,True,True,2.180660452872181,1.4545938500706819,2.199030877212044,1.4668477093236243,0.0183704243398628,0.742,0.0,True,True,True,True,True,True,True,aligned_observable_state,2.149835672520121,1.4340324023355104,-0.030824780352060266,0.894,0.0,True,True,True,True
1,X2,X4,output,True,True,2.450184227121868,1.2009319346644427,2.504475068832916,1.2275420176324476,0.05429084171104792,0.7515,0.0,True,True,True,False,False,False,False,aligned_observable_state,2.473775743952925,1.2124950676060298,0.023591516831056758,0.9065,0.0,True,True,True,True
1,X2,X5,output,True,True,-2.5722876441596414,-0.9201351851748594,-2.4833111520078415,-0.8883073290374667,0.08897649215179992,0.717,0.0,True,True,True,False,False,False,False,aligned_observable_state,-2.611318134244198,-0.9340968147394844,-0.03903049008455639,0.841,0.0,True,True,True,True
1,X3,X0,input,False,False,-0.08956885069535475,-0.0898194583372966,0.0,0.0,0.08956885069535475,0.044,0.041621298682206154,True,True,True,False,False,True,False,aligned_observable_state,-0.09237228217003643,-0.09263073362537726,-0.002803431474681678,0.044,0.041621298682206154,True,True,True,True
1,X3,X1,input,False,False,0.045516321059883735,0.04659453918760987,0.0,0.0,-0.045516321059883735,0.019,0.8633028038475316,False,False,False,False,False,True,True,aligned_observable_state,0.037145749419792824,0.038025680386526706,-0.008370571640090911,0.02,0.8187536311788122,False,False,False,True
1,X3,X2,input,False,False,0.15308304160818098,0.08394924268137308,0.0,0.0,-0.15308304160818098,0.044,0.041621298682206154,True,True,True,False,False,True,False,aligned_observable_state,0.15312672645036413,0.08397319902153594,4.3684842183144834e-05,0.044,0.041621298682206154,True,True,True,True
1,X3,X4,output,False,False,0.13109907085182704,0.06425682569009723,0.0,0.0,-0.13109907085182704,0.028,0.4132324404768168,True,False,False,False,False,True,True,aligned_observable_state,0.12557903608391294,0.06155123891834942,-0.0055200347679141,0.0385,0.10315937616578036,True,False,False,True
1,X3,X5,output,False,False,-0.25608477226163273,-0.0916043001179985,0.0,0.0,0.25608477226163273,0.0495,0.014874156977024162,True,True,True,False,False,True,False,aligned_observable_state,-0.21755283660734687,-0.07782100887959387,0.038531935654285865,0.044,0.041621298682206154,True,True,True,True
1,X4,X0,input,False,False,0.009789765877873672,0.0098171569867555,0.0,0.0,-0.009789765877873672,0.0285,0.3910873897562125,False,False,False,False,False,True,True,aligned_observable_state,0.008825423403900972,0.008850116347164391,-0.0009643424739726996,0.0275,0.43609338214006377,False,False,False,True
1,X4,X1,input,False,False,-0.006771419737027738,-0.006931825221058404,0.0,0.0,0.006771419737027738,0.021,0.770029236885313,False,False,False,False,False,True,True,aligned_observable_state,-0.010155841332814185,-0.01039641904147706,-0.0033844215957864465,0.023,0.6655293215356356,False,False,False,True
1,X4,X2,input,False,False,0.05648709711585898,0.030976971546481952,0.0,0.0,-0.05648709711585898,0.0375,0.12008880119724025,True,False,False,False,False,True,True,aligned_observable_state,0.05667365195840789,0.03107927639740469,0.00018655484254891108,0.0385,0.10315937616578036,True,False,False,True
1,X4,X3,output,False,False,0.026656545480287737,0.017781056683394043,0.0,0.0,-0.026656545480287737,0.026,0.5085995252205004,False,False,False,False,False,True,True,aligned_observable_state,0.058266034497422715,0.038865938682167256,0.03160948901713498,0.0405,0.07520916582595748,True,False,False,True
1,X4,X5,output,False,False,0.000921059237709812,0.00032947287764312536,0.0,0.0,-0.000921059237709812,0.0175,0.9194667579636621,False,False,False,False,False,True,True,aligned_observable_state,-0.05122121281283516,-0.018322383285332904,-0.052142272050544974,0.029,0.36968362182350656,True,False,False,True
1,X5,X0,input,False,False,0.049818510024645,0.04995789887719148,0.0,0.0,-0.049818510024645,0.0275,0.43609338214006377,False,False,False,False,False,True,True,aligned_observable_state,0.0476225166460836,0.047755761256317614,-0.0021959933785613978,0.026,0.5085995252205004,False,False,False,True
1,X5,X1,input,False,False,0.06702797786720696,0.06861577712510755,0.0,0.0,-0.06702797786720696,0.04,0.08151459289877339,True,False,False,False,False,True,True,aligned_observable_state,0.061772330624552826,0.06323563093354874,-0.005255647242654135,0.039,0.0954673206906231,True,False,False,True
1,X5,X2,input,False,False,-0.03318023247292413,-0.01819571494550853,0.0,0.0,0.03318023247292413,0.0245,0.5858212770267918,False,False,False,False,False,True,True,aligned_observable_state,-0.03244997225781073,-0.017795247386364933,0.0007302602151133958,0.0255,0.5339072834011876,False,False,False,True
1,X5,X3,output,False,False,0.0035751841822814013,0.002384800860476433,0.0,0.0,-0.0035751841822814013,0.022,0.7185142568618185,False,False,False,False,False,True,True,aligned_observable_state,0.009733904777869753,0.006492931078937161,0.0061587205955883515,0.029,0.36968362182350656,False,False,False,True
1,X5,X4,output,False,False,-0.12787161537869,-0.06267492245911009,0.0,0.0,0.12787161537869,0.033,0.22624166055654427,True,False,False,False,False,True,True,aligned_observable_state,-0.09754234754368059,-0.04780935198695055,0.030329267835009402,0.043,0.04953464037142928,True,True,True,False
