epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.4031980037689209,0.3242589831352234,0.0008,16,60,960
2,0.27298662066459656,0.23645399510860443,0.0008,16,60,960
3,0.2661013603210449,0.23456735908985138,0.0008,16,60,960
4,0.26341909170150757,0.23534303903579712,0.0008,16,60,960
5,0.26283687353134155,0.23185326159000397,0.0008,16,60,960
6,0.2639482915401459,0.23281215131282806,0.0008,16,60,960
7,0.2619929909706116,0.23286347091197968,0.0008,16,60,960
8,0.257899671792984,0.23269709944725037,0.0008,16,60,960
9,0.2588080167770386,0.23320472240447998,0.0008,16,60,960
10,0.2605905532836914,0.23256057500839233,0.0008,16,60,960
11,0.258396714925766,0.23153188824653625,0.0008,16,60,960
12,0.25951942801475525,0.23330406844615936,0.00068,16,60,960
13,0.25640302896499634,0.23207403719425201,0.00068,16,60,960
14,0.2568066120147705,0.23228809237480164,0.00068,16,60,960
15,0.25831401348114014,0.23220454156398773,0.00068,16,60,960
16,0.2578798830509186,0.23161441087722778,0.00068,16,60,960
17,0.25747838616371155,0.231673002243042,0.00068,16,60,960
18,0.2566940486431122,0.2324475646018982,0.00068,16,60,960
19,0.25581327080726624,0.23179763555526733,0.00068,16,60,960
20,0.2562911808490753,0.23165565729141235,0.00068,16,60,960
21,0.2565922439098358,0.23320823907852173,0.00068,16,60,960
22,0.2553395628929138,0.23161906003952026,0.00068,16,60,960
