input_0,input_1,input_2,input_3,input_4,input_5,input_6,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-1.3936986,-0.38635683,-1.7116271,-1.0389303,1.1213409,1.2696028,-0.4154184,0.0,0.36380643,0.0,0.0,0.081017196,0.6351273,0.0,0.08413693,1.3473405,0.0,0.0,0.0,0.0,1.4994996,0.3591591,0.0,0.0,0.12728378,0.94264495,0.0,0.0,0.18367237,0.0,0.85730785,1.9924595,0.5193876,0.0,0.0,0.0,0.46107873,0.0,0.0,0.40301338,0.6946089,0.19856314,0.15012708,0.90932393,0.6966406,0.0,0.41160235,0.20517045,0.48989028,0.49399614,0.59451115,0.59551823,0.0,0.0,0.9444526,0.06908551,0.6218426,1.168912,0.519196,0.0,0.7192681,0.023427352,0.68886715,0.887672,0.14938077,0.069962114,0.0,0.25557432,0.0,0.9906354,0.38538632,0.6284372,1.15958,0.39780304
0.64300793,0.55943084,1.2219833,-0.56353086,-1.3450541,-0.4596998,0.8380239,0.9042967,0.1645929,0.021715611,0.3510973,0.0,0.0,0.0,0.0,0.0027543008,0.4745623,0.5584936,0.18171403,0.7111964,0.0,0.0,1.4568272,0.4362048,0.0,0.0,0.3239722,0.9650073,0.0,0.0,0.0,0.0,0.0,0.0,0.12694906,0.2598529,0.14262348,0.4386162,0.25404727,0.60608876,0.13725054,0.9207515,0.4348202,0.0,0.11562263,0.5535953,0.65612894,0.27757668,0.0,0.52793324,0.009027779,0.34350783,0.13457814,0.0,0.0,0.5190408,0.22986484,0.0,0.15198146,0.5421419,0.18040136,0.76467437,0.0,0.0,0.5284955,0.61097336,0.0,0.2593069,0.0,0.0,0.54790217,-0.45908138,-0.78176177,-0.040383372
-0.70878005,-0.17454146,-1.7384173,-0.5543711,0.6159317,0.91874814,0.584476,0.0,0.66143453,0.0,0.0,0.0,0.90903383,0.034258895,0.0,1.1754942,0.0,0.0,0.0,0.0,0.88431555,0.35922134,0.0,0.0,0.16643453,0.73446894,0.0,0.0,0.34040672,0.0,0.43930012,1.1290851,0.17842291,0.0,0.18597057,0.14975803,0.11688019,0.0,0.0,0.1888121,0.47409818,0.1448799,0.20331152,0.842381,0.5424684,0.052437924,0.6364584,0.062170982,0.5359467,0.5538624,0.6117058,0.432305,0.0,0.16689685,0.78004414,0.05815064,0.33908942,0.9726645,0.19843066,0.0,0.7292409,0.0,0.50352573,0.6078818,0.2162475,0.19707015,0.0,0.14613207,0.0065186135,0.7434065,0.054782357,0.4136865,0.9855817,0.024467465
1.2253602,0.80139464,1.9959517,0.819819,-1.2105554,-1.1346227,1.2622203,1.7166197,0.0,0.19638836,0.7793821,0.0,0.0,0.0,0.0,0.0,1.131781,1.4448552,0.0,1.241479,0.0,0.36066705,2.3427544,0.70108545,0.0,0.0,0.02655989,1.4265686,0.0,0.0,0.0,0.0,0.0,0.0,0.7283685,0.0,0.0,0.5985812,0.82900846,0.906332,0.0,1.4336787,0.8274408,0.0,0.2519683,0.9818981,1.3072819,0.50292903,0.0,0.8834641,0.09425109,0.17809585,0.31917202,0.04655799,0.0,0.9892573,0.2739401,0.0,0.2698228,0.6654729,0.0,1.2341821,0.0,0.0,0.5257869,1.2301579,0.0,0.3387834,0.039040186,0.0,0.64629763,-0.48863757,-1.3347983,-0.40705654
0.19043005,1.6624984,1.2494998,-1.7579882,0.74145883,1.6995395,-0.63653374,0.0,0.07159157,0.4617949,0.0,0.0,0.0,0.8157406,0.0,1.0341277,0.0,0.0,0.103260875,0.0,1.025073,0.0,0.11876831,0.0,0.0,0.25843555,0.9718106,0.43120143,0.42812455,1.0906359,0.64472383,1.0052853,0.67605114,0.0,0.35833967,0.0,1.0165195,0.6185424,0.08424258,0.54298615,0.7834494,0.38736624,0.23816088,0.41141433,0.25224555,0.09032331,0.3428526,0.27710447,0.37200138,0.3738376,0.14270145,1.1073474,0.0,0.0,0.24674006,0.21254972,0.6253127,0.62709016,0.5012969,0.25358495,0.5504481,0.35868096,0.810516,0.65114063,0.5590426,0.14651108,0.0,0.0,0.044203177,1.0733957,0.773438,0.111088045,0.59330904,0.72860825
-1.0544391,-0.8632236,0.25525,0.35279965,0.4762848,-1.8082374,0.22551541,0.01756519,0.0,0.44759262,0.94187045,0.74549514,0.0,0.0,0.7206288,0.02622497,0.3415714,0.09679043,0.32320136,0.0,0.0,0.95147777,0.38165814,0.32318872,0.6302876,0.81359404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053987,0.27904272,0.9334533,0.0,0.912967,0.7380482,0.0,0.58852535,0.22313333,0.55461884,0.19530612,0.0,0.13399927,0.040220663,0.25116473,0.0,0.5889893,0.29547474,0.94461846,0.013724845,0.80751073,0.0,0.241658,0.0,0.0,0.0,0.047395274,0.21350372,0.90182024,0.026995234,0.0,0.06484092,0.0,0.0,0.4838123,-0.72656953,-0.1568968
0.9435315,0.4375623,-0.16667786,-0.27728045,0.50295126,1.7452451,-1.194197,0.0,0.35104382,0.0,0.0,0.0,0.7924632,1.0639379,0.0,0.62279695,0.027048394,0.0,0.0,0.0,0.7026798,0.0,0.0,0.0,0.0,0.010975003,0.049208194,0.0,1.2406706,0.31872866,0.35791075,1.0083313,0.2952323,0.0,0.8068218,0.38206166,1.0448287,0.0,0.0,0.34227994,0.6246046,0.0,0.0,0.9169524,0.2863326,0.47122443,0.64958835,0.0,0.64645267,0.6059617,0.41258878,1.0212177,0.0,0.0,0.5963016,0.0,0.40204147,0.81435126,0.0,0.19250156,1.042941,0.28734756,0.4081416,0.82012177,0.6758435,0.0,0.10393417,0.029898524,0.30228934,1.0246253,0.560145,-0.11587064,1.1371859,0.40354463
0.6976435,-0.60224104,-0.8131786,-0.53106606,-1.607678,-1.2160589,-1.1987276,0.0,0.11486916,0.0,0.0,0.0,0.12615764,0.0,0.0,0.0,0.631545,0.0,0.64307123,0.46874535,0.0,0.0,0.3922331,0.14718814,0.0,0.0,0.0,0.50454044,0.0,0.0,0.012441866,0.0,0.0,0.0,0.0,0.40210837,1.0550473,0.0,0.0,0.43667468,0.36314517,0.46022308,0.22078043,0.21691345,0.0,0.33921987,0.33244774,0.095275134,0.0005970597,0.17310275,0.13409042,0.72615445,0.0,0.0,0.0,0.17194366,0.36555982,0.09407684,0.09100201,0.72677857,0.42416918,0.5944133,0.0,0.0,0.62236446,0.22318098,0.03431262,0.0,0.0,0.3039997,0.55060863,-0.4952631,-0.2720908,0.3664135
1.1265066,0.2694801,0.1775059,-0.28317058,-1.227018,-1.7190446,1.7831719,0.88022023,0.51549757,0.0,0.38111117,0.07241833,0.0,0.0,0.0,0.0,0.6662645,0.93617374,0.0,1.4330312,0.0,0.047548264,1.6239929,0.4679488,0.0,0.05164537,0.0,0.5331329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43533802,0.106403366,0.18632594,0.2686547,0.53333086,0.11149293,0.96647054,0.4802633,0.0,0.011484519,0.72534704,0.9540341,0.17023693,0.0,0.5521269,0.24429992,0.17817968,0.0,0.0,0.049242996,0.47943926,0.24271804,0.0,0.046129487,0.46918756,0.13283983,0.6995421,0.0,0.0,0.568005,0.7017507,0.0,0.058036767,0.13459428,0.0,0.41418517,-0.56430227,-0.691585,-0.3056694
1.7004529,0.98792404,-0.8207124,-0.096335076,0.15706271,-0.32907656,0.7964647,0.0,0.76624215,0.0,0.0,0.0,0.4757525,0.7545144,0.0,0.13773401,0.3443066,0.0,0.0,1.188031,0.0,0.0,0.67592037,0.0,0.020827457,0.31858,0.0,0.0,0.65357405,0.006893277,0.0,0.0,0.0,0.13343766,0.56865686,0.62417483,0.68727124,0.0,0.0,0.21859404,0.32914716,0.4745607,0.051763944,0.41100287,0.0018710047,0.69487345,0.79616,0.0,0.22928126,0.5618672,0.34085122,0.6416756,0.0,0.0,0.2418209,0.07222314,0.17017297,0.12989897,0.0,0.42310494,0.6709554,0.44220406,0.0,0.09643193,0.7308722,0.20182282,0.0,0.0,0.3563421,0.14276202,0.3776707,-0.67637885,0.11472516,-0.07072924
