fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
1,X0,X1,input,False,False,0.01182329570223784,0.012026419596260546,0.0,0.0,-0.01182329570223784,0.0205,0.7948265413398378,False,False,False,False,False,True,True,aligned_sem,0.01142252870338586,0.011618767431423316,-0.0004007669988519806,0.0205,0.7948265413398378,False,False,False,True
1,X0,X2,input,False,False,-0.019730773726199132,-0.019679042545516525,0.0,0.0,0.019730773726199132,0.028,0.4132324404768168,False,False,False,False,False,True,True,aligned_sem,-0.01978182457111492,-0.01972995954264109,-5.105084491578704e-05,0.0275,0.43609338214006377,False,False,False,True
1,X0,X3,input,False,False,-0.003725122461603912,-0.0037218981621231226,0.0,0.0,0.003725122461603912,0.0155,0.9699601425241099,False,False,False,False,False,True,True,aligned_sem,-0.003960852126780441,-0.00395742379023916,-0.00023572966517652894,0.0155,0.9699601425241099,False,False,False,True
1,X0,X4,input,True,True,-1.0450004498976964,-0.8724231108044171,-1.0590224082645006,-0.8841294029300665,-0.0140219583668042,0.406,8.853572933955588e-148,True,True,True,True,True,True,True,aligned_sem,-1.0450461596962757,-0.8724612718259505,-4.570979857931867e-05,0.407,1.5772186493078102e-148,True,True,True,True
1,X0,X5,input,False,True,-0.3744363800840204,-0.3204016985757354,-0.44612570908312,-0.3817455850215773,-0.07168932899909958,0.132,1.3374974970887881e-15,True,True,True,False,False,True,False,aligned_sem,-0.3745074281140755,-0.3204624937086896,-7.104803005508753e-05,0.1325,1.0251194944574553e-15,True,True,True,True
1,X0,X6,input,False,True,0.12104886023374961,0.10646859131884831,0.1196283437592737,0.1052191752756851,-0.0014205164744759136,0.056,0.0037704349657562016,True,True,True,False,False,True,False,aligned_sem,0.12119313648685777,0.10659548957629182,0.00014427625310815817,0.056,0.0037704349657562016,True,True,True,True
1,X0,X7,output,True,True,-0.8178678793557145,-0.7207948180446686,-0.8315152250200292,-0.7328223548671828,-0.013647345664314692,0.3185,4.560073058520076e-90,True,True,True,True,True,True,True,aligned_sem,-0.7102783630370266,-0.6259751438699921,0.10758951631868785,0.3845,3.595988102639773e-132,True,True,True,True
1,X0,X8,output,False,True,-0.1406801921479686,-0.11045044081700243,-0.22353702679918416,-0.17550276817167748,-0.08285683465121557,0.063,0.0007115078950895565,True,True,True,False,False,True,False,aligned_sem,-0.29469039200187325,-0.2313665001744323,-0.15401019985390466,0.101,2.6770347282567847e-09,True,True,True,True
1,X0,X9,output,False,True,-0.055556615689488414,-0.04960073848555569,-0.04422495028102885,-0.039483870034240635,0.011331665408459562,0.034,0.1979604458696868,True,False,False,False,False,True,True,aligned_sem,-0.025838011513403453,-0.023068079942558196,0.029718604176084962,0.04,0.08151459289877339,False,False,False,True
1,X1,X0,input,False,False,0.013249068400535462,0.013220241794205799,0.0,0.0,-0.013249068400535462,0.0285,0.3910873897562125,False,False,False,False,False,True,True,aligned_sem,0.013191651118856115,0.013162949437941995,-5.741728167934709e-05,0.0285,0.3910873897562125,False,False,False,True
1,X1,X2,input,False,False,-0.007867039380300176,-0.007846413162531578,0.0,0.0,0.007867039380300176,0.026,0.5085995252205004,False,False,False,False,False,True,True,aligned_sem,-0.007784115829576343,-0.007763707025136025,8.292355072383323e-05,0.0265,0.48382276598146434,False,False,False,True
1,X1,X3,input,False,False,-0.02700404929064968,-0.026980675792729947,0.0,0.0,0.02700404929064968,0.02,0.8187536311788122,False,False,False,False,False,True,True,aligned_sem,-0.027311235532896543,-0.027287596148297486,-0.0003071862422468624,0.0205,0.7948265413398378,False,False,False,True
