epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.8148834109306335,0.776961088180542,0.0008,16,60,960
2,0.7501020431518555,0.7119132876396179,0.0008,16,60,960
3,0.7447171807289124,0.7091020345687866,0.0008,16,60,960
4,0.7435386180877686,0.7078614234924316,0.0008,16,60,960
5,0.7425541281700134,0.7073242664337158,0.0008,16,60,960
6,0.7368885278701782,0.705980658531189,0.0008,16,60,960
7,0.7371370792388916,0.7063745260238647,0.0008,16,60,960
8,0.7356601357460022,0.7052037715911865,0.0008,16,60,960
9,0.7348455786705017,0.7088286280632019,0.0008,16,60,960
10,0.7290537357330322,0.7080074548721313,0.0008,16,60,960
11,0.7328131794929504,0.7086164951324463,0.0008,16,60,960
12,0.7326569557189941,0.7076784372329712,0.00068,16,60,960
13,0.7316248416900635,0.7074758410453796,0.00068,16,60,960
14,0.7306473851203918,0.7051063776016235,0.00068,16,60,960
15,0.7307420969009399,0.706966757774353,0.00068,16,60,960
16,0.7301297783851624,0.7067070603370667,0.00068,16,60,960
17,0.7289652228355408,0.7069206237792969,0.00068,16,60,960
18,0.7294795513153076,0.7072979807853699,0.00068,16,60,960
19,0.725733757019043,0.7071511149406433,0.00068,16,60,960
20,0.7295140624046326,0.706657886505127,0.00068,16,60,960
21,0.7272588014602661,0.7059307098388672,0.00068,16,60,960
22,0.724638819694519,0.7074911594390869,0.00068,16,60,960
