fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
4,X0,X1,input,False,False,-0.06513756497374473,-0.06526760460379133,0.0,0.0,0.06513756497374473,0.047,0.024104011547371428,True,True,True,False,False,True,False,aligned_sem,-0.11746809851213381,-0.11770261001220221,-0.05233053353838908,0.058,0.0023888444655152173,True,True,True,True
4,X0,X2,input,False,False,-0.043360426962318094,-0.04391029178133574,0.0,0.0,0.043360426962318094,0.0265,0.48382276598146434,False,False,False,False,False,True,True,aligned_sem,-0.04480017482195534,-0.04536829745695249,-0.0014397478596372484,0.038,0.11135887905231429,False,False,False,True
4,X0,X3,input,False,False,-0.03874813967206116,-0.039065184769764394,0.0,0.0,0.03874813967206116,0.0365,0.13923199690622226,False,False,False,False,False,True,True,aligned_sem,-0.0030797823798214344,-0.0031049817807160076,0.03566835729223972,0.032,0.2574754523872385,False,False,False,True
4,X0,X4,input,False,False,0.005366879162492504,0.005291676679109371,0.0,0.0,-0.005366879162492504,0.0255,0.5339072834011876,False,False,False,False,False,True,True,aligned_sem,0.08370072088654243,0.0825278787410332,0.07833384172404992,0.0585,0.002125924882003714,True,True,True,False
4,X0,X5,input,False,False,-0.03441154439188578,-0.0349083663991569,0.0,0.0,0.03441154439188578,0.0265,0.48382276598146434,False,False,False,False,False,True,True,aligned_sem,-0.00794648941541542,-0.008061218088362057,0.026465054976470365,0.0225,0.6921279615281888,False,False,False,True
4,X0,X6,input,True,True,-1.0664625794448397,-0.8848546140767634,-1.0517972375197753,-0.8726866339530146,0.014665341925064412,0.4035,6.472806394725572e-146,True,True,True,False,False,False,False,aligned_sem,-1.1159951450375973,-0.9259522766263741,-0.04953256559275765,0.434,1.4968306964652346e-169,True,True,True,True
4,X0,X7,input,False,True,-0.4172105062048418,-0.36243437794033584,-0.4179085902256631,-0.36304080957154755,-0.0006980840208213324,0.154,4.212888961576606e-21,True,True,True,False,False,True,False,aligned_sem,-0.4320575725309381,-0.3753321529678315,-0.014847066326096336,0.16,9.438974585948395e-23,True,True,True,True
4,X0,X8,input,False,True,0.22328415466272045,0.18787321252266972,0.16782183688978558,0.14120674024346083,-0.055462317772934866,0.0825,2.4207757651980217e-06,True,True,True,False,False,True,False,aligned_sem,0.20056171218712496,0.16875435354810392,-0.02272244247559549,0.069,0.00014568888039759222,True,True,True,True
4,X0,X9,input,False,True,0.13160248804951713,0.11704374761166098,0.05076183902414014,0.04514622757595366,-0.08084064902537699,0.062,0.0009138350512829448,True,True,True,False,False,True,False,aligned_sem,0.07623248702318094,0.06779914349030539,-0.055370001026336185,0.0475,0.021929482356286622,True,True,True,True
4,X0,X10,input,False,True,-0.014756790057920119,-0.013455789521840667,-0.02240317685340998,-0.020428049133779252,-0.0076463867954898596,0.0205,0.7948265413398378,False,False,False,False,False,True,True,aligned_sem,-0.025531630422948096,-0.023280689348577372,-0.010774840365027977,0.026,0.5085995252205004,False,False,False,True
