=== [Train] Fold 4 (4/5) ===
Step: set random seed (5)
Step: build datasets
Step: initialize model
Step: training setup (model=ShallowMLP, profile=shallow, control_mode=epochs, epochs=40, target_updates=None)
Step: training
TrnLoss=0.992 ValLoss=0.995 ValR2=0.023
TrnLoss=0.952 ValLoss=0.954 ValR2=0.064
TrnLoss=0.903 ValLoss=0.900 ValR2=0.116
TrnLoss=0.848 ValLoss=0.850 ValR2=0.166
TrnLoss=0.802 ValLoss=0.823 ValR2=0.192
TrnLoss=0.781 ValLoss=0.814 ValR2=0.201
TrnLoss=0.775 ValLoss=0.810 ValR2=0.205
TrnLoss=0.771 ValLoss=0.808 ValR2=0.207
TrnLoss=0.770 ValLoss=0.807 ValR2=0.208
TrnLoss=0.766 ValLoss=0.805 ValR2=0.210
TrnLoss=0.766 ValLoss=0.804 ValR2=0.211
TrnLoss=0.765 ValLoss=0.803 ValR2=0.212
TrnLoss=0.765 ValLoss=0.803 ValR2=0.212
TrnLoss=0.763 ValLoss=0.801 ValR2=0.213
TrnLoss=0.763 ValLoss=0.802 ValR2=0.213
TrnLoss=0.764 ValLoss=0.801 ValR2=0.214
TrnLoss=0.761 ValLoss=0.800 ValR2=0.215
TrnLoss=0.761 ValLoss=0.800 ValR2=0.215
TrnLoss=0.761 ValLoss=0.800 ValR2=0.215
TrnLoss=0.761 ValLoss=0.800 ValR2=0.215
TrnLoss=0.760 ValLoss=0.799 ValR2=0.216
TrnLoss=0.759 ValLoss=0.799 ValR2=0.216
TrnLoss=0.759 ValLoss=0.799 ValR2=0.216
TrnLoss=0.759 ValLoss=0.799 ValR2=0.216
TrnLoss=0.758 ValLoss=0.798 ValR2=0.217
TrnLoss=0.758 ValLoss=0.798 ValR2=0.217
TrnLoss=0.759 ValLoss=0.798 ValR2=0.216
TrnLoss=0.758 ValLoss=0.798 ValR2=0.217
TrnLoss=0.758 ValLoss=0.798 ValR2=0.217
TrnLoss=0.758 ValLoss=0.798 ValR2=0.217
TrnLoss=0.757 ValLoss=0.798 ValR2=0.217
TrnLoss=0.756 ValLoss=0.798 ValR2=0.217
TrnLoss=0.757 ValLoss=0.797 ValR2=0.217
TrnLoss=0.756 ValLoss=0.798 ValR2=0.217
TrnLoss=0.756 ValLoss=0.797 ValR2=0.217
TrnLoss=0.755 ValLoss=0.797 ValR2=0.218
TrnLoss=0.755 ValLoss=0.797 ValR2=0.218
TrnLoss=0.755 ValLoss=0.797 ValR2=0.218
TrnLoss=0.754 ValLoss=0.797 ValR2=0.218
TrnLoss=0.755 ValLoss=0.797 ValR2=0.218
100%|#############| 40/40 [00:19<00:00,  2.01ep/s]
Step: evaluate test split
