epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,epoch_seconds,cumulative_updates,batches_per_epoch,effective_epochs,effective_updates
1,0.9803369045257568,0.9512310028076172,0.7908385416666667,0.78005615234375,0.018477137595378057,0.04387123966541662,0.001,17.93425304200001,16,16,40,640
2,0.9289963245391846,0.8998907208442688,0.769690185546875,0.757372314453125,0.06945047410642025,0.09539519495896209,0.001,0.05649920900000893,32,16,40,640
3,0.8750140070915222,0.8478811979293823,0.745981201171875,0.7330314127604166,0.12370961842454153,0.14762681607253247,0.001,0.05147850000000176,48,16,40,640
4,0.8279874324798584,0.8091529607772827,0.724853271484375,0.715167724609375,0.17128701516943445,0.18653854846440765,0.001,0.0473479999999995,64,16,40,640
5,0.7962114810943604,0.7890440225601196,0.7115537109375,0.7060504557291667,0.2017369820151137,0.20673881209539346,0.001,0.04728658299998756,80,16,40,640
6,0.7841356992721558,0.7795550227165222,0.7052076822916666,0.7025880533854166,0.2171449077123947,0.21635636648592593,0.001,0.047514542000016036,96,16,40,640
7,0.7768019437789917,0.7750982046127319,0.702155029296875,0.700235107421875,0.22429038480743424,0.22080109619525556,0.001,0.04961954199998786,112,16,40,640
8,0.7732076644897461,0.7751073241233826,0.700521728515625,0.7001944986979166,0.22804876123205964,0.22084996272647672,0.001,0.04605666599999836,128,16,40,640
9,0.7705439925193787,0.7709436416625977,0.699671142578125,0.6987091471354167,0.23015829672331778,0.2250292768949933,0.001,0.04363637499997708,144,16,40,640
10,0.7680656909942627,0.771243691444397,0.69872900390625,0.6987137858072917,0.23217475921911568,0.2247126250413447,0.00085,0.045963999999997895,160,16,40,640
11,0.765626072883606,0.7700861096382141,0.6979454752604166,0.6982049153645833,0.23381314521113516,0.2259056057926777,0.00085,0.04737849999997934,176,16,40,640
12,0.7643924355506897,0.7712843418121338,0.6974842936197917,0.698572265625,0.23485119662406195,0.22471009182651558,0.00085,0.056381375000000844,192,16,40,640
13,0.7661675810813904,0.769187867641449,0.6969943033854167,0.6977350260416667,0.23553542539390637,0.22679468248111545,0.00085,0.04354945900001894,208,16,40,640
14,0.7621114253997803,0.7706078290939331,0.6968125,0.69812646484375,0.23638605420168268,0.22541171061759335,0.00085,0.04702879100000246,224,16,40,640
15,0.7629866003990173,0.7691855430603027,0.6962701822916667,0.6978771158854167,0.2373494707435374,0.22679925861112948,0.00085,0.04377354199999672,240,16,40,640
16,0.7615950703620911,0.7690995931625366,0.6960420735677083,0.6976261393229166,0.2379358061974126,0.22691897344096046,0.00085,0.05479358400000933,256,16,40,640
17,0.7617354989051819,0.7697083950042725,0.6956803385416667,0.698021484375,0.2385913233747462,0.226304301120149,0.00085,0.04620054099999038,272,16,40,640
18,0.7610675096511841,0.7690102458000183,0.695498291015625,0.6978076171875,0.23904843054736324,0.2269854090427711,0.00085,0.0464692919999834,288,16,40,640
19,0.7594476938247681,0.7701470851898193,0.6953966471354167,0.6979691569010417,0.2392219351316348,0.22586433890594415,0.00085,0.04409433300000387,304,16,40,640
20,0.7603710293769836,0.7693057060241699,0.694996337890625,0.69773193359375,0.24023294542465878,0.22670822631049348,0.0007224999999999999,0.04841225000001259,320,16,40,640
21,0.760123610496521,0.7691777944564819,0.694807861328125,0.6977190755208333,0.24076515631039397,0.22684052549786304,0.0007224999999999999,0.04815041699998801,336,16,40,640
22,0.7596798539161682,0.7695596218109131,0.6945977376302084,0.6978434244791667,0.24118555661417151,0.22645000183113106,0.0007224999999999999,0.05358270800002174,352,16,40,640
23,0.7584746479988098,0.7695546746253967,0.6943858235677083,0.6978004557291667,0.24167666546046285,0.22648195302462182,0.0007224999999999999,0.049646749999993744,368,16,40,640
24,0.7577521800994873,0.7689331769943237,0.6941027018229167,0.6974779459635416,0.2420032031951863,0.2270819980727099,0.0007224999999999999,0.04369204200000354,384,16,40,640
