input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
0.78503394,0.86307245,1.1845236,0.3476368,0.110926904,-1.8919972,-0.8331026,-0.5040126,-0.20404214,-0.23979566,1.6078839,0.021570563,0.4137577,1.3631434,0.8750268,0.086478725,0.0,0.11158177,0.0,0.0,0.0,0.0,0.5941221,0.56274486,0.0,0.0,0.23393303,0.0,0.0,0.39754725,0.22383183,0.77719426,0.70261955,0.0,0.0,0.0,0.0,0.66841,0.0,0.11298336,0.88397497,0.026863694,0.81708276,0.0,0.46089706,0.5312807,0.517653,0.0,0.20718727,0.2571671,0.0,0.629817,0.93527853,0.74098545,0.0,0.33547294,0.7015552,0.308892,0.0,0.14751555,0.28939003,0.2710899,0.39950505,0.62990135,0.0,0.019300595,0.0,0.21232083,0.0,0.0,0.19928244,0.19507095,0.25773093,0.25307474,0.0,0.43966147,0.068835735,-0.55056465
-1.4010262,1.900633,-0.13106076,-1.1402603,0.628623,0.8646727,1.997176,0.8597225,-0.08643743,0.32938743,-1.0882472,0.0,0.0,0.0,0.0,1.4631754,0.032013357,0.0,0.17625338,1.0490621,0.26380154,0.0,0.0,0.053612694,0.2839826,0.097014375,0.0,0.43035173,0.5394002,0.07208316,0.0,0.0,0.0,0.0,1.1217256,1.7930113,0.891181,0.0,0.10202062,0.51302,0.0,0.040735386,0.0,0.35376,0.0,0.122619286,0.0,0.18648127,0.13745262,0.89891934,0.9588405,0.2970325,0.0,0.0,0.15405329,0.27668202,0.27992177,0.0,0.6344411,0.2124271,0.13169898,1.0750133,0.18747577,0.28533956,0.07823427,0.4932645,0.12151959,0.7766161,0.58003813,0.084051676,0.0,0.6232985,0.1029948,0.52455735,0.22058026,-0.7683751,0.48752993,0.19545265
-0.08999524,0.5033006,-0.7848514,-0.7374271,0.29633838,0.55054003,-0.57702214,-2.061337,1.1763666,0.8827178,-0.78501844,0.0,0.61857665,0.010499954,0.32861954,0.15405518,0.47549036,0.4075893,0.0,0.16497469,0.0,0.0,0.0,0.0,0.3304121,0.0,0.0,0.0,0.28664115,0.0,0.0,0.0,0.45652166,0.0,0.0,0.6912552,0.31010303,0.0,1.2054667,0.0,0.0,0.0,0.40987512,0.24721485,0.38088882,0.085082695,0.02564536,0.0,0.35921526,0.43240452,0.3243814,0.3182619,0.49277472,0.35077763,0.27830574,0.072265424,0.43861356,0.41043133,0.0,0.0,0.2848751,0.42542768,0.4213054,0.31421036,0.2750629,0.079980426,0.0,0.3311869,0.2551552,0.17994851,0.16748448,0.0,0.37716126,0.045150533,0.18283823,0.14907974,-0.18155369,0.0199285
-0.7664629,0.36015806,0.39654964,1.0665568,0.85031176,-0.72970164,0.4638868,0.9891105,-0.75019336,-2.8790739,1.1376885,0.33604997,0.21315627,1.1798699,0.0,0.19821204,0.0,0.0,0.70034534,0.34661093,0.48995665,0.0,0.63958174,1.0701883,0.0,1.1687694,0.41135606,0.7628679,0.0,0.0,0.13038059,1.1439141,0.0,0.49881232,0.6894586,0.0,0.0,0.62330174,0.0,0.9064135,0.13048862,0.531292,0.7959887,0.0,0.017736647,0.16816308,0.0,0.0,0.27427638,0.21117271,0.8498976,0.8029821,0.5151066,0.14936669,0.056582056,0.34972122,0.2512111,0.18079677,0.72411096,0.0,0.5353663,0.25167888,0.5282211,0.7222134,0.0,0.0,0.0,0.77731705,0.44346333,0.0,0.0,0.5596474,0.2754002,0.3543211,0.46552315,-0.2965841,-0.021132559,0.0986373
0.7391834,-1.2838165,-0.2237985,0.15698735,-2.0701292,-1.3643622,-0.27159783,-1.4158471,-0.3329447,0.16277365,0.91974396,0.0,0.0,0.73606545,0.8846312,0.0,0.0,0.91800517,0.044630084,0.0,0.0,0.4728787,1.338202,0.71167755,0.0,0.0,0.6768251,0.12971972,0.10067033,0.028935969,0.97443426,0.40424758,0.67922986,0.03464684,0.0,0.0,0.0,0.6207283,0.2999517,0.0056967884,0.9384063,0.31859982,0.4842086,0.0,0.72154367,0.64979434,0.35922393,0.0,0.0,0.26276848,0.3349324,0.7908416,0.3726374,0.8731512,0.08844427,0.3863403,0.4205922,0.10866626,0.0,0.21159971,0.36399573,0.29128405,0.58655787,0.6372302,0.0,0.21439315,0.0,0.37425858,0.030978419,0.09214785,0.13687676,0.20245925,0.23596025,0.5205577,0.33607113,0.20204954,0.09816229,-0.43366227
-0.8455009,-0.28710046,0.15009105,0.7868047,-0.45260084,1.4237182,0.56204796,1.2349262,-0.8490084,-1.0234007,-0.45355472,0.0,0.0,0.17223449,0.0,0.2102231,0.0,0.47235635,0.24147283,0.6135033,0.4596338,0.0,0.10668305,0.23642373,0.5081033,0.70459193,0.002763424,0.9035298,0.39147818,0.0,0.0,0.45196724,0.0,0.6097282,1.0644119,0.43492624,0.23513022,0.0,0.0,0.8386979,0.0,0.30626503,0.0,0.08078654,0.0,0.0,0.0,0.0,0.1333939,0.3683648,0.90016365,0.32334155,0.107207395,0.014323726,0.0,0.24934743,0.0,0.0,0.65466166,0.0,0.20731115,0.55078626,0.5448174,0.17180055,0.0,0.051277623,0.0,0.29780957,0.55399644,0.0,0.0,0.33241633,0.006503701,0.2284419,0.51624334,-0.24627712,0.23010728,0.59342074
0.63457847,-0.4909612,0.57233423,-1.292003,-0.70918065,1.4034232,-1.2818137,-0.30889323,0.784811,2.0131352,-0.81776094,0.0,0.44440633,0.0,0.49123633,0.04543698,0.6683167,1.09639,0.0,0.298287,0.0,0.61329246,0.0,0.0,1.2848467,0.0,0.0,0.0,0.9198086,0.0,0.0,0.0,0.27860188,0.0,0.0,0.0,0.37490547,0.0,1.9000459,0.0418835,0.0,0.0,0.0,0.3323338,0.80761725,0.0,0.0,0.0,0.3399176,0.56199795,0.28234607,0.4353068,0.38363278,0.6844424,0.32896093,0.4136965,0.057337135,0.89118797,0.0,0.0,0.3851953,0.28306612,0.9952758,0.0,0.26667762,0.040493175,0.049888007,0.0,0.6140089,0.18164006,0.0,0.0,0.10907248,0.0,0.58913386,0.6593086,0.14559333,0.50697005
-1.1674105,0.12003398,-0.84624755,-0.25520343,-1.1916414,-1.344192,-0.282649,-0.80518,1.5771508,-0.87071216,1.4591621,0.0,0.0,0.63943374,0.0,0.20226163,0.0,0.43483394,0.4711684,0.0,0.033469483,0.0,0.0,0.06630149,0.0,0.02228818,0.2701217,0.0,0.0,0.4235019,0.9354465,0.744715,0.26601753,0.0,0.0,0.0,0.0,1.0967817,0.0,0.14707667,0.11354731,1.1304839,1.2725298,0.0,0.6937902,0.49623713,0.0,0.0,0.0,0.10547325,0.7028246,0.4876529,0.19930208,0.47099352,0.26155332,0.4023851,0.45557863,0.124360815,0.48104063,0.09200455,0.40709788,0.0,0.1466966,0.85948855,0.073728606,0.16373447,0.0710138,0.6108953,0.20887542,0.12074656,0.43970433,0.1289326,0.5567852,0.13156836,0.41018564,-0.13091126,-0.5400056,-0.25758544
-1.6231524,-0.6120566,-0.7760162,-0.18349023,-0.41644308,0.16592912,-0.057286207,-0.77551365,-1.0730127,0.83853495,0.6073675,0.0,0.0,0.3313104,0.3044101,0.0,0.0,0.29630077,0.68209213,0.73399115,0.0,0.0,0.15348937,0.7725818,0.0,0.0,0.0,0.45211738,0.12295297,0.0,0.8786955,0.0,0.5634804,0.7540131,0.92287725,0.46218356,0.767206,0.0,0.0,0.45379627,0.11683811,0.16977865,0.0,0.14749187,0.0,0.046120178,0.17812386,0.13239902,0.068851694,0.6388079,0.92252254,0.52154946,0.035351083,0.21278447,0.0,0.36819577,0.46047014,0.0,0.4652969,0.1466905,0.21660495,0.7529086,0.46710488,0.2943114,0.0,0.17649578,0.0,0.47349674,0.4355964,0.0,0.0,0.51599336,0.0,0.76274747,0.23574457,-0.4194137,0.58870965,0.15093385
0.05127902,-1.194278,-0.76075023,-0.94011754,-1.0355674,1.4739858,1.1440562,0.8432002,-0.6215727,-0.13795616,0.9816632,0.0,0.0,0.0,0.0,0.0,0.0,0.69867873,0.0,0.40575933,0.5046588,0.534444,0.0,0.38850904,0.89162517,0.7047225,0.4522065,0.42480004,0.5831752,0.0,0.544748,0.0,0.0,0.5014069,1.5347886,0.152886,0.5914203,0.25125244,0.0,0.9399474,0.0,0.31610805,0.0,0.44464898,0.0,0.0,0.0,0.0,0.0,0.5903253,1.1747884,0.33507603,0.0,0.00053070486,0.0,0.6044129,0.0,0.0,0.52874655,0.0,0.05255802,0.69030726,0.7743026,0.020236185,0.0,0.0,0.25846615,0.2067549,0.93231475,0.0,0.0,0.4185285,0.0,0.20442961,0.6188071,-0.23677447,0.6032844,0.87269545
