=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/metadata.json
CI(0, 1 | ()) p=0.01665 -> indep=True
CI(0, 2 | ()) p=0.279 -> indep=True
CI(1, 2 | ()) p=0.471 -> indep=True
CI(0, 3 | ()) p=0.1273 -> indep=True
CI(1, 3 | ()) p=0.3408 -> indep=True
CI(2, 3 | ()) p=0.9568 -> indep=True
CI(0, 4 | ()) p=0.6987 -> indep=True
CI(1, 4 | ()) p=0.03566 -> indep=True
CI(2, 4 | ()) p=0.1895 -> indep=True
CI(3, 4 | ()) p=0.2441 -> indep=True
CI(0, 5 | ()) p=0.8747 -> indep=True
CI(1, 5 | ()) p=0.8361 -> indep=True
CI(2, 5 | ()) p=0.4385 -> indep=True
CI(3, 5 | ()) p=0.6409 -> indep=True
CI(4, 5 | ()) p=0.7603 -> indep=True
CI(0, 6 | ()) p=1.11e-16 -> indep=False
CI(1, 6 | ()) p=0.09556 -> indep=True
CI(2, 6 | ()) p=0.7691 -> indep=True
CI(3, 6 | ()) p=0.2506 -> indep=True
CI(4, 6 | ()) p=0.09014 -> indep=True
CI(5, 6 | ()) p=0.3707 -> indep=True
CI(0, 7 | ()) p=2.693e-05 -> indep=False
CI(1, 7 | ()) p=0.04019 -> indep=True
CI(2, 7 | ()) p=0.04301 -> indep=True
CI(3, 7 | ()) p=0.1792 -> indep=True
CI(4, 7 | ()) p=0.6384 -> indep=True
CI(5, 7 | ()) p=0.6875 -> indep=True
CI(6, 7 | ()) p=7.772e-16 -> indep=False
CI(0, 8 | ()) p=0.004851 -> indep=False
CI(1, 8 | ()) p=0.6821 -> indep=True
CI(2, 8 | ()) p=2.81e-09 -> indep=False
CI(3, 8 | ()) p=4.193e-09 -> indep=False
CI(4, 8 | ()) p=0.1194 -> indep=True
CI(5, 8 | ()) p=0.2904 -> indep=True
CI(6, 8 | ()) p=0.0008343 -> indep=False
CI(7, 8 | ()) p=1.187e-09 -> indep=False
CI(0, 9 | ()) p=0.007854 -> indep=False
CI(1, 9 | ()) p=0.4809 -> indep=True
CI(2, 9 | ()) p=0.0004821 -> indep=False
CI(3, 9 | ()) p=0.007665 -> indep=False
CI(4, 9 | ()) p=0.8141 -> indep=True
CI(5, 9 | ()) p=0.1785 -> indep=True
CI(6, 9 | ()) p=0.1324 -> indep=True
CI(7, 9 | ()) p=0.00245 -> indep=False
CI(8, 9 | ()) p=0.009654 -> indep=False
CI(0, 10 | ()) p=0.4179 -> indep=True
CI(1, 10 | ()) p=0.3266 -> indep=True
CI(2, 10 | ()) p=0.8735 -> indep=True
CI(3, 10 | ()) p=0.1098 -> indep=True
CI(4, 10 | ()) p=0.7694 -> indep=True
CI(5, 10 | ()) p=0.6563 -> indep=True
CI(6, 10 | ()) p=0.4456 -> indep=True
CI(7, 10 | ()) p=0.3838 -> indep=True
CI(8, 10 | ()) p=0.6579 -> indep=True
CI(9, 10 | ()) p=4.169e-05 -> indep=False
CI(0, 11 | ()) p=0 -> indep=False
CI(1, 11 | ()) p=0.1621 -> indep=True
CI(2, 11 | ()) p=0.6013 -> indep=True
CI(3, 11 | ()) p=0.3391 -> indep=True
CI(4, 11 | ()) p=0.5017 -> indep=True
CI(5, 11 | ()) p=0.4819 -> indep=True
CI(6, 11 | ()) p=0 -> indep=False
CI(7, 11 | ()) p=7.513e-13 -> indep=False
CI(8, 11 | ()) p=0.01184 -> indep=True
CI(9, 11 | ()) p=0.0378 -> indep=True
CI(10, 11 | ()) p=0.6302 -> indep=True
CI(0, 12 | ()) p=0.1992 -> indep=True
CI(1, 12 | ()) p=0.8311 -> indep=True
CI(2, 12 | ()) p=0.01289 -> indep=True
CI(3, 12 | ()) p=0 -> indep=False
CI(4, 12 | ()) p=0.09145 -> indep=True
CI(5, 12 | ()) p=0.8549 -> indep=True
CI(6, 12 | ()) p=0.06305 -> indep=True
CI(7, 12 | ()) p=0.003404 -> indep=False
CI(8, 12 | ()) p=0 -> indep=False
CI(9, 12 | ()) p=0.914 -> indep=True
CI(10, 12 | ()) p=0.1195 -> indep=True
CI(11, 12 | ()) p=0.6689 -> indep=True
CI(0, 13 | ()) p=0.6836 -> indep=True
CI(1, 13 | ()) p=0.4411 -> indep=True
CI(2, 13 | ()) p=0.2582 -> indep=True
CI(3, 13 | ()) p=0.1592 -> indep=True
CI(4, 13 | ()) p=0.8837 -> indep=True
CI(5, 13 | ()) p=0 -> indep=False
CI(6, 13 | ()) p=0.7862 -> indep=True
CI(7, 13 | ()) p=0.7378 -> indep=True
CI(8, 13 | ()) p=0.6373 -> indep=True
CI(9, 13 | ()) p=0.5289 -> indep=True
CI(10, 13 | ()) p=0.0002816 -> indep=False
CI(11, 13 | ()) p=0.7389 -> indep=True
CI(12, 13 | ()) p=0.4607 -> indep=True
CI(0, 7 | (6,)) p=0.6993 -> indep=True
CI(0, 8 | (2,)) p=0.005907 -> indep=False
CI(0, 8 | (3,)) p=2.651e-05 -> indep=False
CI(0, 8 | (6,)) p=0.2128 -> indep=True
CI(2, 8 | (3,)) p=1.555e-11 -> indep=False
CI(2, 8 | (6,)) p=2.958e-09 -> indep=False
CI(2, 8 | (7,)) p=1.571e-10 -> indep=False
CI(3, 8 | (2,)) p=1.906e-10 -> indep=False
CI(3, 8 | (6,)) p=4.408e-08 -> indep=False
CI(3, 8 | (7,)) p=8.749e-08 -> indep=False
