=== [Causal Discovery] Fold 4 (4/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/metadata.json
CI(0, 1 | ()) p=0.2136 -> indep=True
CI(0, 2 | ()) p=0.5775 -> indep=True
CI(1, 2 | ()) p=0.4262 -> indep=True
CI(0, 3 | ()) p=0.7508 -> indep=True
CI(1, 3 | ()) p=0.5763 -> indep=True
CI(2, 3 | ()) p=0.1034 -> indep=True
CI(0, 4 | ()) p=0.5968 -> indep=True
CI(1, 4 | ()) p=0.06488 -> indep=True
CI(2, 4 | ()) p=0.06158 -> indep=True
CI(3, 4 | ()) p=0.2573 -> indep=True
CI(0, 5 | ()) p=0.8795 -> indep=True
CI(1, 5 | ()) p=0.1211 -> indep=True
CI(2, 5 | ()) p=0.6788 -> indep=True
CI(3, 5 | ()) p=0.822 -> indep=True
CI(4, 5 | ()) p=0.03629 -> indep=True
CI(0, 6 | ()) p=1.561e-05 -> indep=False
CI(1, 6 | ()) p=0.7755 -> indep=True
CI(2, 6 | ()) p=0.8313 -> indep=True
CI(3, 6 | ()) p=0.5349 -> indep=True
CI(4, 6 | ()) p=0.1901 -> indep=True
CI(5, 6 | ()) p=0.635 -> indep=True
CI(0, 7 | ()) p=0.8343 -> indep=True
CI(1, 7 | ()) p=0.3035 -> indep=True
CI(2, 7 | ()) p=0.3099 -> indep=True
CI(3, 7 | ()) p=0.5369 -> indep=True
CI(4, 7 | ()) p=0.6905 -> indep=True
CI(5, 7 | ()) p=0.6852 -> indep=True
CI(6, 7 | ()) p=3.468e-06 -> indep=False
CI(0, 8 | ()) p=0.3521 -> indep=True
CI(1, 8 | ()) p=0.347 -> indep=True
CI(2, 8 | ()) p=0.1008 -> indep=True
CI(3, 8 | ()) p=6.501e-05 -> indep=False
CI(4, 8 | ()) p=0.8324 -> indep=True
CI(5, 8 | ()) p=0.4301 -> indep=True
CI(6, 8 | ()) p=0.02382 -> indep=True
CI(7, 8 | ()) p=2.282e-13 -> indep=False
CI(0, 9 | ()) p=0.6336 -> indep=True
CI(1, 9 | ()) p=0.6186 -> indep=True
CI(2, 9 | ()) p=0.6692 -> indep=True
CI(3, 9 | ()) p=0.0901 -> indep=True
CI(4, 9 | ()) p=0.02006 -> indep=True
