epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,epoch_seconds,cumulative_updates,batches_per_epoch,effective_epochs,effective_updates
1,0.8673524260520935,0.8335861563682556,0.7412928059895834,0.7250709635416667,0.1298370135435849,0.1622245073840346,0.0008,17.92336499999999,16,16,60,960
2,0.7935469746589661,0.777504563331604,0.71091064453125,0.6999768880208334,0.20537725933265505,0.2185434297661969,0.0008,0.07743645899998342,32,16,60,960
3,0.7739422917366028,0.7730224132537842,0.7022469889322916,0.69793603515625,0.22557221831277652,0.22301937521955073,0.0008,0.06984283300002403,48,16,60,960
4,0.7713816165924072,0.7708187103271484,0.7013690592447916,0.6965648600260417,0.22833385273881868,0.22519875713872672,0.0008,0.07084374999999454,64,16,60,960
5,0.7681682705879211,0.7699129581451416,0.69955615234375,0.696576904296875,0.2304165480064555,0.2260961689211186,0.0008,0.08368320899998594,80,16,60,960
6,0.7680847644805908,0.7683384418487549,0.6982174479166666,0.6960978190104167,0.23313207149125348,0.2276764046748878,0.0008,0.0743052079999984,96,16,60,960
7,0.7610341310501099,0.7704012393951416,0.6942179361979167,0.69697705078125,0.24024613064617417,0.2255998222478124,0.0008,0.077280624999986,112,16,60,960
8,0.7615189552307129,0.770383358001709,0.6950841471354167,0.6958885091145833,0.2401210533658047,0.22564983281153705,0.0008,0.07185700000002271,128,16,60,960
9,0.7594590187072754,0.7726588249206543,0.6950938313802083,0.6978639322916667,0.2414757746378683,0.22327825343177232,0.0008,0.07407474999999408,144,16,60,960
10,0.7559436559677124,0.768921434879303,0.6929100748697916,0.6957408854166667,0.24423166859317402,0.22703656363899927,0.0008,0.07525020899998935,160,16,60,960
11,0.7578746676445007,0.7728533744812012,0.6943439127604166,0.6969750162760416,0.2415704511673885,0.22304519766748698,0.0008,0.08096279099999037,176,16,60,960
12,0.7503524422645569,0.7711114883422852,0.690763427734375,0.696260009765625,0.2493620224243196,0.224862329866089,0.00068,0.07441270800001121,192,16,60,960
13,0.752659022808075,0.7707842588424683,0.6909513346354167,0.6970413411458334,0.24907160169431708,0.22514400701177328,0.00068,0.07447745899997926,208,16,60,960
14,0.7479832172393799,0.7715094685554504,0.6896259765625,0.6974038899739583,0.2508734396062273,0.2244103553105974,0.00068,0.07917441600000075,224,16,60,960
15,0.7506139874458313,0.7726973295211792,0.69027734375,0.6978138834635417,0.2497355223407317,0.22321925404123444,0.00068,0.07376487500002327,240,16,60,960
16,0.747892439365387,0.7718244791030884,0.6900595703125,0.6979300130208334,0.2516652854739053,0.2241418345387034,0.00068,0.07683124999999791,256,16,60,960
17,0.7461116313934326,0.775738000869751,0.6877333170572917,0.699260009765625,0.25447959798419095,0.220130693148202,0.00068,0.0774608330000035,272,16,60,960
18,0.7454793453216553,0.7738819122314453,0.6878890787760417,0.6984424641927083,0.25468268741879785,0.2220348535336777,0.00068,0.07385670799999389,288,16,60,960
19,0.7444725036621094,0.7746838927268982,0.6887734375,0.698483154296875,0.25452550209246216,0.22120861691632532,0.00068,0.07443616699998756,304,16,60,960
20,0.7453563809394836,0.7742860317230225,0.6876997884114583,0.6986785481770833,0.2553519180387096,0.22162087720062396,0.00068,0.0792971669999929,320,16,60,960
21,0.74486243724823,0.7751951217651367,0.6872281087239583,0.6984775390625,0.25611413778865755,0.22073131021254178,0.00068,0.07576370900000029,336,16,60,960
22,0.7445364594459534,0.7736124992370605,0.6874209798177083,0.698321533203125,0.25633619127102447,0.22233360945030722,0.00068,0.07517933299999413,352,16,60,960
