input_0,input_1,input_2,input_3,input_4,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-0.2561185,0.5992173,-1.4563909,1.6015507,2.7790303,1.0216107,0.47798145,1.6378804,0.93939865,2.6275072,0.0,1.3030446,1.6395249,2.3927548,0.85479534,0.31105956,2.3185132,0.0,0.0,1.595918,0.0,1.4914889,0.0,0.0,1.703942,0.0,0.0,1.1838279,0.46843195,0.0,0.0,0.0,0.51939666,1.2906781,0.0,0.0,1.2480767,1.7597761,0.15972987,0.0,0.53259647,0.0,0.0,0.59842765,0.0,0.8475496,0.0,2.2216225,1.0150474,0.58429897,0.7581108,1.5336283,0.52180797,0.0,1.1774564,0.2217755,0.0,1.2956303,0.0,1.6453438,0.0,0.13681735,0.0,0.61900586,0.25917527,2.6512635,1.1893343,0.7312905,0.44183186,0.55116147,-1.612345,-1.1315308
1.3138692,0.24792539,-0.08720072,0.19874775,0.73511857,0.7443893,0.0,0.36536738,0.7584557,1.1604881,0.0,0.0,0.7715898,0.91705036,0.8956605,0.40965906,1.0874406,0.0,0.2888969,0.42784572,0.04496777,0.0,0.0,0.0,0.10357861,0.0,0.0,0.0,0.17289835,0.0,0.61716944,0.0,0.8501582,0.0,0.08965015,0.0,0.0,0.26899436,0.25507846,0.0,0.13385999,0.07996241,0.0,0.6523361,0.34767318,0.49109352,0.0,0.66933346,0.50945956,0.24543127,0.043170422,0.5467971,0.0,0.13367274,0.24858004,0.0823218,0.0,0.69229245,0.0,0.9084643,0.0,0.40188485,0.0,0.22774579,0.0,0.9905126,0.0,0.41866103,0.0,-0.24669962,-0.32969272,-0.25073642
-1.0882508,-1.2239376,-2.199839,0.71214205,0.6412415,0.0,0.45230907,1.0474393,0.0,1.7539786,0.0,2.0791984,0.0,1.7048048,0.0,0.0137518495,0.8879061,0.79588926,0.0,0.42673028,0.0,0.42975003,0.8219586,0.12767568,0.96446526,0.8911849,0.0,0.6098449,0.35549855,0.0,0.0,0.6793988,0.4373687,0.6570729,0.0,0.0,1.9744374,0.60710585,0.0,0.0,0.6307982,0.44836897,0.0,1.2163656,0.0,0.69372934,0.15565617,1.9249357,1.5697551,0.25975105,0.004342441,0.38246888,0.9115961,0.039959937,0.6398497,0.0,0.0,0.84920144,0.0,0.82509464,0.0,0.0,0.0,0.19540474,0.46539623,0.9880558,1.3895278,0.0,0.119942784,0.31318167,0.21306953,-1.2641624
-0.074066855,0.091441944,0.7439262,-0.18037409,-1.6403279,0.0,0.0,0.0,0.0,0.0,0.65014875,0.0,0.0,0.0,0.48577023,0.0,0.0,0.4419621,0.5923449,0.0,0.21618375,0.0,0.0,0.08562559,0.0,0.0,0.24151123,0.0,0.0,0.896441,0.5639803,1.0390428,0.33670887,0.042876005,0.24684957,0.55944455,0.0,0.0,0.8377019,0.0,0.07216768,0.91167873,0.0,0.3194286,0.5158961,0.21550566,0.052582346,0.006010473,0.5213358,0.3401025,0.2771955,0.086123414,0.0,0.76556194,0.21120779,0.5407484,0.0,0.006051667,0.0,0.0,0.0,0.44346926,0.0,0.2850429,0.0,0.0,0.0,0.07491684,0.27287233,-0.04328716,0.60790586,0.6960864
0.44285196,1.0650362,0.21093352,-0.1902565,-1.0516789,0.0,0.0,0.0,0.51048917,0.0,0.39270487,0.0,0.011521086,0.0,1.0054191,0.0,0.26519507,0.03260345,0.5985937,0.0,0.3878925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3104203,0.7638797,0.14849792,0.9184643,0.46293306,0.2420417,0.15435514,0.0,0.0,0.59181863,0.0,0.15077567,0.59215117,0.0,0.25669557,0.54759556,0.13396212,0.0,0.2857046,0.31315905,0.5218184,0.15970583,0.3584869,0.0,0.37197143,0.256083,0.09602501,0.0,0.4918069,0.0,0.39359447,0.0,0.38341662,0.0,0.22979721,0.0,0.0,0.0,0.21652444,0.04837625,-0.17459567,0.07860525,0.3161882
-1.9687793,0.16015331,1.0539014,0.53402424,1.0343204,0.8887377,1.6051947,0.0,0.5545794,0.13977167,0.6477535,0.57302046,0.0,0.06994179,0.047834188,0.0,0.44287,0.030586287,0.0,0.0,0.0,0.68148315,0.0,0.0,0.8520403,0.0,0.3159279,0.0,0.0,0.0,0.0,0.4805926,0.0,1.2271914,0.0,0.6433665,0.4840167,0.67696565,0.6417896,0.0,0.17074944,0.6252564,0.041902155,0.0,0.35129836,0.009091124,0.0,0.79989636,0.32780513,0.3844849,0.4032114,0.79829556,0.0,0.25288725,0.3944721,0.4563458,0.0,0.0,0.22508475,0.18129939,0.0,0.21836498,0.0012204433,0.84903234,0.0,0.88577026,0.5291779,0.0,0.91404855,0.5127334,-0.39300403,0.31761834
0.21263392,-0.9666058,1.5348723,-0.007984522,0.91632915,1.6093247,1.4199162,0.0,0.40089563,0.42583936,0.3207031,0.0,0.0,0.050207227,0.039788425,0.0,0.19769967,0.0,0.089786604,0.11918101,0.05801344,0.0,0.0,0.0,0.2543097,0.0,0.34512708,0.0,0.0,0.66041803,0.09601639,0.121576,0.0,0.0,0.0,0.0,0.0,0.54260623,0.72972006,0.0,0.13749716,0.4664684,0.051987782,0.2699192,0.84365255,0.4276223,0.103411324,0.423077,0.42010427,0.38117713,0.09563,0.4248619,0.0,0.39700124,0.005504947,0.5581732,0.0,0.0,0.0,0.18147407,0.0,0.4368997,0.15061001,0.52519894,0.0,0.568976,0.13007079,0.34595647,0.33901447,-0.044955973,0.027000546,0.5501605
0.5819477,0.30776727,-0.30712342,0.025429256,1.0297593,0.5230419,0.35605738,0.46415886,0.8779642,1.1746308,0.0,0.15182999,0.7997985,1.0170032,0.59206414,0.31021002,1.288273,0.0,0.0,0.32951683,0.0,0.08456105,0.0,0.0,0.26306817,0.0,0.0,0.24458738,0.0,0.0,0.3279581,0.0,0.4729619,0.38780358,0.0,0.0,0.14676513,0.4116131,0.0910787,0.0,0.2566637,0.0,0.0,0.55943996,0.21379101,0.42078677,0.0,0.7996988,0.49076676,0.30715317,0.1551101,0.71676135,0.0,0.056357525,0.25863233,0.18231669,0.0,0.5329366,0.0,0.9613514,0.0,0.2594465,0.0,0.2741399,0.029030599,1.2611598,0.22776243,0.3138587,0.0,-0.12412971,-0.5428883,-0.3920957
1.5801871,1.2866017,-0.8812739,-0.7649695,-0.14782365,0.0,0.0,0.39283007,1.2035611,0.7662623,0.0,0.0,1.2861117,0.8139769,1.0822985,0.503713,1.398828,0.0,0.29850304,0.0,0.3713254,0.0,0.0,0.0,0.0,0.0,0.0,0.56905824,0.0,0.0,1.3751712,0.0,1.667557,0.39232564,0.47565004,0.0,0.0,0.0,0.0,0.0,0.57618344,0.38986042,0.0,0.71279615,0.6637047,0.1808566,0.0,0.80881727,0.5718676,0.49426278,0.08246191,1.0316428,0.0,0.49258268,0.10262075,0.0,0.0,1.223649,0.0,1.1694677,0.0,0.30590013,0.0,0.0,0.0,0.8830364,0.0,0.46362305,0.0,-0.6110753,-0.44403127,-0.3798739
-1.1804949,0.21359587,-0.97082746,1.4424205,1.4701147,0.5156568,0.5482376,1.0236334,0.18167081,1.5880591,0.0,1.3597996,0.380881,1.480835,0.46274683,0.0,1.2623008,0.0,0.0,0.60632426,0.0,1.0439193,0.20104468,0.0,1.3715395,0.0,0.0,0.7313888,0.008796364,0.0,0.0,0.0,0.07941975,1.269985,0.0,0.117375575,1.2236503,1.10083,0.22353789,0.0,0.2306208,0.0,0.0,0.49225077,0.0,0.6139947,0.2981986,1.6327677,0.83773905,0.383995,0.52540445,0.93907005,0.36213508,0.0,0.9730201,0.0,0.0,0.53406835,0.0,0.9867793,0.0,0.0,0.0,0.62997437,0.15418178,1.6060889,0.9886257,0.11699358,0.43370155,0.60271853,-0.7163533,-0.7425603
