epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.9802786111831665,0.9028191566467285,0.001,16,40,640
2,0.9015313386917114,0.8386383056640625,0.001,16,40,640
3,0.8375517725944519,0.7863290309906006,0.001,16,40,640
4,0.7932670712471008,0.7548365592956543,0.001,16,40,640
5,0.7706769704818726,0.7423604726791382,0.001,16,40,640
6,0.7629526853561401,0.7362231016159058,0.001,16,40,640
7,0.7601750493049622,0.7346172332763672,0.001,16,40,640
8,0.7581714987754822,0.7336821556091309,0.001,16,40,640
9,0.759147584438324,0.7332542538642883,0.001,16,40,640
10,0.7599388957023621,0.7331340909004211,0.00085,16,40,640
11,0.7573722004890442,0.7323170900344849,0.00085,16,40,640
12,0.7583172917366028,0.731534481048584,0.00085,16,40,640
13,0.7576135993003845,0.7323230504989624,0.00085,16,40,640
14,0.7558139562606812,0.7314419746398926,0.00085,16,40,640
15,0.7573001384735107,0.731774091720581,0.00085,16,40,640
16,0.7572045922279358,0.7314963340759277,0.00085,16,40,640
17,0.7558948397636414,0.7315546274185181,0.00085,16,40,640
18,0.7558607459068298,0.7308297753334045,0.00085,16,40,640
19,0.7570225596427917,0.7309067249298096,0.00085,16,40,640
20,0.7548341751098633,0.7307528257369995,0.0007224999999999999,16,40,640
21,0.7552107572555542,0.7307982444763184,0.0007224999999999999,16,40,640
22,0.7552493810653687,0.7306804656982422,0.0007224999999999999,16,40,640
23,0.7542191743850708,0.7312294840812683,0.0007224999999999999,16,40,640
24,0.7549231648445129,0.7300112843513489,0.0007224999999999999,16,40,640
25,0.7535103559494019,0.7305699586868286,0.0007224999999999999,16,40,640
26,0.7551203966140747,0.729892373085022,0.0007224999999999999,16,40,640
27,0.7532171010971069,0.730353832244873,0.0007224999999999999,16,40,640
28,0.7554946541786194,0.7300254702568054,0.0007224999999999999,16,40,640
29,0.7529297471046448,0.7303551435470581,0.0007224999999999999,16,40,640
30,0.754748523235321,0.7297418117523193,0.000614125,16,40,640
31,0.7530245184898376,0.7304191589355469,0.000614125,16,40,640
32,0.7554279565811157,0.7297158241271973,0.000614125,16,40,640
33,0.753993570804596,0.7300785779953003,0.000614125,16,40,640
34,0.7551196813583374,0.7297132015228271,0.000614125,16,40,640
35,0.7540596723556519,0.730090320110321,0.000614125,16,40,640
36,0.7557005286216736,0.7299108505249023,0.000614125,16,40,640
