epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.9658652544021606,0.8663393259048462,0.0008,16,60,960
2,0.7600632309913635,0.5010179281234741,0.0008,16,60,960
3,0.45049646496772766,0.35947877168655396,0.0008,16,60,960
4,0.38487011194229126,0.3357471823692322,0.0008,16,60,960
5,0.37167787551879883,0.3312000334262848,0.0008,16,60,960
6,0.3715314269065857,0.32887375354766846,0.0008,16,60,960
7,0.3657688498497009,0.3276209235191345,0.0008,16,60,960
8,0.3632940948009491,0.3256949186325073,0.0008,16,60,960
9,0.3592981994152069,0.3233087658882141,0.0008,16,60,960
10,0.35933420062065125,0.321852445602417,0.0008,16,60,960
11,0.35593685507774353,0.32167935371398926,0.0008,16,60,960
12,0.3579014241695404,0.32089731097221375,0.00068,16,60,960
13,0.3557787835597992,0.3212781846523285,0.00068,16,60,960
14,0.35454481840133667,0.3206608295440674,0.00068,16,60,960
15,0.3579558730125427,0.3212164342403412,0.00068,16,60,960
16,0.35461604595184326,0.3214449882507324,0.00068,16,60,960
17,0.355516254901886,0.32162290811538696,0.00068,16,60,960
18,0.35733550786972046,0.32142698764801025,0.00068,16,60,960
19,0.3545113801956177,0.32102447748184204,0.00068,16,60,960
20,0.35324615240097046,0.32103800773620605,0.00068,16,60,960
21,0.3508664667606354,0.3217564523220062,0.00068,16,60,960
22,0.354521244764328,0.32144689559936523,0.00068,16,60,960
