input_0,input_1,input_2,input_grad_0,input_grad_1,input_grad_2,output_0,output_1,output_2
-0.0012561971,-1.4631938,1.3960619,0.37916636,0.2402896,0.7028372,0.00041618943,0.87763166,-0.4141465
-1.4441564,0.7539541,0.96083957,0.42784125,0.3530826,0.6053684,-1.2603487,0.373511,1.1419129
-1.6819074,1.185385,0.054020658,0.41238117,0.34922194,0.6139536,-1.4981983,-0.21003394,1.4635209
0.15923128,-0.30758488,-0.35617635,0.37519315,0.34009457,0.61256814,0.1430178,-0.20456144,-0.21145797
0.47426784,-1.5383537,0.5669761,0.38196295,0.27842692,0.6737533,0.43196222,0.41445735,-0.7921906
-1.1453867,0.7957969,-0.059753653,0.41622192,0.34762698,0.61674255,-1.0167087,-0.201644,0.99073356
0.97538775,-1.6654723,-1.2625587,0.40668076,0.33870715,0.6290016,0.8672609,-0.6732533,-1.1723238
-0.37934542,-1.5939267,-1.6648434,0.36925027,0.3614864,0.62339497,-0.34817702,-1.1143551,-0.27840957
0.6299335,0.40020236,0.7396313,0.3593684,0.3458228,0.62150013,0.543493,0.5610156,-0.29502296
2.2613115,-1.6816542,-0.26670802,0.34005934,0.2704744,0.62393403,1.9958826,0.16395241,-2.0276415
1.0022581,-1.1985147,-1.7537806,0.40663874,0.35580513,0.60130537,0.876174,-0.94193697,-1.0415158
-0.45146534,-0.49825534,-0.28152892,0.38541982,0.33259356,0.62144935,-0.4031839,-0.2493359,0.12851591
-0.6619252,0.5832207,0.081450246,0.4065694,0.35403347,0.61266005,-0.57957035,-0.041204467,0.6051932
0.04254121,-0.4427066,-0.20904113,0.37686107,0.33389577,0.61806786,0.03926567,-0.13244347,-0.17870536
0.05403934,-2.80055,0.48408207,0.37466586,0.28569052,0.7388722,0.039279047,0.29847836,-0.85732305
-0.17725654,-0.07227105,0.5177957,0.38030085,0.32835066,0.61670804,-0.15636826,0.2932477,0.07913622
-0.22846536,0.59144276,-0.024296876,0.38992858,0.36136863,0.6079016,-0.19352892,-0.040494233,0.32970265
1.211382,-0.6690123,1.260423,0.360704,0.27252674,0.6748419,1.0712638,0.978034,-1.0206777
0.7581764,0.08472776,0.41208503,0.35548925,0.33202758,0.6164888,0.6571465,0.36928397,-0.4807268
-0.13294868,0.25020492,0.24005628,0.37954754,0.34725368,0.6083866,-0.11374553,0.13180092,0.15383422
1.3369596,0.024068631,-0.8386083,0.35869128,0.3460716,0.5750974,1.1482888,-0.30812517,-0.85537475
1.0402731,-0.21652439,1.7802929,0.37536165,0.2838558,0.6801071,0.9110424,1.2856914,-0.75240433
0.32230237,-1.4820788,-1.76122,0.3999157,0.3626336,0.6166805,0.28019485,-1.0650846,-0.70415956
1.0030893,-1.0065488,0.4298635,0.3676023,0.28358474,0.6463883,0.8972061,0.40922567,-0.9945839
-0.2210818,-0.973476,-0.1026589,0.38098544,0.3210467,0.63668907,-0.19990045,-0.110920176,-0.16814488
0.9405287,0.72822464,-0.73492515,0.35670775,0.37373245,0.57715285,0.80969554,-0.29515764,-0.35809568
0.06682138,-0.8191545,1.0096179,0.38052666,0.27879667,0.65790695,0.057715345,0.6349901,-0.2987352
0.5142255,-1.9874417,0.6190902,0.385983,0.27420378,0.6945071,0.47274294,0.45657986,-0.9479659
1.7658218,0.3765919,0.66639566,0.3333438,0.33930987,0.6337745,1.5045393,0.69844174,-1.0519522
0.33507603,0.24166588,1.6117133,0.38591403,0.3179086,0.64690816,0.2919157,1.0631449,-0.15456137
-0.011137268,-0.53170604,-0.8970101,0.38504487,0.3484631,0.6165348,-0.0090545155,-0.5678506,-0.17059964
-0.17462815,0.92258406,-0.98331654,0.41675603,0.364395,0.6115031,-0.14916363,-0.6241187,0.425874
0.34117058,-1.3524306,0.3054546,0.381396,0.29370332,0.6586027,0.30889687,0.22546822,-0.65197533
-1.0258696,-0.36232194,-0.24558409,0.3862878,0.3230065,0.61374676,-0.91846186,-0.30790445,0.54697067
0.076081656,0.22955306,0.7486263,0.37318885,0.33825028,0.61623955,0.06610509,0.47863767,0.00936535
-0.5045466,-0.9563069,-1.3792204,0.37189516,0.35135138,0.617418,-0.45563272,-0.94497406,0.017941475
-0.647945,0.34461963,-0.75905716,0.40441665,0.34332776,0.6137711,-0.57727873,-0.5669873,0.535146
