input_0,input_1,input_2,input_grad_0,input_grad_1,input_grad_2,output_0,output_1,output_2
0.18810724,2.5054543,1.0213945,0.3562886,0.23217025,0.5137279,0.08883825,0.6979464,0.6230222
-2.0962236,2.084903,-1.5755161,0.37269014,0.17839846,0.6090009,-1.7840326,-1.4477493,1.9024644
1.5540798,-0.80886555,-0.06554889,0.33099982,0.29634765,0.59306824,1.3282837,0.23440503,-1.2314992
0.0030471163,0.73336196,0.7680229,0.41566834,0.29874137,0.5843481,-0.042074356,0.4998811,0.26558676
0.44835392,0.5043568,0.101085186,0.3986637,0.29773384,0.6244331,0.36605728,0.16724399,-0.102644876
0.68184,-0.557753,1.8538162,0.3780846,0.2791643,0.5007208,0.58405757,1.2052382,-0.58762634
-0.29251888,-0.16987059,-2.118671,0.44124466,0.3398183,0.59846103,-0.2516947,-1.3868116,0.1239388
0.18519777,0.34862924,-0.61991054,0.42688748,0.30491948,0.6326997,0.14638345,-0.33903217,0.014470108
0.81372446,-0.37448338,0.05830031,0.38961175,0.32225037,0.61741674,0.7016202,0.1969562,-0.6238662
-0.33285296,0.8825919,1.6116457,0.41380173,0.28453103,0.48898426,-0.34122464,0.88610214,0.53623927
0.7009924,-0.46678844,-0.26987407,0.40961587,0.32882267,0.61949,0.603322,-0.028619047,-0.5780567
0.14435063,-0.01752095,0.9000456,0.4173154,0.31167215,0.5836278,0.09466694,0.59644705,-0.06154333
-0.7047915,1.6663432,0.44066495,0.42322755,0.26384386,0.6262175,-0.6737852,0.17176211,0.9961782
-0.005243674,0.15132268,0.7828679,0.4215346,0.3116169,0.5897134,-0.040991724,0.5016136,0.09006586
-0.25846773,-0.7481995,0.96368355,0.39903328,0.2988749,0.5959511,-0.24339624,0.55474097,-0.037321135
-1.0766206,-0.09653231,-2.043397,0.33954564,0.276564,0.5664152,-0.88208455,-1.4944532,0.6207994
0.32478294,-0.017255943,0.41386554,0.41164386,0.31817165,0.61324286,0.26216674,0.33797532,-0.18738239
-0.93689543,0.41492024,-1.5468932,0.42373973,0.29972875,0.6312589,-0.8050315,-1.1590035,0.708381
0.029914465,0.7619837,0.2798038,0.41501033,0.29562092,0.6214174,-0.011827083,0.20754617,0.25219077
0.5345772,0.30884263,0.086100385,0.39606214,0.30381197,0.6223319,0.44642276,0.17169072,-0.22134157
1.260037,-0.8396124,-0.09628514,0.36858845,0.31443712,0.6013272,1.0853797,0.17145398,-1.0563145
-1.377826,-0.06796064,-1.1876642,0.33074388,0.26036844,0.64459014,-1.184914,-0.99791163,0.8555267
-0.95359385,1.4930182,-0.1520404,0.42393315,0.25670817,0.6607901,-0.86932504,-0.25642088,1.0873866
0.83813775,0.60084194,0.30292654,0.35941002,0.28932044,0.6109395,0.7053136,0.36052832,-0.33346248
0.938124,0.30512634,1.6449238,0.3267615,0.24891679,0.4758951,0.79455835,1.1237035,-0.49928427
0.9071533,0.24531065,2.2571464,0.33661756,0.2232576,0.43085858,0.7659447,1.3948085,-0.49011672
0.22641014,-0.14480726,-0.19147053,0.42351773,0.32701427,0.63033324,0.18417934,-0.060795445,-0.16993333
0.40121433,-0.20688693,-1.7313591,0.48127353,0.3460203,0.62488925,0.32911456,-0.98665804,-0.3032692
0.14499591,-0.47395018,-0.82365674,0.44847667,0.34254807,0.6442969,0.12002334,-0.48406124,-0.23126714
1.8703326,0.5870129,0.4210229,0.25600928,0.27376604,0.58407116,1.5533606,0.57206625,-1.0177314
-0.3973942,-0.52325696,-0.63472843,0.41474462,0.32155547,0.6603346,-0.35562986,-0.46635395,0.0981051
1.3241869,-3.4424741,0.2658736,0.373311,0.26730433,0.5547701,1.1323956,0.35193938,-1.8357594
-0.8907336,-0.68530566,1.4682785,0.37155533,0.24997847,0.55014265,-0.76212466,0.7130403,0.38552648
0.6456494,0.39114904,0.48302254,0.3807008,0.29916617,0.6037674,0.54219913,0.4388537,-0.27222353
0.8319639,-2.208205,0.72148633,0.37634978,0.31302726,0.6128759,0.74340594,0.5809776,-1.232474
-0.64738744,-0.44429377,0.92501795,0.39707726,0.28791744,0.5886934,-0.5879121,0.46012497,0.3130749
0.46988797,0.5672218,1.2729033,0.37387344,0.27840796,0.51916885,0.3767567,0.86284417,-0.09908371
-1.1239966,0.834486,-0.5398939,0.4232754,0.28494227,0.66936445,-1.0030458,-0.5293872,0.98405135
0.14643535,1.0748957,-0.17178355,0.40848458,0.27152067,0.6438898,0.08477036,-0.062039796,0.27593422
-0.3267703,0.019022768,0.91508156,0.42326075,0.30799204,0.5812352,-0.325427,0.51554376,0.26075602
-0.42929348,0.7710489,1.1186047,0.42629182,0.29914212,0.5499482,-0.42836338,0.61442786,0.56516486
-0.43965805,-0.035006084,-0.21400411,0.4234439,0.32031116,0.64480186,-0.40606356,-0.19256608,0.28939518
-1.4253535,2.4907885,1.9175096,0.39955252,0.26432037,0.47476822,-1.240776,0.84719616,1.6156675
