input_0,input_1,input_2,input_grad_0,input_grad_1,input_grad_2,output_0,output_1,output_2
0.010909864,0.6039795,1.2155372,0.36499316,0.199222,0.64610404,-0.029169224,0.78404975,0.1706323
-0.6721971,-0.5048048,1.2942076,0.38634783,0.26792932,0.5959854,-0.54017365,0.6971131,0.3102227
-0.2019574,0.7799611,1.8010845,0.3839483,0.20966667,0.57844067,-0.19535254,1.1027004,0.33569908
-0.49489218,0.36112595,-0.6933424,0.3579267,0.20587137,0.61347824,-0.42581207,-0.5156278,0.42950895
1.2787255,-1.1023825,0.22630152,0.36968955,0.30193454,0.61087584,1.16811,0.38207912,-1.2018638
1.7554682,-1.470973,2.0709667,0.3286294,0.42399818,0.56057864,1.7063622,1.4544241,-1.7145147
-0.23933637,1.1656135,-0.8878327,0.34191197,0.17766197,0.57958716,-0.2569123,-0.5962063,0.46740118
-0.13498738,1.3326666,1.1862812,0.36649466,0.18562931,0.66390795,-0.20332362,0.7264257,0.46896598
1.3460221,0.52206784,0.769055,0.40850094,0.21289131,0.6628828,1.1429842,0.70842546,-0.7338641
-0.013289791,-0.3578123,-0.47472942,0.35886702,0.23555978,0.6295665,0.004990667,-0.28124917,-0.083363146
1.130366,-0.6580426,-0.86123383,0.40104455,0.26162314,0.59927046,1.0425429,-0.33122426,-0.9605282
0.09029877,0.49064615,0.93098736,0.35868713,0.19449767,0.65584177,0.042679742,0.61475486,0.088900305
1.3975042,-0.26496062,-0.22715642,0.40229923,0.22923958,0.6084731,1.2627379,0.08865744,-1.0167844
0.6424841,0.57460374,-0.5062506,0.36706707,0.18282597,0.5982816,0.5399519,-0.21279967,-0.28050965
3.204833,-1.2313321,1.0665352,0.6719904,0.42142412,0.54158187,2.952725,1.0837933,-2.3561428
-0.41263187,1.4257401,2.1038203,0.39593688,0.20516144,0.5379471,-0.38815576,1.2207406,0.6306503
-0.12148015,-0.3508668,-0.38667604,0.36002064,0.23433372,0.62995094,-0.08797751,-0.24667789,-0.006757751
-0.009372803,-0.45881674,0.9810307,0.36174065,0.25055507,0.6244907,0.009040639,0.6421851,-0.116264686
-0.79404944,0.651394,-2.0721984,0.31454465,0.26190886,0.5025067,-0.7071528,-1.3528847,0.7155574
-1.1816719,-0.80880874,0.96034265,0.41698474,0.2987868,0.6157014,-0.95934564,0.35769033,0.57676524
-0.1443533,-0.0013982725,-2.413782,0.37549388,0.27762216,0.47487736,-0.13808317,-1.4199928,0.09360345
1.5211911,-0.57662904,-0.6808119,0.42101514,0.2526573,0.58822757,1.4009789,-0.1660084,-1.1959977
-0.09477409,-0.40978098,1.0979239,0.3650264,0.25032258,0.6195998,-0.06333282,0.699151,-0.046877034
-0.3644534,0.48843586,-0.4207452,0.35182494,0.1892894,0.612731,-0.32238805,-0.32772478,0.37663043
1.5052351,-1.3528008,1.6680157,0.32054883,0.38997528,0.5613332,1.4352859,1.246121,-1.4925938
0.5978313,-0.39166754,-2.0980165,0.43477952,0.27697217,0.5238091,0.5465538,-1.1295606,-0.5280376
-0.043745782,0.4800298,-0.078700766,0.34747216,0.1802937,0.6218179,-0.055838194,-0.059303194,0.1629675
1.2441804,-1.3044708,1.1984463,0.33264154,0.35926527,0.58436793,1.1664828,0.9664297,-1.2794998
-0.6926955,-0.4329341,0.4325273,0.38329047,0.24867319,0.63037604,-0.5661934,0.1485071,0.36189803
0.77604187,0.68536264,-1.0951563,0.38491005,0.19016491,0.5711328,0.6617248,-0.54411185,-0.34453258
-0.63276905,0.96535885,-0.007273685,0.34460998,0.1726223,0.6217069,-0.5836005,-0.1358465,0.69271
1.6851577,-0.87065625,-0.2432304,0.41661027,0.27599406,0.5963481,1.5455077,0.1353686,-1.3908634
1.9000956,-1.3773582,0.16158913,0.41084936,0.33692884,0.5737896,1.7329742,0.42614728,-1.6963093
0.021166699,0.62664425,-0.25991654,0.34748933,0.17633818,0.6126885,-0.005571097,-0.16372658,0.15392184
-0.63937396,-0.1995374,-0.3613571,0.3745003,0.23213919,0.62882084,-0.5278931,-0.33716494,0.38484684
0.11386973,-0.7422995,1.1029379,0.3612836,0.27818102,0.61334753,0.1288693,0.7424146,-0.29113826
