input_0,input_1,input_2,input_grad_0,input_grad_1,input_grad_2,output_0,output_1,output_2
-0.09593831,-0.302116,0.13322437,0.43817177,0.29049903,0.5666373,-0.064968884,0.010297373,-0.04315689
0.9803671,-2.2248893,0.5405227,0.39128208,0.4981186,0.70559275,0.8106326,0.47119653,-1.377793
0.3317616,-1.0140123,0.5122451,0.42703348,0.29357737,0.5697997,0.3055157,0.34370422,-0.54671365
-0.08292435,-0.42628863,-0.7800372,0.47778118,0.34857345,0.61444616,-0.11818951,-0.51694465,-0.0334435
0.075794175,0.6633419,0.14723118,0.39872035,0.38383228,0.63866067,0.049106546,0.07905674,0.16536316
0.048733197,0.018799076,-1.6722102,0.35120392,0.26249617,0.7352751,-0.0056673046,-1.0644197,0.008166765
-0.46314335,0.33490658,-0.11406624,0.36530614,0.3586186,0.5949909,-0.39070153,-0.16684435,0.3758269
-0.27473655,-0.15661913,1.1576906,0.35754347,0.36073092,0.6195299,-0.23552917,0.6307199,0.08769339
0.520974,-0.85406935,-0.31279075,0.41202766,0.33221963,0.60952234,0.4518583,-0.13610137,-0.567417
-0.29969808,0.2994393,0.46740922,0.35705766,0.37299767,0.62029886,-0.24112503,0.19697227,0.25985062
0.261358,-1.0110945,-0.02642165,0.45013708,0.338986,0.60684335,0.2446709,-0.018010337,-0.46863183
-0.17009303,-0.6636515,0.3032353,0.47316867,0.30336004,0.57801414,-0.11262898,0.09256241,-0.12127853
-0.61563104,0.7540519,0.48052478,0.3670702,0.3466013,0.62658775,-0.5187641,0.17575681,0.6221408
-0.93461084,0.30974478,-0.6391816,0.46071976,0.43562815,0.6461158,-0.8245798,-0.5720514,0.68681073
0.8186953,-0.31606168,1.8739507,0.4093925,0.33524305,0.5625761,0.7441541,1.2295631,-0.6791712
-1.0147709,1.2240152,0.8840645,0.41988963,0.25231147,0.58101594,-0.83656,0.33957726,1.005216
-1.0608431,-0.06755661,0.41281444,0.36081803,0.43661448,0.68443364,-0.88436127,0.041170955,0.6162554
-0.24095973,-1.2191056,-0.23666342,0.58708733,0.42683664,0.656262,-0.19807804,-0.2917019,-0.22733477
-0.25489148,0.27956948,0.39027634,0.3626504,0.36509317,0.614039,-0.20417084,0.15559557,0.22544399
-1.3531073,0.9795871,-0.72195464,0.42005622,0.3922785,0.6360173,-1.2099208,-0.66697854,1.209822
-1.3594916,0.7021529,-0.37270898,0.41099155,0.40335682,0.6611501,-1.1919018,-0.46741334,1.1050515
0.5744028,-1.1105218,0.80609185,0.4209739,0.29821417,0.5800998,0.502913,0.5873884,-0.7451057
-3.2930667,2.9801376,-1.1915461,0.25522125,0.28305644,0.6201488,-3.1481457,-1.193084,3.316147
1.5448943,-1.2504972,0.33009163,0.3907196,0.38669604,0.64027536,1.334853,0.4563055,-1.3965042
-1.2920163,2.030762,2.0279403,0.4433692,0.16830598,0.41535813,-0.9808024,0.7847049,1.3022662
-0.52100706,-0.5937175,-0.8720761,0.56532896,0.4029582,0.6073906,-0.50342655,-0.6845813,0.1704874
1.7010787,-1.5220225,-0.57949775,0.4392951,0.44580114,0.54815996,1.4785432,-0.09965649,-1.5860893
