input_0,input_1,input_2,input_grad_0,input_grad_1,input_grad_2,output_0,output_1,output_2
0.010909864,0.6039795,1.2155372,0.35928446,0.28916928,0.5902235,0.026873026,0.7959226,0.19537584
-0.6721971,-0.5048048,1.2942076,0.4866312,0.36938223,0.630337,-0.61592263,0.7370362,0.26909488
-0.2019574,0.7799611,1.8010845,0.3522081,0.24502183,0.5146646,-0.14327058,1.0980773,0.35415196
-0.49489218,0.36112595,-0.6933424,0.44805372,0.27668723,0.5835814,-0.45455715,-0.53417265,0.43545878
1.2787255,-1.1023825,0.22630152,0.3218984,0.4097089,0.61635524,1.1215334,0.28893614,-1.2005857
1.7554682,-1.470973,2.0709667,0.39515284,0.4147759,0.7238811,1.6407549,1.4558239,-1.5912182
-0.23933637,1.1656135,-0.8878327,0.43385997,0.30005723,0.5644075,-0.22694072,-0.6216555,0.53224623
-0.13498738,1.3326666,1.1862812,0.34434748,0.22428471,0.5654205,-0.11410136,0.7063477,0.54393256
1.3460221,0.52206784,0.769055,0.30243763,0.22148986,0.56043744,1.1443316,0.698217,-0.698095
-0.013289791,-0.3578123,-0.47472942,0.4118411,0.28579557,0.60851645,-0.044185326,-0.2756526,-0.08996065
1.130366,-0.6580426,-0.86123383,0.3230384,0.36618674,0.59846985,1.0099939,-0.37693387,-0.96196187
0.09029877,0.49064615,0.93098736,0.38169938,0.31378198,0.64449054,0.096852496,0.6240691,0.11649009
1.3975042,-0.26496062,-0.22715642,0.35494748,0.3856059,0.6452241,1.2658612,0.040435016,-1.0018172
0.6424841,0.57460374,-0.5062506,0.4165562,0.3089574,0.63281095,0.5894823,-0.23671183,-0.21494098
3.204833,-1.2313321,1.0665352,0.50160384,0.39450616,0.5585818,2.8394144,1.0430871,-2.3013732
-0.41263187,1.4257401,2.1038203,0.3539418,0.18807375,0.4993145,-0.3387145,1.1705434,0.69453275
-0.12148015,-0.3508668,-0.38667604,0.41980833,0.28052476,0.6125899,-0.14060321,-0.23996218,-0.018503673
-0.009372803,-0.45881674,0.9810307,0.40569246,0.3718895,0.6591166,-0.022219032,0.653093,-0.13122436
-0.79404944,0.651394,-2.0721984,0.3805536,0.39491522,0.54072386,-0.7292305,-1.3823997,0.7759637
-1.1816719,-0.80880874,0.96034265,0.49681836,0.30543897,0.58958864,-1.0435641,0.37063992,0.50308406
-0.1443533,-0.0013982725,-2.413782,0.4358443,0.3797493,0.57992387,-0.17536655,-1.4962269,0.15685014
1.5211911,-0.57662904,-0.6808119,0.3501634,0.38578677,0.610154,1.3723013,-0.23000161,-1.2014983
-0.09477409,-0.40978098,1.0979239,0.41573566,0.3722159,0.654786,-0.09771248,0.72038627,-0.06301756
-0.3644534,0.48843586,-0.4207452,0.4647218,0.2851953,0.62247527,-0.33196825,-0.35088664,0.38847357
1.5052351,-1.3528008,1.6680157,0.38725626,0.4345752,0.7309591,1.3942269,1.1858383,-1.4162105
0.5978313,-0.39166754,-2.0980165,0.4036711,0.35624105,0.5862219,0.51429355,-1.187196,-0.48201936
-0.043745782,0.4800298,-0.078700766,0.47510588,0.31066146,0.6779069,-0.030494533,-0.0809166,0.1894434
1.2441804,-1.3044708,1.1984463,0.35898012,0.44832686,0.7057996,1.1374733,0.86297786,-1.2530534
-0.6926955,-0.4329341,0.4325273,0.4575924,0.29305917,0.64927554,-0.639801,0.16193035,0.32553846
0.77604187,0.68536264,-1.0951563,0.3983864,0.31081253,0.6015136,0.68924505,-0.5663527,-0.2588101
-0.63276905,0.96535885,-0.007273685,0.45197842,0.32959133,0.6965134,-0.5554899,-0.16697401,0.7218292
1.6851577,-0.87065625,-0.2432304,0.38897848,0.40676352,0.62880564,1.4912052,0.05825308,-1.3931234
1.9000956,-1.3773582,0.16158913,0.4391705,0.3985802,0.6101642,1.6604843,0.3092739,-1.6782862
0.021166699,0.62664425,-0.25991654,0.47583967,0.30226102,0.6606909,0.02957955,-0.19115433,0.19409533
