input_0,input_1,input_2,output_0,output_1,output_2
-0.0012561971,-1.4631938,1.3960619,0.04410893,0.884172,-0.47422037
-1.4441564,0.7539541,0.96083957,-1.2300457,0.39760813,1.1301079
-1.6819074,1.185385,0.054020658,-1.5336775,-0.24828045,1.5252861
0.15923128,-0.30758488,-0.35617635,0.15943943,-0.20507626,-0.20943156
0.47426784,-1.5383537,0.5669761,0.47743157,0.41183904,-0.83192915
-1.1453867,0.7957969,-0.059753653,-1.0464237,-0.24367459,1.0301623
0.97538775,-1.6654723,-1.2625587,0.81885815,-0.7262401,-1.1979804
-0.37934542,-1.5939267,-1.6648434,-0.19679087,-1.0928073,-0.3788354
0.6299335,0.40020236,0.7396313,0.5579682,0.56360316,-0.29607204
2.2613115,-1.6816542,-0.26670802,2.0433626,0.16748385,-2.0679562
1.0022581,-1.1985147,-1.7537806,0.85902894,-0.9561747,-1.0439386
-0.45146534,-0.49825534,-0.28152892,-0.39332804,-0.24283601,0.11179902
-0.6619252,0.5832207,0.081450246,-0.58184695,-0.059680272,0.6128251
0.04254121,-0.4427066,-0.20904113,0.040478107,-0.1226442,-0.17333797
0.05403934,-2.80055,0.48408207,0.2523199,0.2488514,-1.0390049
-0.17725654,-0.07227105,0.5177957,-0.17022906,0.28260943,0.06104709
-0.22846536,0.59144276,-0.024296876,-0.15828252,-0.072040915,0.30951598
1.211382,-0.6690123,1.260423,1.0727062,0.9354632,-1.0178428
0.7581764,0.08472776,0.41208503,0.65612185,0.38864878,-0.4685462
-0.13294868,0.25020492,0.24005628,-0.08814947,0.111891866,0.11854555
1.3369596,0.024068631,-0.8386083,1.1649477,-0.33572736,-0.8366471
1.0402731,-0.21652439,1.7802929,0.9015242,1.249178,-0.74357337
0.32230237,-1.4820788,-1.76122,0.35248852,-1.0934724,-0.76151085
1.0030893,-1.0065488,0.4298635,0.86658096,0.4273875,-0.9780848
-0.2210818,-0.973476,-0.1026589,-0.20002377,-0.09431839,-0.17701487
0.9405287,0.72822464,-0.73492515,0.9003572,-0.29503295,-0.48214084
0.06682138,-0.8191545,1.0096179,0.047973324,0.64702594,-0.29076445
0.5142255,-1.9874417,0.6190902,0.5322288,0.4408063,-0.9925195
1.7658218,0.3765919,0.66639566,1.5208004,0.5975563,-1.078548
0.33507603,0.24166588,1.6117133,0.2763363,1.0690864,-0.10360788
-0.011137268,-0.53170604,-0.8970101,0.023474138,-0.6173933,-0.15975918
-0.17462815,0.92258406,-0.98331654,-0.2105192,-0.65775704,0.45253867
0.34117058,-1.3524306,0.3054546,0.3400734,0.22766356,-0.6788644
-1.0258696,-0.36232194,-0.24558409,-0.91048014,-0.30528513,0.5358126
