input_0,input_1,input_2,input_3,input_4,input_5,input_6,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
1.2775892,0.1951051,-1.5116513,-0.38774258,0.8872177,2.1041815,0.0063567194,0.041497998,0.0,0.5614708,0.0,1.6760617,0.0,0.67919046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7274834,0.88198966,0.8878038,0.2290272,0.0,0.34885985,0.15821129,0.84708023,0.8229588,0.0,0.0,0.71486974,0.16989402,0.0,0.0,0.0,0.08937009,0.45917767,0.63837636,0.73606277,0.06952389,0.16476223,0.3129974,0.36095932,0.0,1.2083303,0.22160211,0.0,0.5542102,0.72571605,0.0,0.16394521,0.0,0.73255223,0.09357968,0.10111354,0.58421826,0.0,0.32486048,0.59397435,1.0920175,0.25516692,0.68981504,0.9123417,0.0,0.62674993,0.0,0.0,0.39816126,-0.5985703,0.092055626,-0.6523616
1.1103293,1.1053871,1.3621296,0.53899264,0.35841948,-2.1086895,-0.5336017,0.25449142,0.0,0.0,0.9428977,0.0,0.22545049,0.40234682,1.259841,1.2878197,1.1791347,0.0,0.02728745,0.17073724,0.904666,0.0,0.048966803,0.0,0.31008837,0.0,0.0,0.15092742,1.4868205,0.0,0.5011792,0.0,0.4832014,0.0,0.724055,0.8343415,0.0,0.0,0.0,0.55348307,0.83556634,0.55024225,0.04644186,0.64134824,0.00846263,0.6932023,1.0917864,0.7229318,1.1609148,0.0,0.81890243,0.7738579,0.8340572,0.81223315,0.034806345,0.6930985,0.87699425,0.97685707,0.6710057,0.0,0.799693,0.31338626,0.16457747,0.51571697,0.31397587,0.96861017,0.0,0.9325023,0.0,0.14572844,0.78889996,0.1808014,-0.50653964,-0.34579927
-0.52363175,0.16507365,1.3383181,-0.83096856,-0.8245973,-0.2590812,-0.03339716,0.23346314,0.0,0.3419175,0.8370393,0.0,0.01927771,0.0,0.09088026,0.0,0.3927127,0.0,0.0,0.0,0.0,0.31420806,0.3622814,0.0,0.4606192,0.0,0.0009773225,0.5484925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47856,0.39031088,0.59516215,0.95471656,0.6272348,0.4814695,0.33909863,0.0,0.3268595,0.28027642,0.5492854,0.28485265,0.015948862,0.5928654,0.0,0.08278504,0.095232695,0.39531028,0.50675094,0.2648477,0.24869376,0.20983219,0.18246205,0.7545202,0.0,0.06149493,0.1807696,0.0,0.1464462,0.6467096,0.10979045,0.0,0.678341,0.24107726,0.14149646,0.16500486,-0.005686892,-0.1980705,0.67157334
-1.0055604,-1.2704388,-1.1859052,-0.31085828,1.1843771,1.5023571,1.1956754,0.3305667,0.7106491,0.0,0.0,2.0650966,0.0,0.41110078,0.0,0.0,0.0,0.12665598,0.13444991,0.0,0.0,0.33780047,0.0,0.9222516,0.0,0.0,0.0,0.30071786,0.0,1.3918693,0.36395454,0.43655968,0.0,0.4009971,0.0,0.0,0.0,0.0,0.24744579,0.5197018,0.7053456,0.68040407,0.0,0.18382473,0.28410292,0.16289821,0.0,1.3650199,0.33062962,0.0,0.6779667,0.38477916,0.210887,0.11905195,0.0,0.6427195,0.17237285,0.0,0.48410866,0.0,0.43912387,0.89526176,0.89783645,0.19282341,0.5404653,0.8311714,0.0,0.38979304,0.0,0.0,0.5287781,-0.6645726,-0.01925505,-0.72235626
0.14040177,0.54453075,1.6811706,0.3440062,0.08255559,-1.4053874,-0.93700016,0.17987786,0.0,0.027763039,1.0779995,0.0,0.36019266,0.07107091,1.1092606,0.8401137,0.41881132,0.0,0.06889361,0.0,0.88242275,0.0,0.3387157,0.0,0.35241765,0.0,0.0,0.8270501,0.77786696,0.0,0.014458351,0.0,0.3238661,0.0,0.32958275,0.79432964,0.4055847,0.0,0.10657616,0.44178486,0.22729701,0.60490537,0.0,0.3736853,0.15926045,0.6931061,0.6673743,0.41161883,0.8018526,0.0,0.7691515,0.5845435,0.41362536,1.0799773,0.12401906,0.2778481,0.76103634,0.7652051,0.8074663,0.0,0.6847424,0.41406322,0.0,0.2541266,0.44254777,0.4546687,0.0,1.0986958,0.0,0.0,0.22450994,0.7701159,0.28235918,0.060048934
1.128931,0.025137631,0.8204114,-0.61579347,-0.35423774,-0.1938807,-0.44332334,0.3340385,0.0,0.59111536,0.7569815,0.0,0.0,0.12840347,0.1750734,0.0,0.6673866,0.0,0.0,0.28898153,0.0,0.0,0.57573867,0.0,0.66784346,0.0,0.0,0.33237427,0.35351408,0.0,0.0,0.0,0.01679051,0.05482082,0.0,0.60156447,0.0,0.0,0.439038,0.6722474,0.48807555,0.3496123,0.0,0.46465167,0.12262584,0.374503,0.26503682,0.15777677,0.59322166,0.0,0.12746097,0.4142697,0.38099244,0.40967512,0.050624523,0.4781556,0.16642714,0.37536997,0.63225245,0.0,0.2208081,0.15251242,0.1130459,0.12454835,0.55650675,0.26373416,0.0,0.6493846,0.24425577,0.1864455,0.25791413,-0.1963355,-0.24777305,0.41006717
1.3577677,0.13116397,0.65393585,1.0025264,1.1854097,-0.84851754,-0.017513867,0.40703237,0.0,0.0,0.52877617,0.0,0.0,0.8016016,1.0614889,1.0543592,0.41222888,0.0,0.0,0.08789746,0.46530867,0.0,0.0,0.0,0.16159865,0.0,0.0,0.2882645,0.86477077,0.18544483,0.80114365,0.0,0.547475,0.0,0.674054,0.46556473,0.0,0.0,0.0,0.40973103,0.8266373,0.5388217,0.19287223,0.2705667,0.0,0.31022942,0.5876903,1.0152892,0.5920078,0.0,0.73551846,0.71481514,0.6337929,0.3124496,0.0,0.5578086,0.87487257,0.5107014,0.20879097,0.0,0.8640908,0.34871513,0.40229347,0.531303,0.36483642,0.9522532,0.0,0.658209,0.0,0.20473818,0.7513984,-0.28572,-0.3959616,-0.951863
0.6362377,0.3960289,-0.92245954,-2.1155846,0.5230036,1.2206682,-1.3773562,0.1301097,0.0,1.1892734,0.4438381,1.4241562,0.51888645,0.0,0.0,0.0,0.0,0.005740434,0.0,0.0,0.0,0.0,1.4093739,0.56932646,1.7232028,1.0615193,0.0,0.48186374,0.20699239,0.9970771,0.5182893,0.4041282,0.0,0.3906362,0.11917196,0.0,0.0,0.0,0.0,0.36780944,0.50511074,1.0270329,0.0,0.33458042,0.0,0.7003819,0.0,0.59386164,0.586004,0.17934236,0.4728096,0.7169566,0.0,0.52754754,0.0,0.4628042,0.110737205,0.46075878,0.9682103,0.0,0.468298,0.9065893,0.92710954,0.5377854,0.5750253,0.55395454,0.0,1.2872629,0.07673709,0.0,0.25313205,0.3787523,0.44837514,-0.37394044
-0.12232212,0.5780068,-0.3502016,1.2704113,0.71513176,-0.14725114,-1.0724925,0.0,0.0,0.0,0.28532863,0.16154975,0.51803714,0.23068383,0.959157,0.7266036,0.0,0.37147516,0.5206646,0.0,1.1479634,0.0,0.13070221,0.16736944,0.0,0.0,0.2064129,1.1218345,0.869912,0.7666186,0.7408193,0.6694671,0.0,0.0,0.70961136,0.09462921,0.0,0.0,0.0,0.17578784,0.058340967,0.9060322,0.0,0.13136251,0.0,0.9366598,0.0,0.8807578,0.32497296,0.0,1.2372593,0.9251535,0.022385553,1.0358856,0.0,0.087518215,0.85750854,0.9967548,0.82344425,0.0,0.91987437,0.68947023,0.013322057,0.5720413,0.13465405,0.26677358,0.0,1.2757422,0.0,0.0,0.26627862,1.3300598,1.2691253,-0.6176298
-0.66060007,1.3303277,-0.8213752,-0.9389107,-0.094905265,0.9943508,-0.9565684,0.0,0.0,0.73528916,0.19791897,1.1235366,0.73315763,0.0,0.0,0.0,0.0,0.9124071,0.0,0.0,0.19593418,0.0,0.97584546,0.79840064,0.9509544,0.9758388,0.64936376,0.79861116,0.49025002,0.55599666,0.23349543,0.23002136,0.0,0.0,0.035594072,0.0,0.0,0.0,0.0952248,0.16851304,0.18110949,0.85167605,0.0,0.650308,0.3249247,0.75359225,0.0,0.7985459,0.46144807,0.019454941,0.8156328,0.85133475,0.0,0.98864996,0.0,0.4713081,0.3680823,0.47056293,1.2502463,0.0,0.5009094,0.8696004,0.2708392,0.20768678,0.46973854,0.35191807,0.0,1.4285744,0.0,0.0,0.15410216,0.77279156,0.8957202,0.04720835
