input_0,input_1,input_2,input_3,input_4,input_5,input_6,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
0.37092215,0.5691591,-0.7658556,-0.47639075,0.68609804,0.23640056,-0.56424177,0.0,0.27019486,0.0,0.0,0.0,0.18815403,0.38610017,0.0,0.65450466,0.0,0.0,0.0,0.28132355,0.49649134,0.05998209,0.0,0.0,0.35614,0.6792713,0.0,0.0,0.38547152,0.113170385,0.21236625,0.5206693,0.0,0.049770862,0.5223056,0.0,0.60359156,0.0,0.0,0.0,0.22123823,0.06397002,0.22084564,0.454571,0.47542945,0.50343966,0.6637336,0.35788402,0.35646445,0.5089991,0.29765958,0.50208217,0.0,0.0,0.6934031,0.073947266,0.0,0.65840334,0.114053875,0.07225843,0.17872237,0.6774305,0.3802338,0.2694343,0.12067518,0.0,0.32190132,0.19389215,0.23713018,0.41277176,0.1304517,0.13503885,0.14952317,-0.5699243
0.64285064,0.9540852,0.045940418,0.021301413,0.34444764,-0.23227322,-0.94284123,0.0,0.0,0.22752145,0.0,0.0,0.0,0.15673296,0.18168367,0.54816103,0.14483376,0.0,0.0,0.19045079,0.071709216,0.14709336,0.19760871,0.0,0.5554103,0.6063764,0.0,0.058362328,0.50737447,0.2665332,0.25149947,0.10612399,0.0,0.111200094,0.6802982,0.0,0.39152145,0.0,0.34089378,0.0016889796,0.4336567,0.12667623,0.13320087,0.49463803,0.6827601,0.28550723,0.61958146,0.37659648,0.4834342,0.34512264,0.050913446,0.45803815,0.120365016,0.16419016,0.74696237,0.11250472,0.0,0.79213786,0.23274082,0.0,0.09154001,0.419596,0.26298076,0.18302532,0.14281273,0.0,0.12557524,0.0959923,0.5123456,0.49164927,0.0,0.55409706,0.386889,-0.27709502
-0.19906332,0.42083132,-0.7285004,-0.19088279,0.47497237,0.35966897,-0.36097482,0.0,0.18709089,0.0,0.0,0.0,0.2597398,0.24551262,0.027797282,0.7358353,0.0,0.0,0.0,0.11105235,0.42025855,0.22618,0.0,0.0,0.4228221,0.61404526,0.0,0.0,0.2997246,0.0,0.40672484,0.52846944,0.16577663,0.0,0.5029695,0.0,0.20416705,0.0,0.0,0.0,0.40720415,0.0,0.12979421,0.43602574,0.53060114,0.339944,0.58511555,0.34654528,0.51935995,0.40725636,0.29965532,0.44184923,0.0,0.07870631,0.6965001,0.07808851,0.0,0.6696547,0.20221916,0.045737103,0.27631998,0.4787145,0.44630033,0.27795666,0.13912612,0.0,0.3036753,0.2827004,0.2711811,0.46323806,0.010603793,0.28140077,0.3811508,-0.3925467
-0.45132518,-0.2638619,1.4393771,0.15997532,-0.16609073,-0.4547744,-0.31235728,0.24175069,0.0,0.609545,0.472772,0.0405567,0.0,0.0,0.15575628,0.35659495,0.29896703,0.0,0.24602412,0.0,0.0,0.8526426,0.5558033,0.0,0.08419954,0.21285406,0.0,0.5137297,0.0,0.0,0.49892104,0.0,0.0,0.0,0.21340823,0.0,0.090360224,0.3187657,0.54517317,0.38679093,0.63613045,0.19134454,0.1939715,0.31861055,0.7983138,0.16842192,0.3645698,0.6559781,0.68250966,0.19638568,0.35918424,0.40705657,0.24614933,0.40311775,0.38551718,0.44464946,0.0,0.7799353,0.33470544,0.28697225,0.18754852,0.52654004,0.32288817,0.29409185,0.40286887,0.03510891,0.15713367,0.0,0.30600855,0.6381444,0.0,0.4253996,0.20332015,0.16039778
-0.43844146,-1.6044772,0.91519386,1.0534914,-1.4413421,-0.88413835,1.6559944,0.45078233,0.17719474,0.0,1.6107051,0.42902005,0.8792418,0.0,0.0,0.0,0.8098552,1.5874865,0.53999674,0.08304699,0.0,0.8636097,1.679669,0.58414567,0.0,0.0,0.12262806,0.8825869,0.0,0.0,0.33749878,0.0,0.0,0.0,0.0,0.0,0.0,0.09792484,0.066763274,0.9453105,0.783634,1.2328733,0.23810786,0.01751934,0.46893784,0.99050367,0.13506858,0.47701228,0.8057696,0.24735713,1.2745478,0.5364849,0.44577292,0.9866532,0.1476514,1.3196493,0.0,0.5357926,0.6461602,0.8462004,0.0,0.73938787,0.25381383,0.38006726,1.2783451,0.89344466,1.2321774,0.0,0.19633922,0.5320204,0.33571103,-0.9680731,-0.9587251,1.1635667
1.6163878,-0.5248133,-0.5970734,0.7048968,-0.6773622,0.18750334,0.5053935,0.0,0.7767143,0.0,0.046318516,0.0,1.3657851,0.40244645,0.0,0.0,0.6809436,0.61368114,0.0,0.8413582,0.0,0.00818342,0.99497724,0.15709156,0.0,0.0,0.0,0.25457805,0.7777403,0.0,0.064949036,0.0,0.0,0.37834424,0.7056984,0.427601,0.5645261,0.0,0.0,0.39355242,0.6241585,0.6951375,0.023977406,0.4491349,0.30949897,1.1679524,0.5158751,0.16903855,0.45743537,0.375616,0.81811106,0.65332234,0.47738278,0.46307203,0.4053529,0.62244844,0.0,0.29741967,0.21873853,0.5382714,0.13176148,0.6445893,0.12921038,0.042589627,0.92486584,0.40310445,0.7162867,0.0,0.21033216,0.27833647,0.44211233,-0.80788887,-0.56318563,0.491537
0.7067902,-0.37131986,0.2332228,0.50793505,-0.25247762,-0.32338104,0.040082388,0.06488395,0.1345804,0.0,0.21038322,0.0,0.5958112,0.0,0.0,0.05123359,0.5688344,0.20391369,0.0,0.27509642,0.0,0.40786794,0.75391173,0.0,0.14731319,0.07621105,0.0,0.31985545,0.13552704,0.0,0.17998758,0.0,0.0,0.1586051,0.4595424,0.0,0.40856943,0.0,0.07010376,0.23476784,0.42707866,0.32879362,0.15015505,0.38416308,0.38402474,0.56143844,0.34091395,0.37858063,0.5509801,0.24686992,0.47955436,0.3989917,0.27018082,0.30921477,0.29325357,0.40209848,0.0,0.49618658,0.28205216,0.44872674,0.04848264,0.539489,0.18633944,0.13246204,0.54120666,0.20077279,0.35273057,0.0,0.19684926,0.4102593,0.1531479,-0.1834026,-0.17915346,0.17394084
1.0052242,-0.19046968,-0.11835388,-1.8622,-1.2488645,1.5591203,-0.47849375,0.0,0.630402,0.0,0.0,0.0,1.0910656,0.26087403,0.0,0.5201372,0.0,0.0,0.7286462,0.0,0.0629226,0.0,0.18738303,0.36840194,0.0,0.0,0.88396484,0.071955614,0.6174412,0.0,0.78905857,0.07625162,1.0783132,0.0,0.21840659,0.73085225,1.0938393,0.0,0.0,0.4120757,1.4040256,0.43412268,0.0,0.36348814,0.3744891,0.6608082,0.0,0.17165546,0.71032274,0.0,0.5497167,1.166241,0.26191837,0.22833462,0.33779815,0.7820377,0.0,0.43595445,0.4968655,1.0772252,0.12578845,0.57494855,0.37972173,0.5547725,0.6854334,0.23744091,0.71290195,0.0,0.10276472,1.0204369,0.783757,-0.34590656,-0.09007195,1.0361843
-0.08977501,-1.4234023,-1.0016103,-0.12151546,-1.0181017,0.64881194,1.9021493,0.0,1.2069619,0.0,0.76470494,0.24155715,1.4911546,0.047263026,0.0,0.0,0.01832876,0.9820168,0.34361285,0.55794615,0.0,0.16790247,0.7103555,0.4385025,0.0,0.0,0.68911195,0.0,0.0,0.0,0.3297671,0.0,0.078920916,0.0,0.0,0.51488066,0.24126801,0.0,0.0,0.6107204,0.5294811,1.144688,0.09509034,0.0,0.0,1.2490306,0.13920432,0.015335456,0.33951813,0.14452487,1.3051355,0.58465606,0.1771493,0.7899078,0.0,1.0577736,0.0,0.0,0.29613262,1.056318,0.0,0.704491,0.13820678,0.029677343,0.9762982,0.90269965,1.2458072,0.0,0.0,0.12131022,0.40448496,-1.666833,-1.3119371,0.89144653
1.5228432,-0.20649801,0.996458,1.8393186,-0.22728649,-1.4877974,0.9005072,0.8887367,0.1382647,0.0,0.8189556,0.19780877,0.5435043,0.0,0.0,0.0,1.5646327,1.0593225,0.0,0.9211015,0.0,0.5970128,1.9034541,0.0,0.2605927,0.07967971,0.0,1.0073221,0.0,0.0,0.0,0.0,0.0,0.53909993,0.71385837,0.0,0.20619924,0.0,0.8062996,0.68203306,0.4528805,1.0493919,0.41823056,0.42986262,0.54172564,1.0781,0.54897714,0.47590443,0.5767924,0.7003192,0.98030275,0.3177401,0.5909696,0.55035496,0.41542226,1.0541928,0.0,0.5262375,0.46535206,0.6518918,0.0,1.4397354,0.29091433,0.0,0.92995894,0.50150347,0.5358654,0.0,0.3505858,0.3686155,0.4469747,-0.8391927,-0.94652426,0.15591666
