input_0,input_1,input_2,input_3,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-0.0068772077,0.53699446,0.34831154,-0.9095729,0.062132806,0.0,0.46734205,0.08923602,0.2682568,0.37463552,0.0,0.0,0.07307272,0.0,0.0,0.0,0.060081124,0.3561024,0.52971554,0.31243345,0.0,0.0,0.15545546,0.0,0.0,0.70383674,0.0,0.67580116,0.5438808,0.7821106,0.4927214,0.0,0.45099133,0.0,0.0,0.0,0.34308174,0.0,0.43479377,0.46594995,0.0,0.23712212,0.0,0.0,0.9711262,0.54426277,0.099592,0.0,0.0,0.1230924,0.20386565,0.4444091,0.4069671,0.0,0.28893378,0.08113099,0.0,0.12492871,0.0,0.64933425,0.20754376,0.45015746,0.4426332,0.41605848,0.3359522,0.26747575,0.5052086,0.0,0.6138525,0.36456737,-0.06673908
-0.812271,0.42204544,0.44279152,0.34513167,0.0,0.37827355,0.8263806,0.44130796,0.9441476,0.0,0.0,0.35575128,0.0069522858,0.0404647,0.0,0.0,0.0,0.6272228,0.2500063,0.0,0.0,0.051090844,0.6688285,0.0,0.4236691,0.0,0.18809712,1.2154875,0.4507228,0.31215215,0.09724164,0.0,0.14847639,0.1470845,0.0,0.3496534,0.70422417,0.74238795,0.41388497,0.62858814,0.0,0.27835962,0.0,0.43087262,0.47523993,0.6348233,0.35000107,0.0,0.0,0.07141169,0.15896575,0.17244849,0.47336626,0.0,0.41838807,0.29912698,0.4586274,0.42969915,0.2910255,0.72417516,0.0,0.43050224,0.30202568,0.6384189,0.6040532,0.38145056,0.5774597,0.4508,0.2931018,0.5489688,0.3970964
-0.6579307,0.5846683,0.5470197,0.79744494,0.0,0.5016963,1.0689992,0.34071785,1.1608213,0.0,0.0,0.33652133,0.0,0.0,0.0,0.0,0.0,0.8113368,0.1931104,0.0,0.0,0.34760204,0.778651,0.26770145,0.2635385,0.0,0.20817739,1.3315718,0.3313169,0.2530526,0.0,0.0,0.0,0.5104286,0.0,0.29493663,0.86224693,0.72865266,0.30589655,0.6813292,0.0,0.52295095,0.0,0.5614239,0.41717836,0.7849612,0.41350514,0.0,0.0,0.029616289,0.2651071,0.21583101,0.5070709,0.0,0.4897976,0.3664473,0.43752745,0.6515004,0.36490735,0.9091915,0.0,0.6904003,0.47479182,0.7040696,0.55689716,0.28876096,0.776508,0.46912068,0.5659982,0.62332654,0.6504666
0.13012803,-0.8177465,-0.056316778,0.57616204,0.0,0.6750377,0.36897668,0.14508855,0.0,0.0,0.18489914,0.64811426,0.51722497,0.828702,0.0,0.0,0.0,0.0,0.0,0.0,0.017727114,0.0,0.1882307,0.0,0.81074727,0.7566782,0.0,0.11919847,0.0,0.15547284,0.63721985,0.3152967,0.49279743,0.15493456,0.48076606,0.005655825,0.1813773,1.1271095,0.9208443,0.5848871,0.0,0.0,0.0,0.9154982,0.1408875,0.34185392,0.86074585,0.0,0.0,0.581462,0.0,0.46371987,0.0,0.33089858,0.44169724,0.7351214,0.8157609,0.0,0.7717126,0.21254006,0.54692996,0.0,0.5493978,0.3733263,0.35625124,0.340705,0.34328765,0.0154174045,-0.63207173,-0.65120107,0.19472836
-0.40799227,0.25651276,-0.16238822,0.46324497,0.0,0.202405,0.7805511,0.50792485,0.591472,0.0,0.0,0.43776053,0.240534,0.2804367,0.0,0.0,0.0,0.2636391,0.0,0.02819398,0.0,0.065548725,0.33548117,0.0,0.5945394,0.0,0.10027465,0.8984874,0.26674142,0.31929064,0.3105868,0.0,0.29440376,0.29304844,0.0,0.023820117,0.4861705,0.6963226,0.6233119,0.4634077,0.0,0.041999333,0.0,0.5192238,0.49568808,0.48154584,0.37537405,0.0,0.0,0.17429376,0.0,0.30889636,0.44992208,0.0,0.19367076,0.29610878,0.39991862,0.044121053,0.35562187,0.6125311,0.0026633143,0.330091,0.18195164,0.5260954,0.67894065,0.40188846,0.343961,0.3438862,-0.06640296,0.3131672,0.029344037
1.0073991,-1.1563765,-0.5715812,-0.0669974,0.17659917,0.31737506,0.0037454367,0.0,0.0,0.34094518,0.37944472,0.3663399,0.8398539,1.0921078,0.011551946,0.41827083,0.0,0.0,0.0,0.58157444,0.15719563,0.0,0.0,0.0,0.7541077,1.5525184,0.0,0.0,0.0,0.3941717,1.1208625,0.6926096,0.86752504,0.102342986,1.1945542,0.0,0.0,0.96100503,1.5149078,0.3351822,0.0,0.0,0.0,1.0557057,0.63983166,0.26767433,0.87206304,0.0,0.0,0.8595929,0.0,0.85607994,0.21242093,0.80557233,0.55503345,0.82022583,1.0619414,0.0,0.95379674,0.24669288,1.1406926,0.0,0.9093634,0.08009213,0.58613366,0.5030113,0.3889774,0.0,-0.8597616,-1.1458795,-0.37421602
0.0017778535,0.24085869,0.13527244,0.2854783,0.0,0.24805157,0.74345607,0.18090332,0.48355523,0.0,0.0,0.15698972,0.015424967,0.16756208,0.0,0.0,0.0,0.30447498,0.044201646,0.06584497,0.0,0.14215907,0.30687487,0.0,0.27119398,0.3075987,0.0,0.7115086,0.14340803,0.42194435,0.35925126,0.0,0.14135963,0.41811812,0.0,0.0,0.48171154,0.440674,0.3844086,0.42494196,0.0,0.06894858,0.0,0.45085484,0.48896623,0.528087,0.3650865,0.0,0.0,0.13597235,0.04244727,0.36536676,0.24041645,0.0,0.28635997,0.34697512,0.23952112,0.21955302,0.28068233,0.6019031,0.12810162,0.44980294,0.45442295,0.42247784,0.36339736,0.20247865,0.55927694,0.12320002,0.3047315,0.13861081,0.22925608
0.4353719,-0.104595535,-1.294224,-1.5044068,0.91840726,0.0,0.0,0.55081373,0.0,0.29471678,0.23671348,0.0,1.2409319,0.71604156,0.42766482,0.63576984,0.0,0.0,0.062330034,1.3342934,0.42839992,0.0,0.0,0.0,0.74463725,1.2539158,0.0,0.0,0.4375584,0.8925646,1.2098211,0.0,1.5066288,0.0,1.1826125,0.0,0.0,0.28891286,1.9406464,0.3610047,0.0,0.56508857,0.0,0.61459124,1.4673364,0.1558809,0.14182554,0.0,0.0,0.5576916,0.0,1.1923237,1.0984006,1.0692881,0.0,0.4533201,0.68358016,0.0,0.6783357,0.5474426,1.0690557,0.27444708,0.5939974,0.16943794,1.3073393,1.0745597,0.16218834,0.0,-0.66513,-0.25224128,-1.4480444
2.1867442,-2.1090708,-2.3194175,-1.842807,1.4874485,0.0,0.0,0.048062637,0.0,1.0815474,1.2276024,0.17072798,2.2903965,2.0235424,1.2392075,1.5567508,0.0,0.0,0.0,2.153408,0.97635746,0.0,0.0,0.0,1.3141294,3.113461,0.0,0.0,0.0,0.85872114,2.3205516,1.1901284,2.3931546,0.0,3.0934238,0.0,0.0,1.2135804,3.7411513,0.34839422,0.0,0.3818403,0.0,2.1789248,2.0297875,0.19306554,0.994081,0.0,0.0,1.8924369,0.0,2.1881392,1.4923449,2.6015263,0.48697534,1.5585063,2.2437558,0.0,1.9412078,0.7032612,2.8534179,0.0,1.6528864,0.0,2.1783848,1.5128187,0.41294304,0.0,-2.2091193,-2.1880646,-2.1960158
-0.40948927,0.22202888,0.12649044,0.39988226,0.0,0.31661445,0.7574115,0.37903723,0.644078,0.0,0.0,0.3641643,0.12711455,0.21591905,0.0,0.0,0.0,0.35527778,0.049177803,0.0,0.0,0.075790055,0.4350623,0.0,0.4784129,0.068923056,0.050627768,0.9032066,0.24979007,0.32463443,0.27230704,0.0,0.22013639,0.26440132,0.0,0.10193318,0.5138992,0.68125707,0.4956603,0.5150458,0.0,0.066856496,0.0,0.5025914,0.43789947,0.527641,0.40682632,0.0,0.0,0.15696923,0.0049356534,0.28604114,0.35827422,0.0,0.30307138,0.35109982,0.38057926,0.19399679,0.3420825,0.6164735,0.0,0.3698764,0.30120355,0.52555144,0.5281861,0.31990775,0.46323436,0.3085571,0.09369538,0.26965278,0.22396602
