epoch,train_loss,val_loss,train_mae,val_mae,train_r2,val_r2,lr,epoch_seconds,cumulative_updates,batches_per_epoch,effective_epochs,effective_updates
1,0.9136877655982971,0.8338303565979004,0.760612548828125,0.726574462890625,0.08614712381844714,0.17315621269383807,0.001,17.875931166999997,16,16,40,640
2,0.7559852004051208,0.6711288690567017,0.6916455078125,0.6495936279296874,0.24253069105727443,0.33459659311043155,0.001,0.0519056250000034,32,16,40,640
3,0.5852388143539429,0.4898514747619629,0.6081900634765625,0.5530602213541667,0.4121019537004863,0.5144241763354429,0.001,0.04959983299999493,48,16,40,640
4,0.41609907150268555,0.3341066837310791,0.5124095052083333,0.4582108561197917,0.5825430880121889,0.6688070489285978,0.001,0.0476193330000001,64,16,40,640
5,0.29746124148368835,0.25713926553726196,0.4340826416015625,0.4013870442708333,0.7011736031128202,0.7449631461058754,0.001,0.04873420799999906,80,16,40,640
6,0.2603911757469177,0.24203617870807648,0.40443497721354166,0.3885351969401042,0.7401086389355322,0.7598306602768441,0.001,0.050288541000000464,96,16,40,640
7,0.24983817338943481,0.23508647084236145,0.3965953776041667,0.3823341471354167,0.7502599809107231,0.7666973531623633,0.001,0.0464738330000003,112,16,40,640
8,0.24307410418987274,0.23091378808021545,0.39093452962239583,0.3787525227864583,0.7568075030439962,0.7708536501806753,0.001,0.04859512499999852,128,16,40,640
9,0.23892273008823395,0.22685971856117249,0.3871517740885417,0.3755681559244792,0.7613017325793663,0.7748600168499249,0.001,0.0488747079999996,144,16,40,640
10,0.23477637767791748,0.22411486506462097,0.38393204752604165,0.3729743245442708,0.7649867602416249,0.777588058707582,0.00085,0.05043695799999881,160,16,40,640
11,0.23242376744747162,0.2223779559135437,0.38184806315104164,0.37173429361979166,0.7674867647180909,0.779299780350978,0.00085,0.054056750000000875,176,16,40,640
12,0.2308773547410965,0.22104135155677795,0.38011551920572917,0.3706443684895833,0.7694498342893977,0.7806302153471826,0.00085,0.053032957999995745,192,16,40,640
13,0.22956185042858124,0.21962329745292664,0.37892842610677085,0.36961979166666664,0.7707691299705042,0.782032587029855,0.00085,0.04590462499999859,208,16,40,640
14,0.22827859222888947,0.2193545401096344,0.377880615234375,0.3694623616536458,0.7719029407776581,0.7822970144176371,0.00085,0.044976957999999456,224,16,40,640
15,0.2266867309808731,0.2182457447052002,0.3770294596354167,0.3687638346354167,0.7729055433289274,0.7833960729257923,0.00085,0.04895495799999594,240,16,40,640
16,0.22700415551662445,0.21838349103927612,0.37650276692708334,0.368975830078125,0.7734951790089886,0.7832608610287184,0.00085,0.049303874999999664,256,16,40,640
17,0.22571606934070587,0.21666845679283142,0.375742919921875,0.3674532877604167,0.774396309959916,0.784961639735245,0.00085,0.05076900000000251,272,16,40,640
18,0.2252330631017685,0.2168378233909607,0.3752487386067708,0.36784765625,0.7750593131637377,0.7847946085235842,0.00085,0.046564457999998865,288,16,40,640
19,0.2243625670671463,0.216169536113739,0.3747306722005208,0.36722054036458335,0.7754934733940841,0.7854499127707588,0.00085,0.048705583000000274,304,16,40,640
20,0.22378933429718018,0.2159394919872284,0.37419510904947917,0.3669979654947917,0.7762181500493347,0.7856820564757843,0.0007224999999999999,0.04586429199999742,320,16,40,640
21,0.2230353206396103,0.21542567014694214,0.37363920084635416,0.366633544921875,0.7767169503972619,0.7861881168311908,0.0007224999999999999,0.049675999999998055,336,16,40,640
22,0.22297433018684387,0.21501663327217102,0.37357112630208333,0.366279541015625,0.7769519059896579,0.7865995672194944,0.0007224999999999999,0.0516169160000004,352,16,40,640
23,0.22231538593769073,0.21522870659828186,0.3732335611979167,0.36656689453125,0.7773161885773937,0.7863765089786593,0.0007224999999999999,0.045845457999995176,368,16,40,640
24,0.22261664271354675,0.21478429436683655,0.37302437337239586,0.3660546061197917,0.7774971802334241,0.7868341740948115,0.0007224999999999999,0.04792845800000123,384,16,40,640
