fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
5,X0,X1,input,False,False,0.0028961462293985753,0.002890870360543545,0.0,0.0,-0.0028961462293985753,0.0195,0.8416360266077476,False,False,False,False,False,True,True,aligned_sem,-0.012027566199401487,-0.012005655751210334,-0.014923712428800062,0.019,0.8633028038475316,False,False,False,True
5,X0,X2,input,True,True,-2.1173672712493703,-1.3044288851058854,-2.1644254691777363,-1.3334196386195971,-0.047058197928365963,0.714,0.0,True,True,True,True,True,True,True,aligned_sem,-2.099485820011095,-1.293412807819938,0.017881451238275226,0.7125,0.0,True,True,True,True
5,X0,X3,input,False,False,0.021015231731090364,0.02120349172767207,0.0,0.0,-0.021015231731090364,0.0225,0.6921279615281888,False,False,False,False,False,True,True,aligned_sem,0.033298153854052666,0.03359644751128924,0.012282922122962302,0.025,0.5596752163759332,False,False,False,True
5,X0,X4,input,True,True,-2.716784229021125,-1.162495147184814,-2.710116449494599,-1.1596420456174226,0.006667779526525752,0.5885,1.7e-321,True,True,True,True,True,True,True,aligned_sem,-2.7272639589659304,-1.1669793587296642,-0.010479729944805616,0.6095,0.0,True,True,True,True
5,X0,X5,output,False,False,-0.11729766923561274,-0.05222656295388408,0.0,0.0,0.11729766923561274,0.044,0.041621298682206154,True,True,True,False,False,True,False,aligned_sem,-0.0006013575604978602,-0.00026775330401535566,0.11669631167511488,0.048,0.01993114378406638,False,True,False,False
5,X0,X6,output,False,True,1.8218231191083878,0.5815018971139446,1.810769161067212,0.5779736195857138,-0.011053958041175704,0.237,1.1441920383432767e-49,True,True,True,False,False,True,False,aligned_sem,1.7065581426354344,0.5447108377697093,-0.11526497647295342,0.257,1.9842666802674265e-58,True,True,True,True
5,X0,X7,output,False,True,-1.7325953955834583,-0.9553422602373262,-1.738538179459334,-0.9586190740823549,-0.005942783875875657,0.439,1.2948344607629326e-173,True,True,True,False,True,True,True,aligned_sem,-1.74646188632352,-0.9629881564684595,-0.013866490740061632,0.5845,7.9567454e-317,True,True,True,True
5,X1,X0,input,False,False,0.03167595672924583,0.03164083046563888,0.0,0.0,-0.03167595672924583,0.021,0.770029236885313,False,False,False,False,False,True,True,aligned_sem,0.03581542323314526,0.03577570661121541,0.0041394665038994305,0.026,0.5085995252205004,False,False,False,True
5,X1,X2,input,False,False,0.036807077116767964,0.022675430578041368,0.0,0.0,-0.036807077116767964,0.027,0.4596372544037147,False,False,False,False,False,True,True,aligned_sem,0.04997932051116676,0.030790345264127196,0.013172243394398798,0.0225,0.6921279615281888,False,False,False,True
5,X1,X3,input,False,False,0.01776121831038013,0.017920327995259423,0.0,0.0,-0.01776121831038013,0.0335,0.2117398173490672,False,False,False,False,False,True,True,aligned_sem,0.007934118568458314,0.008005194498226295,-0.009827099741921816,0.028,0.4132324404768168,False,False,False,True
