input_0,input_1,input_2,input_3,input_4,input_5,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
0.72291607,0.48786846,0.39623088,-0.78247106,-1.24489,-1.1664952,1.7525727,0.35497108,0.5161434,0.12562846,0.4325569,0.13920368,0.0,0.0,0.6247742,0.0,0.0,0.60719585,0.0,0.0,0.80441654,0.0,0.3987469,1.1775967,0.95129627,0.17223686,0.0,0.0,0.0,0.53905785,0.14507686,0.39217135,0.58407545,0.0,0.0,0.0,0.40537515,0.6054042,0.3261616,0.6244781,0.0,0.5483831,0.4545529,0.19353664,0.7393813,0.41931704,0.16013473,0.17641515,0.96259826,0.7688222,0.0,0.9393014,0.4664638,1.2604274,0.39213735,1.5635589,0.87447137,0.2423579,0.24312437,0.7814327,0.21149726,1.250036,0.0,0.0,0.0,1.3220401,0.124513805,1.1209655,1.0737718,0.63312775,-1.0948298,1.3421326,0.5441184
0.06371944,-0.6581972,-0.6559635,1.1772308,-0.6497714,0.81827104,0.0912354,0.0,0.0,0.35578322,0.0,0.0,0.4118978,0.40751198,0.0,0.1936563,0.9692301,0.07171199,0.68812144,0.50087845,0.0,0.0,0.0,0.66098154,0.0,0.0,0.01034499,1.086601,0.029686272,0.9448901,0.26960272,0.0,0.0,0.6646875,0.5887583,0.18118954,0.0,0.0,0.66217124,1.0323929,0.0,0.730445,0.5609697,0.7840454,0.46418804,0.89983684,0.8960688,0.8115979,0.12393235,0.46510807,0.0,0.0,0.2270135,0.14008269,0.46218938,0.3153387,0.37467277,0.71679014,0.8460706,0.3545549,0.42904207,0.088418834,0.50540006,0.09144984,0.0,0.1391123,0.0,0.0,0.3736663,0.4631521,0.9005646,-0.43854418,-0.87054604
-1.2530226,-0.15421663,-0.036273308,-0.10105734,0.18662831,0.15573041,0.29334182,0.0,0.0,0.4626681,0.0,0.0,0.501161,0.0,0.39048016,0.15434942,0.5059849,0.38912252,0.1587551,0.26368102,0.0,0.0,0.75645745,0.0,0.13127704,0.0,0.0,0.41572857,0.4265979,0.0,0.030396342,0.13370705,0.25313497,1.0579448,0.773599,0.0,0.0,0.0,0.22219084,0.5484327,0.0,0.5653871,0.43317336,0.5495844,0.4303829,0.5441662,0.51734346,0.2610117,0.5277789,0.44419545,0.0,0.0365863,0.23758873,0.4384735,0.46198112,0.3174746,0.4430194,0.36113653,0.4326415,0.26543906,0.29483852,0.45327437,0.15467608,0.0,0.0,0.4215132,0.0719848,0.3040861,0.5140563,0.507802,0.12626581,0.09236431,-0.108408205
-0.6877236,1.1128632,-1.2350621,-0.9889151,0.16058627,-0.59894764,1.3524133,0.0,0.0,0.09786284,0.0,0.63201475,0.030239075,0.0,1.247439,0.0,0.5635335,0.5069112,0.0,0.0,0.0,0.0,0.3869804,0.44188565,0.071301736,0.3159346,0.0,0.31653184,0.09105785,0.0,0.39641714,1.0989472,0.6829366,1.1925609,0.0,0.0,0.3614954,0.13332486,0.79385996,0.7807417,0.0,1.0367231,0.31644505,0.6748137,0.5045152,0.6177762,0.44287023,0.36974135,0.9457501,0.5708057,0.0,0.4504665,0.5242912,1.0802546,0.44339728,1.0006708,0.3827181,0.5158978,0.3969831,0.5862301,0.38230687,1.0819134,0.0,0.0,0.0,0.9927353,0.05147341,0.7593211,0.62646824,0.8792018,-0.62527657,0.4223179,-0.26330805
1.5702902,0.41632056,0.43447262,0.71231973,-0.66140336,0.05041981,0.3987481,0.9991933,0.7082789,0.0,0.615052,0.3985619,0.4975689,0.16159675,0.25580537,0.0,0.0,0.023249954,0.0,0.0,0.114922166,0.33457047,0.0,0.71040916,0.42980656,0.08057025,0.0,0.7189429,0.0,0.85587734,0.659876,0.0,0.0,0.0,0.08040282,0.0,0.0,0.037443966,0.4796526,0.3400436,0.0,0.45153922,0.9713433,0.6729859,1.0509294,0.4079101,0.57350516,0.32489666,0.9553902,0.12562847,0.0,0.30991632,0.69653046,0.7894218,0.5659086,0.895164,0.6447936,0.5115294,0.5914483,0.07803003,0.0,0.57652587,0.15404707,0.13729468,0.0,0.9230189,0.0,0.15869759,0.42557955,0.08906455,0.18545099,-0.39561674,0.55507064
0.22341892,0.28812063,0.877815,0.87948275,0.010803595,0.6541251,0.0,0.38249186,0.2090525,0.0,0.23832983,0.24231532,1.0765147,0.0,0.17040099,0.27094612,0.118437655,0.0,0.0,0.18531708,0.0,0.66358954,0.5292673,0.0,0.25186092,0.15528424,0.0,0.80192184,0.25469851,0.3648392,0.4851573,0.0,0.0,0.053269744,0.84191155,0.12721995,0.0,0.0,0.23238422,0.1521232,0.0,0.51031613,1.0849941,0.7513159,1.2281642,0.43067798,0.61412156,0.25666714,0.93139184,0.29610106,0.0,0.006408334,0.67182326,0.2749141,0.79041326,0.4668663,0.6438377,0.50007683,0.50451297,0.0,0.0,0.283857,0.07237502,0.44326365,0.0,0.7797821,0.22414754,0.0,0.50397533,0.0,0.59085053,-0.7267487,0.8166018
0.13443375,1.4410622,0.1417897,-1.7881217,0.4854539,-1.5420463,1.6051947,0.0,0.59846103,0.0,0.8476579,1.1351627,0.0,0.0,1.4169408,0.0,0.0,0.8104466,0.0,0.0,0.39387617,0.0,0.67184895,0.2759074,0.5348628,0.79180664,0.0,0.0,0.16360481,0.0,0.46043128,0.6864075,0.96579003,0.21035066,0.0,0.0,0.2702897,0.68619055,0.442423,0.2776392,0.0,0.7666282,0.4865234,0.3828183,1.0906838,0.52976054,0.2856265,0.2221455,1.4666467,0.43954888,0.0,0.7289143,0.85848683,1.5578574,0.5520692,1.7219138,0.7278435,0.15088387,0.018961124,0.76220006,0.05432687,1.6599576,0.0,0.0,0.0,1.973222,0.3240087,1.2437717,0.98183954,0.6757896,-1.4724437,0.86583126,0.8812502
0.38648215,-1.6833885,1.5923907,0.73673725,-0.3827005,0.7563957,0.0,0.0,0.1387112,0.79173076,0.17758805,0.0,0.6159103,0.0,0.0,0.0,0.0,0.20686954,0.0,0.78643876,0.014004856,0.29660994,0.49544492,0.13985394,0.479146,0.0,0.472267,0.4698538,0.3710593,1.0733562,0.0,0.0,0.0,0.0,1.6490887,0.39739317,0.0,0.0,0.07918811,0.79553676,0.0,0.3674435,0.743786,0.82785714,0.9568697,0.502875,0.8812424,0.79617035,0.6212398,0.7200342,0.0,0.14738318,0.39447534,0.26864088,0.5562926,0.5915952,0.92314893,0.315642,0.48118606,0.20806105,0.35996097,0.2593863,0.14594941,0.46937197,0.0,0.47284538,0.0,0.38955405,1.0084237,0.43516105,0.6417371,0.16166672,0.22105628
-1.538123,-1.7183533,-0.1214924,1.4328738,0.56995,1.5933511,0.0,0.0,0.0,0.89492345,0.0,0.0,0.9009721,0.09673262,0.0,1.3189614,1.4434562,0.13631988,1.5995083,1.320378,0.0,0.36111557,0.3292479,0.0,0.0,0.0,0.7105239,1.0704355,0.86197895,0.4193956,0.0,0.0,0.0,1.6031389,2.0391111,0.6730266,0.0,0.0,0.8559309,0.94977325,0.0,1.5118299,1.1177686,1.51859,1.214537,1.599648,1.5842918,1.0537761,0.48475385,0.5363654,0.0,0.0,0.53834546,0.10197489,1.094681,0.08747972,0.7136911,0.956776,1.2388982,0.63478816,0.90054345,0.0,0.8520978,0.6283085,0.0,0.3344929,0.4938261,0.10373461,0.6483979,0.8057537,1.5246603,-1.1054173,-0.95084476
-0.028447911,0.60008156,0.080554016,-0.97735965,0.59924614,-0.86388105,0.9401369,0.0,0.42902124,0.17905582,0.5300618,0.8022167,0.119440466,0.0,0.91504663,0.0,0.0,0.7167581,0.0,0.0,0.0,0.09572309,0.4284481,0.1352847,0.26555744,0.42838514,0.0,0.0,0.35862973,0.0,0.38537344,0.2960401,0.4578503,0.4564542,0.16244435,0.0,0.0,0.31060013,0.3981709,0.29610467,0.0,0.6187729,0.39586753,0.47198802,0.657823,0.51617277,0.29349172,0.23490965,1.0062432,0.18608546,0.0,0.39618552,0.5393089,1.0446675,0.3334611,1.0947196,0.47292972,0.16757543,0.192529,0.5291486,0.038463987,1.0219061,0.0,0.0,0.0,1.2981052,0.15605801,0.7276269,0.6223444,0.46197736,-0.815791,0.3230981,0.39216745
