fold,treatment,outcome,outcome_role,true_direct,true_total,ate_true,ate_true_std,ate_est,ate_est_std,ate_error,ks_stat,ks_p,effect_by_ate,effect_by_ks,effect_present,pag_predicts_direct,pag_predicts_total,agreement_direct,agreement_total,model_prediction_source,model_ate,model_ate_std,model_ate_error,model_ks_stat,model_ks_p,model_effect_by_ate,model_effect_by_ks,model_effect_present,model_agreement
4,X0,X1,input,False,False,-0.015855043426686158,-0.015894978642776923,0.0,0.0,0.015855043426686158,0.0295,0.349039700813195,False,False,False,False,False,True,True,aligned_observable_state,-0.02526074033629128,-0.025324366344545827,-0.009405696909605122,0.0335,0.2117398173490672,False,False,False,True
4,X0,X2,input,False,False,0.022530972162892328,0.022414334099883367,0.0,0.0,-0.022530972162892328,0.023,0.6655293215356356,False,False,False,False,False,True,True,aligned_observable_state,0.028900728524776844,0.02875111558440716,0.006369756361884516,0.0255,0.5339072834011876,False,False,False,True
4,X0,X3,input,False,False,-0.011800903638855633,-0.00685537699710974,0.0,0.0,0.011800903638855633,0.0255,0.5339072834011876,False,False,False,False,False,True,True,aligned_observable_state,-0.006327305850920416,-0.003675656399841935,0.005473597787935217,0.0315,0.274233348575873,False,False,False,True
4,X0,X4,input,True,True,-2.0960349944672743,-1.301340285691867,-2.1109282868253594,-1.3105869067565543,-0.01489329235808512,0.7035,0.0,True,True,True,True,True,True,True,aligned_observable_state,-2.1224852012747957,-1.317762110601454,-0.026450206807521415,0.7045,0.0,True,True,True,True
4,X0,X5,input,True,True,-2.458699762406043,-0.6903591606928287,-2.4525911417162325,-0.688643968656416,0.00610862068981044,0.304,5.83529741963499e-82,True,True,True,True,True,True,True,aligned_observable_state,-2.487463343216907,-0.698435462570239,-0.028763580810863942,0.3075,7.017206358218433e-84,True,True,True,True
4,X0,X6,output,False,True,-1.6088797011646632,-0.635143470184679,-1.6098713471995718,-0.6355349460068618,-0.0009916460349086442,0.276,1.9313790080280343e-67,True,True,True,False,True,True,True,aligned_observable_state,-1.6008499689334212,-0.6319735426939456,0.008029732231241926,0.296,1.1653855804713159e-77,True,True,True,True
4,X0,X7,output,False,True,1.682118904391117,0.8015114596840781,1.6080724969652498,0.7662291476279327,-0.07404640742586732,0.35,4.373839159287923e-109,True,True,True,False,True,True,True,aligned_observable_state,1.615353146293172,0.7696982982658795,-0.06676575809794505,0.392,1.65526913634449e-137,True,True,True,True
4,X0,X8,output,False,False,0.006657072513277381,0.0028739365268914607,0.0,0.0,-0.006657072513277381,0.0205,0.7948265413398378,False,False,False,False,False,True,True,aligned_observable_state,-0.015655303438523394,-0.006758578684820638,-0.022312375951800772,0.0165,0.9483720845849481,False,False,False,True
4,X1,X0,input,False,False,-0.030013921855514304,-0.030435859654541677,0.0,0.0,0.030013921855514304,0.029,0.36968362182350656,False,False,False,False,False,True,True,aligned_observable_state,-0.032240130500294076,-0.03269336449514271,-0.0022262086447797716,0.027,0.4596372544037147,False,False,False,True
4,X1,X2,input,False,False,-0.017159020043451198,-0.017070191436921015,0.0,0.0,0.017159020043451198,0.019,0.8633028038475316,False,False,False,False,False,True,True,aligned_observable_state,-0.014710281884568275,-0.014634129875994153,0.002448738158882923,0.0175,0.9194667579636621,False,False,False,True
