fold,target_mode,treatment,outcome,low_value,high_value,ate_aligned_dowhy,ate_sem_do,delta_aligned_minus_sem,abs_delta,sem_ks_stat,sem_ks_p,sem_effect_by_ate,sem_effect_by_ks,sem_effect_present,dowhy_error
1,observable_state,input_0,input_1,-0.8371972904098832,0.817665720318239,-1.2234896285556796,-1.1639736638142528,-0.05951596474142673,0.05951596474142673,0.4455,5.622457322528632e-179,True,True,True,
1,observable_state,input_0,input_2,-0.8371972904098832,0.817665720318239,0.0,0.015876834589760407,-0.015876834589760407,0.015876834589760407,0.023,0.6655293215356356,False,False,False,
1,observable_state,input_0,output_0,-0.8371972904098832,0.817665720318239,3.0953069356780376,3.0990226791561133,-0.0037157434780756837,0.0037157434780756837,0.8795,0.0,True,True,True,
1,observable_state,input_0,output_1,-0.8371972904098832,0.817665720318239,0.6091550257307996,0.489431000146951,0.11972402558384859,0.11972402558384859,0.128,1.0827746357850127e-14,True,True,True,
1,observable_state,input_0,output_2,-0.8371972904098832,0.817665720318239,-4.262284397495124,-4.158629517410465,-0.10365488008465906,0.10365488008465906,0.781,0.0,True,True,True,
1,observable_state,input_1,input_0,-1.0102370413835062,1.0109655993491742,0.0,-0.011071203219480217,0.011071203219480217,0.011071203219480217,0.025,0.5596752163759332,False,False,False,
1,observable_state,input_1,input_2,-1.0102370413835062,1.0109655993491742,0.0,-0.0012641956951026326,0.0012641956951026326,0.0012641956951026326,0.0225,0.6921279615281888,False,False,False,
1,observable_state,input_1,output_0,-1.0102370413835062,1.0109655993491742,0.0,-0.017620374608753063,0.017620374608753063,0.017620374608753063,0.018,0.9023552779223781,False,False,False,
1,observable_state,input_1,output_1,-1.0102370413835062,1.0109655993491742,0.0,-0.014089039647632959,0.014089039647632959,0.014089039647632959,0.0275,0.43609338214006377,False,False,False,
1,observable_state,input_1,output_2,-1.0102370413835062,1.0109655993491742,1.67491691663353,1.6627414954060065,0.012175421227523575,0.012175421227523575,0.2675,2.516946538262088e-63,True,True,True,
1,observable_state,input_2,input_0,-0.8146163449910885,0.8821509248488474,0.0,0.01995229181948094,-0.01995229181948094,0.01995229181948094,0.0325,0.24148215150724364,False,False,False,
1,observable_state,input_2,input_1,-0.8146163449910885,0.8821509248488474,0.0,0.0014301385388713899,-0.0014301385388713899,0.0014301385388713899,0.0195,0.8416360266077476,False,False,False,
1,observable_state,input_2,output_0,-0.8146163449910885,0.8821509248488474,0.0,0.04358870767466065,-0.04358870767466065,0.04358870767466065,0.0205,0.7948265413398378,False,False,False,
1,observable_state,input_2,output_1,-0.8146163449910885,0.8821509248488474,1.8468915485831339,1.8017451618718834,0.045146386711250486,0.045146386711250486,0.518,3.718895729451266e-245,True,True,True,
1,observable_state,input_2,output_2,-0.8146163449910885,0.8821509248488474,0.0,-0.08019338293813781,0.08019338293813781,0.08019338293813781,0.041,0.06932182520405727,True,False,False,
1,observable_state,output_0,input_0,-1.5676717541748353,1.5521654595007965,0.0,0.02156664434348681,-0.02156664434348681,0.02156664434348681,0.025,0.5596752163759332,False,False,False,
1,observable_state,output_0,input_1,-1.5676717541748353,1.5521654595007965,0.0,-0.0867425104326208,0.0867425104326208,0.0867425104326208,0.052,0.008951455390244015,True,True,True,
