input_0,input_1,input_2,pre_1_fc1_0,pre_1_fc1_1,pre_1_fc1_2,pre_1_fc1_3,pre_1_fc1_4,pre_1_fc1_5,pre_1_fc1_6,pre_1_fc1_7,pre_1_fc1_8,pre_1_fc1_9,pre_1_fc1_10,pre_1_fc1_11,pre_1_fc1_12,pre_1_fc1_13,pre_1_fc1_14,pre_1_fc1_15,pre_1_fc1_16,pre_1_fc1_17,pre_1_fc1_18,pre_1_fc1_19,pre_1_fc1_20,pre_1_fc1_21,pre_1_fc1_22,pre_1_fc1_23,pre_1_fc1_24,pre_1_fc1_25,pre_1_fc1_26,pre_1_fc1_27,pre_1_fc1_28,pre_1_fc1_29,pre_1_fc1_30,pre_1_fc1_31,pre_2_fc2_0,pre_2_fc2_1,pre_2_fc2_2,pre_2_fc2_3,pre_2_fc2_4,pre_2_fc2_5,pre_2_fc2_6,pre_2_fc2_7,pre_2_fc2_8,pre_2_fc2_9,pre_2_fc2_10,pre_2_fc2_11,pre_2_fc2_12,pre_2_fc2_13,pre_2_fc2_14,pre_2_fc2_15,pre_2_fc2_16,pre_2_fc2_17,pre_2_fc2_18,pre_2_fc2_19,pre_2_fc2_20,pre_2_fc2_21,pre_2_fc2_22,pre_2_fc2_23,pre_2_fc2_24,pre_2_fc2_25,pre_2_fc2_26,pre_2_fc2_27,pre_2_fc2_28,pre_2_fc2_29,pre_2_fc2_30,pre_2_fc2_31,pre_3_fc3_0,pre_3_fc3_1,pre_3_fc3_2,output_0,output_1,output_2
0.18810724,2.5054543,1.0213945,-0.7361422,0.5792999,0.16136125,0.82957715,0.2412695,1.006238,1.0125729,-1.5757009,-1.2039593,-1.0897548,-1.3971041,1.4099636,-1.3914458,0.00895739,0.91357994,2.0695999,-0.44124556,-0.8048829,1.3196969,0.05785474,-1.454735,-0.6041571,1.918238,0.76822215,1.9796255,1.1906813,0.26989466,-0.22367078,-1.6115615,0.52977127,-0.5105029,-1.3209782,-0.27923822,0.42811552,-0.022569366,-0.307481,-0.42693302,1.7048569,1.4076843,1.1463609,-0.598238,0.5727352,-0.44516534,1.5651244,0.018066272,1.1537122,1.5735646,0.79881454,1.0717158,0.69065356,0.51008785,0.8997061,1.0831025,1.5884867,0.984671,-0.47016683,-0.64470446,-1.0072957,-0.5060009,1.0627064,-0.64618766,0.26321426,-0.08800373,0.9448996,0.21665779,0.6742096,0.6390555,0.21665779,0.6742096,0.6390555
-2.0962236,2.084903,-1.5755161,-2.6007352,0.905864,2.5669346,-0.7106028,1.16451,0.3044296,2.0459979,-1.779363,-2.1245718,-1.3458459,1.5063022,0.94614136,-1.9890467,-1.0727265,1.051377,0.4233222,-2.7928457,-0.17964512,-0.7579317,-0.3357687,0.47015113,-1.0488588,0.6813313,2.2922542,0.92337656,-1.7545475,1.6786177,-1.1779045,-1.4668114,1.7806664,1.5739046,-0.6772068,0.7808119,0.45095012,-0.989377,-1.0409106,-0.6881925,1.7492712,0.78988904,0.079489656,-0.23249146,-0.1275342,-0.979239,-0.2359666,0.40005988,1.610053,-0.073824376,0.9294419,0.08717544,1.9832593,2.111572,1.3281416,1.369405,0.41799086,0.23779874,-0.40124777,-1.5875571,-0.4305693,-0.64838785,1.6269889,-0.36950868,1.6402104,0.21500194,0.6737708,-1.8859861,-1.4219513,1.9836261,-1.8859861,-1.4219513,1.9836261
1.5540798,-0.80886555,-0.06554889,0.61704135,0.36600584,-0.23911762,1.4068816,-1.1551132,-0.8632425,-1.7133731,-0.22409469,1.2542357,0.5346685,-0.91385424,-0.34127277,1.5702611,0.9128828,-1.4132193,0.75052667,0.43484688,0.14092568,0.7110171,0.14225179,-0.8802496,-0.3052859,0.22160545,-0.84096444,-0.4602625,0.44394875,0.055398047,0.03470601,0.62001765,-0.028096199,-0.36317855,0.4775639,0.38339204,1.0399251,-0.14628236,-0.19016343,-0.21416003,-0.002570182,0.57776904,1.1420299,0.6349511,-0.037409753,-0.3983271,0.76666385,0.57274914,-0.06713165,1.3457704,-0.80687404,0.6682607,0.010654293,-0.07813402,-0.2229527,0.93746686,0.8202198,0.99925864,-0.54345846,1.1655976,-0.6486456,-0.168999,-0.15010934,-0.41080236,-0.07033706,0.8808349,0.1364728,1.3989093,0.2219865,-1.2738242,1.3989093,0.2219865,-1.2738242
0.0030471163,0.73336196,0.7680229,-0.18798546,-0.13023172,0.03680682,0.56577075,0.05438441,-0.03167969,0.13790902,-0.5252594,-0.43977475,-0.524096,-0.88615656,0.6460877,-0.44114405,-0.12517276,0.35383272,1.0178919,-0.2846177,-0.39445522,0.812475,0.60962486,-0.7768898,0.014954306,1.185085,0.0579209,1.004047,0.4770291,0.303355,-0.0179867,-0.8812437,0.4054252,-0.16981411,-0.471136,-0.22916622,0.2227799,-0.12430267,-0.15118775,-0.37110186,0.89365566,0.9140195,0.6614595,0.10758212,0.34392536,-0.2959903,0.84957767,0.15892866,0.6022569,0.96628255,0.764413,0.63911754,0.24917006,0.18212621,0.17444628,0.39009678,0.7713364,0.4503717,-0.2031242,0.0113913715,-0.6802837,-0.5080285,0.38873488,-0.3781219,0.24158177,0.00097142905,0.5663492,-0.01563894,0.52249604,0.23096432,-0.01563894,0.52249604,0.23096432
0.44835392,0.5043568,0.101085186,-0.24582787,0.3558882,0.28417,0.8144424,-0.31283918,-0.19664127,-0.29976508,-0.7327543,-0.024885632,-0.24674693,-0.64745975,0.36058915,0.1077166,0.23838139,-0.26533183,0.9829293,-0.3315211,-0.18633208,0.62895215,0.17487875,-0.7596736,-0.38001633,0.7933005,0.074218445,0.48179647,0.265831,0.37668994,-0.18913986,-0.39544722,0.41953212,-0.0698123,-0.20408441,-0.030468643,0.37616754,-0.1629926,-0.12384562,-0.2449548,0.64939344,0.5423548,0.612489,0.073318556,0.17928664,-0.27189508,0.59019804,0.31128764,0.3478303,0.8317028,0.29422063,0.5639443,0.16343698,0.095112376,0.020871088,0.6526445,0.7365821,0.451511,-0.22962531,0.10286451,-0.504466,-0.36642775,0.2334572,-0.27955937,0.16991577,0.21851152,0.32874352,0.38663495,0.19639266,-0.09922493,0.38663495,0.19639266,-0.09922493
0.68184,-0.557753,1.8538162,1.0994717,-1.031076,-1.1699843,0.91815567,-0.39109907,-0.5846587,-0.9306427,0.5358094,0.49161923,-0.006911576,-1.7505277,0.2658291,0.47416455,0.110131085,-0.0054401904,0.8162423,0.86698663,-0.3666875,1.3118558,1.3866445,-1.0132335,0.8602896,1.1926007,-1.2128476,0.76318944,1.1749521,-0.28953075,0.6183016,-0.45423633,-0.23953336,-0.7916739,-0.08734084,-0.53193814,0.38023064,-0.14555603,-0.18626025,-0.8617528,0.50823486,1.6159316,1.4297414,0.65123993,0.9748026,-0.61593205,1.5089307,0.1850944,-0.018259168,1.0427785,0.78044546,1.4278506,-0.0074096248,-0.06782149,-0.44528484,0.052729063,1.0827811,0.575804,-0.597206,0.55860555,-1.2286742,-0.60183364,0.642248,-0.33419767,0.270096,0.4124534,0.2641586,0.57704246,1.2767779,-0.6214636,0.57704246,1.2767779,-0.6214636
-0.29251888,-0.16987059,-2.118671,-1.273801,1.0317135,1.8708532,0.24065065,-0.25874993,-0.8755977,-0.33693832,-0.9814464,0.03598426,-0.0049548745,1.2636577,-0.3024885,0.51986223,0.06163526,-0.9710272,-0.059414625,-1.6509752,0.43870428,-0.76765585,-0.49309868,0.37618327,-1.0225087,-0.41198182,0.85194486,-0.80209064,-1.6561402,1.2327878,-0.8883917,0.32501924,1.1045995,1.2160698,0.54396343,1.0139804,0.6191399,-0.8211121,-0.7830243,-0.24601537,0.78484523,0.14686094,0.09814836,0.8187826,-0.13675968,-0.68451273,-0.6069119,0.75628537,0.5547397,0.27711436,0.24613525,0.4672181,0.818937,1.1459885,0.10769643,1.3619621,0.47577423,0.12373588,-0.29767498,-0.5455302,-0.08662376,-0.6366741,0.43586934,-0.15329605,1.1655062,0.8454408,0.05662263,-0.27727637,-1.3701079,0.16576049,-0.27727637,-1.3701079,0.16576049
0.18519777,0.34862924,-0.61991054,-0.6140014,0.59317636,0.81975806,0.61883056,-0.27313843,-0.38344544,-0.26315227,-0.8479276,-0.048473224,-0.19599454,-0.024298906,0.17386484,0.19175042,0.16880967,-0.46098292,0.6676936,-0.7850831,0.0034394115,0.17882782,-0.055958867,-0.39814883,-0.6062017,0.42484218,0.36469367,0.100568876,-0.354666,0.6643311,-0.4282716,-0.19579183,0.65700525,0.35196856,0.0091644,0.16617702,0.42390695,-0.30006313,-0.22357993,-0.23888537,0.56143105,0.1909507,0.3893512,0.18130632,-0.025595322,-0.3172082,0.15755741,0.44564682,0.32886243,0.4972201,0.120218895,0.34236723,0.25892833,0.30817023,0.09892945,0.817325,0.50152546,0.29313487,-0.13349374,-0.06339495,-0.28066367,-0.31599158,0.27244282,-0.17406364,0.3805983,0.30691543,0.26548618,0.18310905,-0.33199036,0.033053983,0.18310905,-0.33199036,0.033053983
0.81372446,-0.37448338,0.05830031,0.22919685,0.15721773,0.014036506,0.97514826,-0.6553367,-0.6655242,-1.0109085,-0.28280443,0.6107866,0.1591234,-0.67999077,-0.05233857,0.8415803,0.4461408,-0.7809869,0.6748823,0.02191019,0.008595847,0.5798595,0.32580805,-0.671891,-0.175655,0.45274845,-0.45086125,-0.045956403,0.21707167,0.24263626,-0.03458652,0.11634639,0.20788899,-0.13226655,0.22036116,0.1456091,0.53074723,-0.16592026,-0.14226493,-0.27436355,0.2693783,0.42683652,0.80222285,0.3644533,-0.04476613,-0.3023298,0.4778664,0.40141982,0.09312209,0.9294986,-0.1870893,0.42056865,0.029747881,-0.019923462,-0.23532777,0.65183574,0.49365473,0.6467477,-0.33147782,0.60039127,-0.51612025,-0.24663943,-0.006263826,-0.28628087,0.08175705,0.36112624,0.21283683,0.72926223,0.18996619,-0.6355398,0.72926223,0.18996619,-0.6355398
-0.33285296,0.8825919,1.6116457,0.025040627,-0.7063333,-0.38048744,0.3841269,0.3689463,0.11642712,0.47403374,-0.2260814,-0.76636297,-0.76122546,-1.2835608,0.9236067,-0.91589016,-0.44716123,0.9566138,1.0879116,-0.078459054,-0.62432563,1.1008327,1.125726,-0.87034994,0.49703506,1.6241472,-0.101043426,1.5524594,0.83489347,0.14088038,0.23430501,-1.3507776,0.30441076,-0.38212258,-0.7349039,-0.5223272,0.16188496,-0.10483578,-0.19804144,-0.5555387,1.1834335,1.4178581,0.8074871,0.1038818,0.77781767,-0.47654215,1.3822874,0.042677402,0.7164526,1.1539913,1.2464329,0.8026862,0.4581814,0.29799968,0.25479347,0.14127183,0.90542203,0.45545572,-0.31200784,-0.01300326,-0.9276271,-0.816731,0.8184327,-0.551242,0.3965053,-0.22478127,0.66129875,-0.3468732,0.916712,0.5023111,-0.3468732,0.916712,0.5023111
