epoch,train_loss,val_loss,lr,batches_per_epoch,effective_epochs,effective_updates
1,0.6843123435974121,0.3987545967102051,0.0006,16,80,1280
2,0.3845360577106476,0.35399457812309265,0.0006,16,80,1280
3,0.3564918339252472,0.3425544500350952,0.0006,16,80,1280
4,0.35137465596199036,0.340568482875824,0.0006,16,80,1280
5,0.34872516989707947,0.3394414782524109,0.0006,16,80,1280
6,0.34840840101242065,0.33985477685928345,0.0006,16,80,1280
7,0.3482472598552704,0.3393310010433197,0.0006,16,80,1280
8,0.3479708731174469,0.34102851152420044,0.0006,16,80,1280
9,0.34741005301475525,0.34169042110443115,0.0006,16,80,1280
10,0.34731149673461914,0.34191328287124634,0.0006,16,80,1280
11,0.3470960855484009,0.33954620361328125,0.0006,16,80,1280
12,0.3472466468811035,0.33960455656051636,0.0006,16,80,1280
13,0.34719598293304443,0.3401162624359131,0.0006,16,80,1280
14,0.3479249179363251,0.3409430980682373,0.0006,16,80,1280
15,0.3480759561061859,0.3418564796447754,0.0006,16,80,1280
16,0.34654709696769714,0.340243935585022,0.0005099999999999999,16,80,1280
17,0.34720632433891296,0.3400287628173828,0.0005099999999999999,16,80,1280
18,0.3466512858867645,0.3403741121292114,0.0005099999999999999,16,80,1280
19,0.34620627760887146,0.3412909507751465,0.0005099999999999999,16,80,1280
20,0.34753477573394775,0.3411422371864319,0.0005099999999999999,16,80,1280
21,0.34608855843544006,0.3411605656147003,0.0005099999999999999,16,80,1280
22,0.3462652266025543,0.3407544493675232,0.0005099999999999999,16,80,1280
23,0.346873015165329,0.34079304337501526,0.0005099999999999999,16,80,1280
24,0.34637126326560974,0.33986684679985046,0.0005099999999999999,16,80,1280
25,0.34667232632637024,0.3408529460430145,0.0005099999999999999,16,80,1280
26,0.34587615728378296,0.3404178023338318,0.0005099999999999999,16,80,1280
27,0.346576988697052,0.34042757749557495,0.0005099999999999999,16,80,1280
28,0.34557873010635376,0.3409305214881897,0.0005099999999999999,16,80,1280
29,0.34764426946640015,0.3425412178039551,0.0005099999999999999,16,80,1280
