input_0,input_1,input_2,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-0.5672459,0.56895095,0.09435824,0.0,0.007781595,0.0,0.25454116,0.3280125,0.0,0.016207933,0.39508626,0.620298,0.29655737,0.6009746,0.44153124,0.0,0.21373953,0.4594679,0.0,0.0,0.038921274,0.0,0.0,0.0,0.5144355,0.0,0.0,0.90551674,0.2952238,0.0,0.2044574,0.06298292,0.0,0.0,0.7811036,0.0,0.0,0.36925247,0.49329656,0.3356084,0.7426233,0.1402075,0.049639508,0.44181505,0.53890663,0.68768716,0.44984055,0.0,0.2094306,0.0,0.19597705,0.20733504,0.23820145,0.0,0.31286633,0.0,0.72196835,0.23034182,0.09851892,0.0,0.47711962,0.58591115,0.0,0.29997846,0.5008725,0.0,0.19448695,-0.5053716,-0.0545787,0.5853618
-2.5962741,1.7917007,0.81712586,0.0,0.8803538,0.0,1.5624491,1.4792473,0.0,1.0056969,0.8306641,1.1487693,0.46724153,1.5968525,0.0,0.0,0.2751769,0.19330984,0.0,0.15891759,0.1682591,0.0,0.0,0.0,0.0,0.0,0.0,2.199088,0.0,0.0,0.0,0.0,0.0,0.0,1.6683371,0.0,0.0,1.1300633,1.465082,0.8631897,1.1892787,1.3167392,0.0,1.2716007,1.7374079,1.4819577,1.093728,0.0,0.037031427,0.0,0.0,0.0,0.022452086,0.0,0.21284848,0.0,1.9140202,0.0,0.0,0.0,1.0289811,1.6008006,0.0,0.43760484,1.5443499,0.0,0.0,-2.1919935,0.06981359,2.084158
1.3390224,-1.3540282,-0.56295645,0.0,0.0,0.28084728,0.0,0.0,0.32755774,0.0,0.054115325,0.0,0.38300186,0.0,0.9450638,0.49561912,0.26692864,0.5604931,0.0,0.0,0.0,0.0,0.061710645,0.96466285,0.7428754,1.2727948,1.4042101,0.0,0.47073746,0.0,1.2499409,1.3094229,0.43171784,0.3299784,0.0,0.0,0.0,0.58858174,0.29148057,0.34917688,0.22535032,0.0,0.9810749,0.0,0.047479156,0.20891902,0.342944,0.72934943,0.9699757,0.0,1.0223385,1.0138738,0.76974183,0.0,0.9420346,0.6325364,0.23861143,0.91539866,0.75521225,0.0,0.03972695,0.16242376,0.9373812,0.481292,0.33297876,0.0,0.82094324,1.1429056,-0.10021787,-1.3275338
-1.4395432,2.0272067,-1.1286573,0.0,0.2824628,0.0,0.9257994,1.4067746,0.41744283,2.0102768,0.0,1.1514564,0.5980302,0.4021889,0.8003603,0.0,1.0404624,0.27429777,0.0,0.0,0.05186428,0.0,0.0,0.0,0.68503684,0.0,0.0,1.5796784,1.1439966,0.0,0.0,0.0,0.0,0.0,0.8963947,0.0,0.0,0.66892797,1.084881,0.8450806,1.673801,0.6343987,0.3275778,0.4416919,1.6305276,1.3366365,1.4706955,0.5987402,0.5000032,0.0,0.0,0.38080132,0.35933688,0.0,0.37728342,0.0,0.90555555,0.26343998,0.0,0.0,1.6311873,1.318726,0.0,0.0,1.2421088,0.0,0.14832647,-1.3201919,-1.030256,1.5506965
-2.1129708,1.4044278,-0.89143664,0.0,0.24264559,0.0,1.2934165,1.2154262,0.0,1.6948085,0.0,1.1095095,0.9935652,1.058692,0.4535638,0.0,1.227736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7748163,0.8854276,0.0,0.0,0.0,0.0,0.0,0.76568246,0.0,0.0,0.46961707,1.2466968,1.0766441,1.4163941,1.0263337,0.047161832,0.62105024,1.7250265,1.4703047,1.3873327,0.4022993,0.27940038,0.0,0.0,0.20654406,0.10095301,0.0,0.0,0.0,1.2087988,0.06343398,0.0,0.0,1.5047252,1.2690582,0.0,0.0,1.2998104,0.0,0.0,-1.8672299,-0.83784544,1.7723358
1.4050211,-1.7340637,-0.31309482,0.055405945,0.0,0.5019916,0.0,0.0,0.16594967,0.0,0.20687346,0.0,0.3939774,0.05042243,0.83010924,0.58416426,0.1502417,0.547448,0.0,0.0,0.0,0.0,0.2095399,1.2320442,0.5992592,1.4526936,1.7662356,0.0,0.27934006,0.0,1.4921445,1.4313376,0.5073589,0.6184893,0.0,0.0,0.0,0.83104414,0.33065528,0.385909,0.046238884,0.0,1.093183,0.0,0.041178737,0.25060314,0.23663066,0.76001567,1.0107962,0.0,1.112672,1.1189598,0.78286546,0.0,1.0328809,0.8271066,0.40190473,0.9217209,0.89332986,0.0,0.0,0.1329143,1.0156274,0.73746544,0.3301707,0.0,0.7559156,1.201576,0.107631885,-1.5035102
0.24326988,0.24264441,2.1662261,0.068219215,0.3243529,0.0,0.0,0.0,0.0,0.0,1.4343419,0.2791984,0.0,0.6609122,0.0,0.0,0.0,0.989618,0.1297802,0.7771331,0.80359936,0.0,1.3344178,0.35159293,0.8610983,0.0,1.3726285,0.5705669,0.0,0.7170885,0.49965313,0.30033427,0.0,0.71443206,1.494879,0.0,0.0,1.5990592,0.22617275,0.0,0.09167567,0.21838692,0.021918066,1.3590097,0.6621699,0.81538975,0.0,0.054322343,0.20357895,0.0,1.3171995,0.5157274,0.3196018,0.0,0.92103565,1.0179065,1.2644881,0.26041463,0.8282545,0.0,0.0,0.7413733,0.17076962,1.3773121,0.35762566,0.0,0.38228756,0.14776865,1.4497031,-0.0038807746
-1.3139306,0.87355244,0.4274151,0.0,0.29985794,0.0,0.7243194,0.66781753,0.0,0.24609438,0.60089254,0.77936447,0.38375628,1.0280797,0.16113877,0.0,0.21814765,0.34399632,0.0,1.5810132e-05,0.03923679,0.0,0.0,0.0,0.20672694,0.0,0.0,1.3525944,0.11788851,0.0,0.07013288,0.0,0.0,0.0,1.0761297,0.0,0.0,0.59274095,0.82474613,0.53967637,0.8068099,0.5692576,0.0,0.7672458,0.8987319,0.93791574,0.64399827,0.0,0.09745228,0.0,0.0,0.05435913,0.11526041,0.0,0.21120977,0.0,1.168812,0.044666868,0.0,0.0,0.5921073,0.8974278,0.0,0.36041686,0.8476841,0.0,0.0,-1.1979579,0.044057213,1.1408838
1.366765,-2.1681457,1.2689208,0.4534727,0.0,0.8905201,0.0,0.0,0.0,0.0,1.0627497,0.0,0.0008137226,0.55265635,0.2291112,0.39840466,0.0,0.7126631,0.038486302,0.2627691,0.0,0.0,1.0952264,1.7736752,0.37119886,1.3368937,2.7480783,0.0,0.0,1.053905,1.8541248,1.4546052,0.24552646,1.5008502,0.07798961,0.0,0.0,1.8912344,0.31174177,0.33921698,0.0,0.0,1.0750766,0.12688853,0.17915958,0.52318573,0.0,0.7656963,0.7755512,0.0,1.8021154,1.0704594,0.65350026,0.0,1.368283,1.671317,1.08989,0.7241332,1.2290766,0.0,0.0,0.11541446,0.9631542,1.5009567,0.5136396,0.0,0.50210273,1.1773587,0.9986201,-1.5202467
0.88833845,-0.76012975,0.85960937,0.062573195,0.0,0.12304813,0.0,0.0,0.0,0.0,0.782158,0.05627194,0.0,0.30694625,0.4156592,0.0,0.0,0.7744182,0.03827688,0.1838059,0.13629448,0.0,0.75738025,0.808145,0.76219904,0.49364138,1.5685065,0.0,0.0,0.298909,0.997959,0.89522547,0.0,0.64646333,0.5028789,0.0,0.0,1.10171,0.29006433,0.16737816,0.035144925,0.0,0.6613885,0.25661087,0.18031631,0.46264064,0.0,0.35746342,0.48424077,0.0,1.2673577,0.7789084,0.4012578,0.0,1.0049444,0.8835615,0.7201462,0.44282547,0.82070327,0.0,0.0,0.18078287,0.47695148,0.96019024,0.26500168,0.0,0.508832,0.767994,0.7161699,-0.85151863
